store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Arlington,,352 Massachusetts Ave. ,,Arlington ,MA,02474,United States,781-658-3189,,,"Tuesday- Thursday 3pm-7pm,  Saturday 10am-3pm",,,
Westford,,5B Cornerstone Square ,,Westford ,MA,01886,United States,978-496-1524,,,"Tuesday and Thursday 3pm-6pm,  Saturday 10am-1pm",,,
Hamden,,2348 Whitney Ave Suite 3 ,,Hamden ,CT,06518,United States,203-645-7696,,,Center is open on Thursdays and Fridays. Please call to schedule an appointment.,,,
Cheshire,,1185 South Main Street ,,Cheshire ,CT,06410,United States,203-415-6416,,,,,,
Hicksville,,760 S. Broadway ,,Hicksville ,NY,11801,United States,516-597-5300,,,"Tuesday-Friday 12pm-7pm,  Saturday 9am-2pm",,,
Williston Park,,61 Hillside Ave ,,Williston Park ,NY,11596,United States,516-747-7700,,,Monday- Friday 12pm-7pm,,,
Fresh Meadows,,184-10 Horace Harding Expressway ,,Fresh Meadows ,NY,11365,United States,917-563-5000,,,,,,
Rye Brook,,27 Rye Ridge Plaza ,,Rye Brook ,NY,10573,United States,914-933-0566,,,,,,
Danbury North,,40 1/2 Padanaram Road ,,Danbury ,CT,06811,United States,203-794-4632,,,"Tuesday, Friday and Saturday",,,
Brighton Beach,,1605 Voorhies Avenue ,,Sheepshead Bay ,Brooklyn,11235,United States,(718) 891-5437,,,,,,
Elmhurst  (NY),,87-37 Justice Ave 1st floor ,,Elmhurst ,NY,11373,United States,718-393-2428,,,Saturday and Sunday 9am -4pm,,,
Park Slope,,150 4th Avenue ,,Brooklyn ,NY,11217,United States,718-260-8100,,,,,,
"Manhattan, Upper East Side",,307 East 84th Street ,,,,,United States,212-737-3344,,,,,,
East Village,,437 E 12 Street ,,New York ,NY,10009,United States,646-504-7741,,,Monday-Saturday 9,,,
Tribeca,,104 Reade Street ,,New York ,NY,10013,United States,212-346-7737,,,,,,
Staten Island-Grasmere,,1461 Hylan Blvd ,,Staten Island ,NY,10305,United States,718-351-7333,,,Tuesday-Friday 3,,,
Pleasantville,,71 Wheeler Avenue ,,Pleasantville ,NY,10570,United States,914-741-0407,,,"Tuesday, Wednesday, Thursday 11am-7pm,  Saturday 10am-3pm",,,
Jersey City,,119 Town Square Place ,,Jersey City ,NJ,07310,United States,646-504-7741,,,Daily,,,
Manalapan,,520 Route 9 North ,,Manalapan ,NJ,07726,United States,732-851-7086,,,"Tuesday, Wednesday and Thursday 2pm-8pm,  Sunday 9",,,
Staten Island-Willowbrook,,585 North Gannon Ave ,,Staten Island ,NY,10314,United States,718-494-1232,,,"Tues. Wed., Thurs. Fri. 11am-7pm, Sat. 9am-4pm",,,
Staten Island- Charleston,,4852 Arthur Kill Road ,,Staten Island ,NY,10309,United States,718-494-1232,,,"Tuesday, Wednesday & Thursday 11am-7pm,  Saturday 9am-4pm",,,
Woodbridge,,42 Main Street ,,Woodbridge ,NJ,07095,United States,732-791-4910,,,"Tuesday, Wednesday, Thursday 3pm-8pm",,,
Monroe,,400 Spotswood Englishtown Road ,,Monroe ,NJ,08831,United States,732-387-2827,,,"Tuesday, Wednesday & Thursday 4",,,
Paramus,,556 N. State Route 17 ,,Paramus ,NJ,07652,United States,201-444-2011,,,"Tuesday, Wednesday & Thursday 3pm-7",,,
Iselin,,37 Gill Lane (Miele Plaza) ,,Iselin ,NJ,08830,United States,732-347-6463,,,Now OPEN!,,,
Cranford,,21 North Avenue West ,,Cranford ,NJ,07016,United States,908-858-5054,,,"Tuesday-Thursday 3pm-7pm,  Saturday 10am-2pm",,,
Colonia,,795 Inman Avenue ,,Colonia ,NJ,07067,United States,732-763-0118,,,"tuesday and Thursday 4pm-7pm,  Saturday 9am-2pm",,,
Milltown,,320 Ryders Lane ,,Milltown ,NJ,08850,United States,732-713-2763,,,Monday and Wednesday 3,,,
East Windsor,,680 Route 33 East ,,East Windsor ,NJ,08831,United States,732-387-2827,,,"Tuesday & Friday 5pm-8pm,  Saturday 10am-1pm",,,
Pomona Thiells,,14 Thiells Mt. Ivy Road ,,Pomona ,NY,10970,United States,845-414-9444,,,"Monday -Friday 11am-2pm,  Tuesday and Thursday 4",,,
Dayton,,12 Stults Road ,,Dayton ,NJ,08810,United States,609-662-4625,,,"Monday-Thursday 4-8pm, Saturday 9am-2pm",,,
Edison North,,3 Stephenville Parkway Plaza Suite # 1B ,,Edison ,NJ,08820,United States,732-357-7001,,,"Monday, Tuesday, Wednesday, Thursday and Friday 5pm-8pm,  Saturday 9am-2pm",,,
Edison,,40 Brunswick Ave. Suite # 101 ,,Edison ,NJ,08817,United States,732-762-0882,,,,,,
Ramsey,,246 North Franklin TPKE Suite # 5 ,,Ramsey ,NJ,07446,United States,201-962-9229,,,,,,
Piscataway-South,,1258 Stelton Road ,,Piscataway ,NJ,08854,United States,848-202-9111,,,"Monday,Tuesday, Wednesday, Thursday and Friday 5pm-8pm,  Saturday 9am-2pm",,,
Livingston,,184 South Livingston Ave Suite # 7 ,,Livingston ,NJ,07039,United States,973-992-8008,,,Monday-Tuesday-Thursday 3,,,
South Plainfield,,2201 South Clinton Avenue ,,South Plainfield ,NJ,07080,United States,732-515-7881,,,"Monday, Tuesday, Wednesday and Friday 3pm-7pm",,,
Wayne,,789 Hamburg Turnpike ,,Wayne ,NJ,07470,United States,973-910-6106,,,"Mon., Wed., Thur. 4pm-8pm,  Sat. 9am-12pm",,,
Summit,,447 Springfield Ave ,,Summit ,NJ,07901,United States,908-516-2039,,,"Monday & Tuesday 11am-7pm, Wednesday 1",,,
South Brunswick,,3201 Route 27 Unit # 4 ,,Franklin Park ,NJ,08823,United States,732-325-1140,,,,,,
West Windsor,,61 Princeton Highstown Road Suite # 2B ,,West Windsor ,NJ,08550,United States,609-423-4050,,,Monday-Saturday 10am-8pm,,,
Somerset,,120 Cedar Grove Lane Unit # 10 ,,Somerset ,NJ,08873,United States,732-844-0355,,,"Monday and Wednesday 4pm-8pm,  Saturday 9",,,
Middlesex,,288 Lincoln Blvd Unit # D ,,Middlesex ,NJ,08846,United States,732-595-2355,,,"Monday- Friday 3pm-8pm,  Saturday 10am-2pm",,,
Warren,,45 Mountain Blvd. Suite # C3 ,,Warren ,NJ,07059,United States,908-396-2000,,,,,,
Parsippany,,378 Route 46 West ,,Parsippany ,NJ,07054,United States,973-396-2267,,,"Monday and Thursday 4pm-8pm,  Saturday 9am-12pm",,,
Princeton-Montgomery,,419 Wall Street ,,Princeton ,NJ,08540,United States,609-580-1794,,,,,,
Hillsborough,,284 Route 206 ,,Hillsborough ,NJ,008844,United States,908-396-2000,,,,,,
Basking Ridge,,S. Finley Avenue and Lyons Road ,,Basking Ridge ,NJ,07920,United States,908-396-2000,,,,,,
Bridgewater,,475 North Bridge Street ,,Bridgewater ,NJ,08807,United States,908-396-2000,,,,,,
Morris Plains,,38 Gibraltar Drive ,,(Power Mill Plaza) Morris Plains ,NJ,07950,United States,973-998-7898,,,"Monday-Friday 3pm-7pm,  Saturday 9am-12om",,,
Exton,,260 N. Pottstown Pike Suite # 36 ,,Exton ,PA,19341,United States,484-696-4393,,,,,,
Richmond-Regency Square,,9109 Quioccasin Road ,,Richmond ,VA,23229,United States,804-350-7545,,,"Tuesday and Thursday 4-7pm,  Sunday 2-4pm",,,
Glen Allen Short Pump,,10921 W. Broad Street Suite # B ,,Glen Allen ,VA,23060,United States,804-527-2100,,,"Tuesday 4pm-7pm,  Wednesday 4pm-7pm,  Thursday 4pm-7pm and  Sunday 1-4pm",,,
Alexandria - Old Town,,1416 Prince Street ,,Alexandria ,VA,22314,United States,703-535-3330,,,"Monday & Wednesady 1pm-7pm, Tuesday & Thursday 3pm-7pm,   Friday 3pm-6",,,
McLean,,6704 Old McLean Village ,,McLean ,VA,22101,United States,703-663-8566,,,Monday -Thrusday 3,,,
Vienna,,513 Maple Ave West Suite # 201 ,,Vienna ,VA,22180,United States,703-255-5065,,,"Monday & Wednesday 1 pm -7 pm,  Tuesday, Thursday & Friday 3pm-7pm,  Saturday 10 am-3pm",,,
Fair Oaks,,3903 Fair Ridge Drive Suite # 220 ,,Fairfax ,VA,22033,United States,703-33-STUDY (78839),,,"Monday 1pm-7pm,  Tuesday-Thursday 3pm-7pm,  Friday 3pm-6pm,  Saturday 9",,,
Morrisville,,3607 Davis Drive Suite # 113 ,,Morrisville ,NC,27560,United States,919-342-6761,,,"Wednesday, Thursday and Friday 4",,,
Herndon,,570 Herndon Pkwy Suite # 100 ,,Herndon ,VA,20170,United States,571-455-1947,,,"Monday, Wednesday and Thursday 3pm-7",,,
Sterling- North,,20789 Great Falls Plaza ,,Sterling ,VA,20165,United States,571-526-4193,,,"Tuesday and Thursday 4pm-7pm,  Saturday 10am-2pm",,,
South Riding- East,,25370 Eastern Market South Riding # 120 ,,,VA,20152,United States,571-367-2617,,,,,,
South Riding-West,,24630 Dulles Landing Drive Suite # 110 ,,Dulles ,VA,20166,United States,571-335-7998,,,"Tuesday, Wednesday & Thursday 3",,,
Ashburn North,,20070 Ashbrook Commons Plaza Suite # 110 ,,Ashburn ,VA,20147,United States,571-291-9937,,,"Tuesday 1pm-7pm,  Wednesday & Thursday 3pm-7pm,  Saturday 10am-2pm",,,
Ashburn-South,,43150 Broadlands Center Plaza # 178 ,,Ashburn ,VA,20148,United States,202-792-9207,,,"Monday 5-7pm, Tuesday 4-7pm, Thursday 4-7pm and Saturday 10am-Noon",,,
Jacksonville,,5100 Sunbeam Rd. # 11 ,,Jacksonville ,FL,32257,United States,904-476-2540,,,"Wed (3-7pm), Thu (3-7pm) and Sat (11-3pm)",,,
Greensboro,,5103 West Market Street ,,Greensboro ,NC,27409,United States,336-297-1888,,,Tuesday & Thursday 4,,,
High Point,,2401 Penny Road Suite # 107 ,,High Point ,NC,27265,United States,336-885-0577,,,"Wednesday, Thursday and Friday 4pm-8pm,  Saturday 9am-1pm",,,
Harrisburg,,4250 Main Street Suite # 108 ,,Harrisburg ,NC,28075,United States,704-910-1808,,,"Wednesday and Thursday 5pm-8pm,  Saturday 10am-1pm",,,
Charlotte- Ballantyne,,8832 Blakeney Professional Drive Suite # 101 ,,Charlotte ,NC,28277,United States,704-915-1730,,,"Mon., Tues. & Thurs. 4",,,
Charlotte- Ballantyne West,,11926 Providence Road West Suite # E-1 ,,Charlotte ,NC,28277,United States,704-877-4302,,,Monday-Thursday 4,,,
Concord Mills,,8607 Concord Mills Blvd. ,,Concord ,NC,28027,United States,704-789-3328,,,"Tuesday, Wednesday and Thursday 4 pm-7 pm,  Saturday 10 am-1 pm",,,
Charlotte- North,,2400 West Mallard Creek Church Ste # G ,,Charlotte ,NC,28262,United States,704-910-1808,,,"Monday, Tuesday and Thursday 5pm-8pm,  Saturday 10am-1pm",,,
Charlotte-Carowinds,,14126 Rivergate Pkwy. Suite # 250 ,,Charlotte ,NC,28273,United States,704-666-8082,,,"Tuesday, Wednesday and Thursday 4pm-7pm,  Saturday 10am-1pm",,,
Huntersville- North,,15905 Brookway Drive Suite # 4106 ,,Huntersville ,NC,28078,United States,704-792-7554,,,"Monday, Wednesday, Thursday 4-7pm,  Saturday 10am-12pm",,,
Lilburn,,3035 Five Forks Trickum Rd SW ,,Lilburn ,GA,30047,United States,678-468-3202,,,"Tues. & Thurs. 4pm -7pm,  Sat. 10am-2pm",,,
Sugarloaf,,4955 Sugarloaf Parkway Suite 118 ,,Lawrenceville ,GA,30044,United States,404-369-3104,,,"Tuesday 4-7pm, Wednesday 5-7 pm, Thursday 4-7pm, Saturday 9am -1pm",,,
Suwanee,,525 Peachtree Industrial Blvd. Suite G ,,Suwanee ,GA,30024,United States,770-904-6820,,,Tuesday 4,,,
Lilburn-West,,5514 Lawrenceville Hwy. Suite # E ,,Lilburn ,GA,30047,United States,678-468-3202,,,"Monday 4pm-7pm, Friday 4pm-6pm,  Sunday 12pm-4pm",,,
Duluth,,2590 Peachtree Industrial Blvd. Suite B ,,Duluth ,GA,30097,United States,678-404-1132,,,Tue & Thu,,,
Cumming- East,,1247 Buford Highway ,,Cumming ,GA,30041,United States,404-994-4445,,,"Tuesday, Wednesday and Thursday 3",,,
