store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Beaches,2412,2191 Queen Street East,,Toronto,Ontario,M4E 1E5,CA,416.686.1430,43.6705652,-79.2971189,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Closed",,,
Waterloo Eastbridge,7519,370 Eastbridge Blvd,Unit #8,Waterloo,Ontario,N2K 4P1,CA,519.746.9000,43.50427,-80.509106,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 3 PM, Sat 9 AM - 12 PM, Sun Closed",,,
Oakville North East,2401,380 Dundas Street East,,Oakville,Ontario,L6H 6Z9,CA,905.616.9444,43.4899233,-79.7172214,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat Closed, Sun Closed",,,
Thornhill,2409,110-7700 Bathurst Street,,Thornhill,Ontario,L4J 7Y3,CA,905.707.1417,43.8097999,-79.4518495,"Mon 1 PM - 8 PM, Tue 1 PM - 8 PM, Wed 1 PM - 8 PM, Thu 1 PM - 8 PM, Fri By Appointment, Sat 9 AM - 4 PM, Sun By Appointment",,,
Winnipeg,2450,3025 Ness Avenue,Unit J,Winnipeg,Manitoba,R2Y 2J2,CA,204.944.0898,49.8880058,-97.2792939,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Available By Appointment",,,
Forest Hill,2410,481 Eglinton Ave West,Suite 200,Toronto,Ontario,M5N 1A7,CA,416.367.4455,43.7036129,-79.4127299,"Mon 11 AM - 8 PM, Tue 11 AM - 8 PM, Wed 11 AM - 8 PM, Thu 11 AM - 8 PM, Fri 11 AM - 6 PM, Sat 9 AM - 3 PM, Sun Closed",,,
Rosedale,2411,44 St Clair Ave E. 2nd Floor,,Rosedale,Ontario,M4T 1M9,CA,416.710.1858,43.688625,-79.3920063,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 6 PM, Sat 9 AM - 3 PM, Sun Closed",,,
Oakville North,2400,1131 Nottinghill Gate,Suite 14,Oakville,Ontario,L6M 1K5,CA,905.469.1929,43.4398889,-79.718899,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Closed",,,
Orangeville,2403,215 Centennial Rd. Unit #9,Westside Market Village,Orangeville,Ontario,L9W 5K9,CA,519.215.2531,43.9047087,-80.1152428,"Mon 12 PM - 8 PM, Tue 12 PM - 8 PM, Wed 12 PM - 8 PM, Thu 12 PM - 8 PM, Fri 9 AM - 3 PM, Sat Closed, Sun Closed",,,
Oakville South,2402,"511 Maple Grove Drive, Suite 2",Maple Grove Village,Oakville,Ontario,L6J 6X8,CA,905.849.4027,43.4802433,-79.6567058,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 1 PM, Sun Closed",,,
Nepean,2405,1370 Clyde Avenue,,Ottawa,Ontario,K2G 3H8,CA,613.226.6022,45.359885,-75.7396703,"Mon 10 AM - 8 PM, Tue 10 AM - 8 PM, Wed 10 AM - 8 PM, Thu 10 AM - 8 PM, Fri By Appt., Sat 9 AM - 2 PM, Sun Closed",,,
Barrhaven,2404,204-3171 Strandherd Drive,,Ottawa,Ontario,K2J 5N1,CA,613.823.1300,45.2750962,-75.7209004,"Mon 10 AM - 8 PM, Tue 10 AM - 8 PM, Wed 10 AM - 8 PM, Thu 10 AM - 8 PM, Fri 10 AM - 4 PM, Sat 10 AM - 2 PM, Sun Closed",,,
Orléans,2406,3619 Innes Rd.,,Ottawa,Ontario,K1C 1T1,CA,613.841.7321,45.4499828,-75.5192268,"Mon 8:30 AM - 5 PM, Tue 8:30 AM - 8 PM, Wed 8:30 AM - 5 PM, Thu 8:30 AM - 8 PM, Fri 8 AM - 1 PM, Sat Closed, Sun Closed",,,
Scarborough Bluffs,2413,103 Guildwood Parkway,Guildwood Village Shopping Centre,Scarborough,Ontario,M1E 1P1,CA,647.352.6224,43.7471338,-79.2006246,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Closed",,,
Burnaby,8622,111-6125 Sussex Avenue,,Burnaby,British Columbia,V5H 4G1,CA,604.565.5877,49.2290232,-122.9991386,"Mon 10 AM - 8 PM, Tue 10 AM - 8 PM, Wed 10 AM - 8 PM, Thu 10 AM - 8 PM, Fri 10 AM - 5:30PM, Sat 10 AM - 3 PM, Sun Closed",,,
Beaumont,10109,5021B-52 Avenue,,Beaumont,Alberta,T4X 1E5,CA,780.929.1626,53.354081,-113.416965,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 2 PM, Sat 9 AM - 12 PM, Sun Closed",,,
Vancouver Kitsilano,7469,306-2083 Alma Street,,Vancouver,British Columbia,V6R 4N6,CA,604.563.2000,49.268110,-123.186128,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Closed",,,
Bolton,2349,7-1 Queensgate Blvd,,Bolton,Ontario,L7E 2X7,CA,905.857.2803,43.8697946,-79.7223558,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri 9 AM - 5 PM, Sat 9 AM - 4 PM, Sun Closed",,,
Barrie,2348,331 Bayfield Street,,Barrie,Ontario,L4M 3C2,CA,705.727.9090,44.4025151,-79.7007536,"Mon 9 AM - 8 PM, Tue 9 AM - 8 PM, Wed 9 AM - 8 PM, Thu 9 AM - 8 PM, Fri By appointment, Sat 9 AM - 12 PM, Sun Closed",,,
