store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Silverlust,692,1338 C Westheimer,,Houston,TX,77006,USA,713-520-5440,29.7431508,-95.38872,,,,
Maida's,624,5727 Westheimer Rd.       Ste K,,Houston,TX,77057,USA,713-629-9091,29.7503969,-95.4935119,,,,
Unique J,723,400 W Bay Area Blvd.      Suite C,,Webster,TX,77598,USA,281-332-6552,29.5450583,-95.1379946,,,,
G. Nonsense,545,28533 Tomball Pkway.,,Tomball,TX,77375,USA,281-351-7005,30.0887558,-95.6323394,,,,
Fullen J.,539,2215 Post Office St.,,Galveston,TX,77550,USA,409-763-0555,29.4345626,-94.6812086,,,,
FULLEN J.,761,2215 POST OFFICE ST.,,GALVESTON,TX,77550,,,29.4345626,-94.6812086,,,,
Nederland J.,651,3308 Hwy 365,,Nederland,TX,77627,USA,409-724-2045,29.9714027,-93.9980485,,,,
Mathews J.,631,126 Strickland Dr.,,Orange,TX,77630,USA,409-886-7233,30.0971729,-93.7647087,,,,
The Jeweler,713,1911 N. Austin Ave.       Suite 103,,Georgetown,TX,78626,USA,512-868-2228,30.6487339,-97.633113,,,,
Victoria's Fine J.,726,401 South Austin St.,,Rockport,TX,78382,USA,361-729-4457,28.093921,-97.0713572,,,,
Murphey The J. Ii,645,1725 C Troupe Hwy.,,Tyler,TX,75701,USA,903-592-7730,32.3181571,-95.2799854,,,,
The Classic Touch Fine J.,712,1298 Prospect Suite# 1 T,,La Jolla,CA,92037,USA,858-412-3474,30.5328251,-98.361845,,,,
Melancon J.,765,2423 Veterans Memorial Dr.,,Abbeville,LA,70510,,,29.9776889,-92.1072166,,,,
William Barthman J. Ltd.,730,176 Broadway,,New York,NY,10038-2511,USA,212-732-0890,40.7098002,-74.0094839,,,,
Malsons Jewelers,625,464 86th.street,,Brooklyn,NY,11209,USA,718-491-6666,40.6212119,-74.0329499,,,,
William Barthman J. Ltd.,731,1118 Kings Highway,,Brooklyn,NY,11229,USA,718-375-1818,40.5988077,-73.9447994,,,,
West Essex J.,729,889 Bloomfield Ave.,,N. Caldwell,NJ,07006,USA,973-227-0234,40.8533338,-74.2998667,,,,
Darien J.,517,85 Diamond Bridge Ave.,,Hawthorne,NJ,07506,USA,973-427-1452,40.948815,-74.159986,,,,
Sidney Thomas J.,740,1200 Morris Turnpike,,Short Hills,NJ,07078,,(973) 379-5500,40.7396366,-74.3656369,,,,
