store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
CLIFTON,,927 NORTH AVENUE G,,CLIFTON,TX,76634-0000,United States,254-675-2404,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
COMANCHE,,1300 E CENTRAL AVE,,COMANCHE,TX,76442-2806,United States,325-356-2160,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
COTULLA,,1064 N MAIN ST,,COTULLA,TX,78014-2455,United States,830-483-5379,,,"Sun 09:00 AM - 09:00 PM, M-F 08:00 AM - 09:00 PM, Sat 08:00 AM - 09:00 PM",,,
JACKSBORO,,124 LUMAR DR,,JACKSBORO,TX,76458-0000,United States,940-567-2152,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
SEYMOUR,,711 S. MAIN STREET,,SEYMOUR,TX,76380-0000,United States,940-888-3047,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
ANDREWS,,1203 NORTH MAIN STREET,,ANDREWS,TX,79714-3630,United States,432-523-3302,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
MONAHANS,,1907 S. STOCKTON AVENUE,,MONAHANS,TX,79756-6507,United States,432-943-2558,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
KERMIT,,334 E. HIGHWAY 302,,KERMIT,TX,79745-5105,United States,432-586-2127,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
FAIRVIEW,,816 E STATE RD,,FAIRVIEW,OK,73737-2601,United States,580-227-3730,,,"Sun 08:00 AM - 09:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 09:00 PM",,,
ALPINE,,2500 E HIGHWAY 90,,ALPINE,TX,79830-4107,United States,432-837-7112,,,"Sun 08:00 AM - 10:00 PM, M-F 08:00 AM - 10:00 PM, Sat 08:00 AM - 10:00 PM",,,
