store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
State Beauty Supply,814,516 SE Washington Blvd.,,Bartlesville,OK,74006,United States,918-336-2322,36.7487792,-95.9353946,,,,
State Beauty Supply,1085,"900 E Will Rogers Blvd, Suite E",,Claremore,OK,74017,United States,918-923-4991,36.3073972,-95.5991836,,,,
State Beauty Supply,812,530 S. Virginia Ave.,,Joplin,MO,64801,United States,417-623-6883,37.0856573,-94.5125617,,,,
State Beauty Supply,857,3005 S. Sheridan Rd.,,Tulsa,OK,74129,United States,918-835-8960,36.1209905,-95.9032825,,,,
State Beauty Supply,799,9516 E. 54th St.,,Tulsa,OK,74145,United States,918-665-8300,36.0864475,-95.870298,,,,
State Beauty Supply,863,4969 S. Peoria Ave.,,Tulsa,OK,74105,United States,918-742-2948,36.0906056,-95.9747006,,,,
State Beauty Supply,800,407 N. Main St.,,Broken Arrow,OK,74012,United States,918-258-7677,36.0557687,-95.7903466,,,,
State Beauty Supply,854,502 S. Main St.,,Sapulpa,OK,74066,United States,918-224-6046,35.99297,-96.114229,,,,
State Beauty Supply,819,1900 N. Union St.,,Ponca City,OK,74601,United States,580-765-8446,36.72501,-97.085699,,,,
State Beauty Supply,832,128 E. Walnut St.,,Nevada,MO,64772,United States,417-667-8125,37.8391023,-94.3555784,,,,
State Beauty Supply,806,1621 E. Okmulgee Ave.,,Muskogee,OK,74403,United States,918-683-1431,35.7409146,-95.3508376,,,,
State Beauty Supply,894,"2020 N. Woodlawn St., Suite 325",,Wichita,KS,67208,United States,316-719-2880,37.721182,-97.260497,,,,
State Beauty Supply,816,"1200 S.E. 14th St., Suite 6",,Bentonville,AR,72712,United States,479-268-6260,36.3560256,-94.1950769,,,,
State Beauty Supply - Stillwater,815,3623 N. Park Dr.,,Stillwater,OK,74075,United States,405-372-0500,36.1590907,-97.0546484,,,,
State Beauty Supply,892,"7011 W. Central Ave., Suite 202",,Wichita,KS,67212,United States,316-687-0143,37.6934639,-97.4246835,,,,
State Beauty Supply,883,3450 N. Highway 112,,Fayetteville,AR,72704,United States,479-442-6112,36.1147314,-94.1796069,,,,
State Beauty Supply,804,1004 W. Willow Rd.,,Enid,OK,73703,United States,580-234-3815,36.4208571,-97.8911219,,,,
State Beauty Supply,1057,"2800 SW Wanamaker Rd., Suite 165",,Topeka,KS,66614,United States,785-267-9800,39.0156969,-95.7614258,,,,
State Beauty Supply,859,315 E. Woodland St.,,Springfield,MO,65807,United States,417-881-6603,37.1628652,-93.2913881,,,,
State Beauty Supply,1059,"13306 Larsen Lane, Apt. 101",,Overland Park,KS,66213,United States,913-940-6648,38.8896267,-94.7087581,,,,
State Beauty Supply,803,1905 S. Bedford,,Springfield,MO,65809,United States,417-889-1700,37.1785479,-93.2212485,,,,
