store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,267-I N. El Camino Real ,,Encinitas ,CA,92024,United States,(760)942-9114,,,"Friday - By Appointment, Saturday 10:00-1:00",,,
,,3410 Del Lago Blvd. Suite A ,,Escondido ,CA,92029,United States,(760)747-8886,,,"Monday - Thursday 11:00 - 7:00 PM, Tutoring:, Monday - Thursday 3:00 - 8:00 PM, Saturdays by appt.",,,
,,602 E Main St D ,,Allen ,TX,75002,United States,(972)649-7912,,,"Saturday, 10:30am-12:30pm",,,
,,1840 41st Avenue Ste. 203 ,,Capitola ,CA,95010,United States,(831) 462-4629,,,,,,
,,13350 Camino Del Sur Suite 4 ,,San Diego ,CA,92129,United States,(858)780-0288,,,"Friday by Appointment, Saturday 10:30-1:30",,,
,,9111 Valley View St. ,,Cypress ,CA,90630,United States,(714)995-7323,,,Sat. 9:00AM - 1:00PM,,,
,,4300 Coffee Rd. ,,Bakersfield ,CA,93308,United States,(661)589-8181,,,Sat 9:30 A.M. - 12:30 P.M.,,,
,,480C San Ramon Valley Blvd. ,,Danville ,CA,94526,United States,925-314-9343,,,,,,
,,4024 E. Guadalupe Rd. ,,Gilbert ,AZ,85234,United States,(480)558-8867,,,Saturday 11-2.,,,
,,779 Herndon Ave. Suite 105 ,,Clovis ,CA,93612,United States,(559)325-3512,,,Saturday 9:30-12:30 P.M.,,,
,,488 E. 17th St. ,,Costa Mesa ,CA,92627,United States,(949)653-8886,,,"Friday 2:30-5:30, Saturday 9:00-12:00",,,
,,7175 Nolensville Road Suite 201 ,,Nolensville ,TN,37135,United States,(615)776-7054,,,,,,
,,9006 S Fry Rd Suite H ,,Katy ,TX,77494,United States,(281)392-3030,,,,,,
,,3150 Balfour Rd. Suite B ,,Brentwood ,CA,94513,United States,(925) 384-0245,,,Saturdays - 9am-1pm,,,
,,4772 E. Sunrise Dr ,,Tucson ,AZ,85718,United States,(520)299-8899,,,Saturday 10:00-12:00,,,
,,5479 Highway 280 Suite 112 ,,Birmingham ,AL,35242,United States,(205)981-7155,,,,,,
,,Unit 204 ,,Sekai Center San Juan Metro Manila ,PH,0,United States,(632) 721-8867,,,Saturday 9:00 A.M - 12:00 P.M,,,
,,Unit 221 Banilad Town Center Gov. Cuenco Avenue ,,,,,United States,(32)238-3655,,,,,,
,,Times Square Center on Sheikh Zayed Rd ,,,,,United States,+971502800932,,,,,,
,,502 S 3rd ,,Laramie ,WY,82072,United States,(307)745-6284,,,Other times available by appointment.,,,
,,1135 N.W. Gilman Blvd. Suite F-10 ,,Issaquah ,WA,98027,United States,(425)837-0595,,,"Saturday 10:00 A.M. - 1:00 P.M., Other Times by Appointment: Please Call for Availability",,,
,,1439 Stillwater Ave # 13 ,,Cheyenne ,WY,82009,United States,(307)514-4016,,,Other times available by appointment.,,,
,,11219-A Nuckols Rd. ,,Glen Allen ,VA,23059,United States,(804)967-6278,,,"Saturdays, 9am-1pm",,,
,,6228 Old Dominion Drive ,,McLean ,VA,22101,United States,703.237.TUTOR (8886),,,"12:30 PM-9:00 PM, Friday, 12:30 PM-8:00 PM, Saturday, 9:00 AM-2:00 PM",,,
,,11041 Shadow Creek Parkway Suite 105 ,,Pearland ,TX,77584,United States,(713)436-8601,,,,,,
,,14795 S.W. Murray Scholls Dr. ,,Beaverton ,OR,97007,United States,(503)579-9670,,,Tutoring Hours: Monday - Thursday 3:00-8:00 P.M.,,,
,,745 Mt. Washington Dr. # 203 ,,Bend ,OR,97703,United States,(541) 617-9473,,,,,,
,,3612 W. Main St. ,,League City ,TX,77573,United States,(281)338-0327,,,Saturdays 10:30 A.M. - 1:30 P.M.,,,
,,4032 W. Powell Rd. ,,Powell ,OH,43065,United States,(614)799-1717,,,Saturday 9-1,,,
,,4357 Morse Rd. ,,Gahanna ,OH,43230,United States,(614)428-8886,,,"Friday 4:30pm-7:30pm, Saturday 9am-1pm",,,
,,3935 Trueman Boulevard ,,Hilliard ,OH,43026,United States,(614)664-9474,,,Saturday 9am-1pm,,,
,,16131 Lancaster Hwy Suite # 110 ,,Charlotte ,NC,28277,United States,(704)542-2322,,,"Saturdays, 9am-1pm",,,
,,7811 3rd Ave. ,,Brooklyn ,NY,11209,United States,(718)748-8867,,,Saturdays 1:00-3:00 P.M.,,,
,,484 E. Evesham Rd. ,,Cherry Hill ,NJ,08003,United States,(856)616-8808,,,"Saturdays, 9:00am - 1:00pm (Nov. - May)",,,
,,2213 N. Green Valley Pkwy. ,,Henderson ,NV,89014,United States,(702)436.2582,,,Saturdays  10am-12pm,,,
,,7315 S. Rainbow Blvd. Suite 120 ,,Las Vegas ,NV,89113,United States,(702)360-2582,,,Saturday 10:00am-12:00pm,,,
,,6120 N. Decatur Blvd. Suite 102 ,,North Las Vegas ,NV,89031,United States,(702)658-6615,,,Saturday 10:00 A.M-12:00 P.M,,,
,,11241 S Eastern Ave ,,Henderson ,NV,89052,United States,(702)588-5280,,,Saturdays  9am-1pm,,,
,,435 Newbury St. Ste. 110 ,,Danvers ,MA,01923,United States,(978)785-8200,,,"Saturday 9:00 A.M. - 1:00 P.M., & Sunday 1:00 P.M. - 5:00 P.M.",,,
,,3061 Fieldstone Way P.O. Box 911114 ,,Lexington ,KY,40591,United States,(859)224-1020,,,Saturday 10:00 - 1:00.,,,
,,2002 Highway 15 N ,,Laurel ,MS,39440,United States,(601)425-0065,,,,,,
,,3124 State Route 59 ,,Naperville ,IL,60564,United States,(630)922-8886,,,,,,
,,950 E. Fairview Ave. # 170 ,,Meridian ,ID,83642,United States,(208) 388-8867,,,Sat 9:30am-12:30pm (by appt. only),,,
,,1409 Palatine Rd. ,,Hoffman Estates ,IL,60195,United States,(847)358-8886,,,,,,
,,4333 Lynx Paw Trail ,,Valrico ,FL,33596,United States,(813)681-9900,,,"Tuesday 2:30-8:30 p.m., Wednesday 2:30-7:30 p.m., Thursday 2:30-8:30 p.m.",,,
,,605 State Rd. 13 Suite 109 ,,St. Johns ,FL,32259,United States,(904)230-2855,,,Saturday 9 am - noon,,,
,,10131-17 San Jose Blvd ,,Jacksonville ,FL,32257,United States,(904)268-8556,,,Saturday 9 am - noon,,,
,,4005 Concord Pike ,,Wilmington ,DE,19803,United States,302-295-6288,,,"Friday, by appointment, Saturday, 9:00 AM - 12:00 PM",,,
,,69 High Ridge Rd. ,,Stamford ,CT,06905,United States,(203)323-1929,,,Sat 9:30 AM - 2:30 PM,,,
,,431 Main Street ,,Ridgefield ,CT,06877,United States,(203) 438-1128,,,"Saturdays 9:30 AM - 2:30 PM, Saturdays 9:30 AM - 2:30 PM",,,
,,4750 W. 120th Ave. ,,Westminster ,CO,80020,United States,(303)410-8440,,,"Monday, Tuesday, Thursday 2:00pm-9:00pm, Wednesday 1:00pm-9:00pm, Saturday by appointment, Closed Friday and Sunday, During Summer Break, Monday, Wednesday 2pm - 8pm, Tuesday, Thursday 9am - 2pm, Closed Friday, Saturday, Sunday",,,
,,5657 S. Himalaya St. Unit 220 ,,Centennial ,CO,80015,United States,(303)400-3844,,,Saturday 10:00 A.M.- 1:00 P.M.,,,
,,220 E. 29th Street ,,Loveland ,CO,80538,United States,(970)372-1623,,,"Saturdays, 9am-12pm",,,
,,1825 East Harmony Road Fort ,,Collins ,CO,80528,United States,(970)672-8814,,,,,,
,,1445 Nelson Road ,,Longmont ,CO,80501,United States,(303)651-0800,,,"Friday - 2:00 - 6:00 pm, Saturdays -9:00 am - 12:00 pm",,,
,,1485 Main St. ,,Watsonville ,CA,95076,United States,(831)722-8886,,,"Saturdays, 10am-3pm",,,
,,27530 Newhall Ranch Rd. ,,Valencia ,CA,91355,United States,(661)702-9956,,,,,,
,,221-D Mt. Hermon Rd. ,,Scotts Valley ,CA,95066,United States,(831)439-8886,,,,,,
,,9110 Alcosta Blvd. # F ,,San Ramon ,CA,94583,United States,(925)556-0510,,,,,,
,,2680 S. White Rd. ,,San Jose ,CA,95148,United States,(408)270-6700,,,,,,
,,1101 Irving St. ,,San Francisco ,CA,94122,United States,(415)664-2582,,,"Monday-Thursday: 3:30-6:30, Friday: 3:45-5:45, Saturday: 10:30-3:45, Testing by Appointment Only",,,
,,13202 Poway Rd ,,Poway ,CA,92064,United States,(858)748-8867,,,"Friday By Appointment, Sat 10:30-1:30",,,
,,6279 Jarvis Ave. ,,Newark ,CA,94560,United States,(510)742-8867,,,Saturdays 10-1:00,,,
,,2100 Standiford Ave. Suite A-3 ,,Modesto ,CA,95350,United States,(209)524-8886,,,,,,
,,1395 El Camino Real Suite D ,,Millbrae ,CA,94030,United States,(650)624-8886,,,"Monday-Thursday 3:30-6:30, Saturdays 10:30-1:30, Consultations and Testing by Appointment Only",,,
,,9985 Ellis Ave. ,,Fountain Valley ,CA,92708,United States,(714)965-8886,,,"Fri: 2:30pm - 6:30pm, Sat: 9:30am - 12:30pm",,,
,,1880 Prairie City Rd. ,,Folsom ,CA,95630,United States,(916)608-8867,,,Fridays 12:30-6:30 P.M.,,,
