store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
VF Outlet Council Bluffs,,The Marketplace,3271 Marketplace Drive,Council Bluffs,Iowa,,United States,(712) 366-9922,41.22923960,-95.87835680,"Sun: 11:00 am - 6:00 pm, Mon: 10:00 am - 9:00 pm, Tue: 10:00 am - 9:00 pm, Wed: 10:00 am - 9:00 pm, Thur: 10:00 am - 9:00 pm, Fri: 10:00 am - 9:00 pm, Sat: 10:00 am - 9:00 pm",,,
VF Outlet Tucson,,Tucson Premium Outlets,"6401 Marana Center Blvd., Unit # 213",Tucson,Arizona,,United States,(520) 572-5678,32.37572900,-111.10123400,"Sun: 10:00 am - 7:00 pm, Mon: 10:00 am - 9:00 pm, Tue: 10:00 am - 9:00 pm, Wed: 10:00 am - 9:00 pm, Thur: 10:00 am - 9:00 pm, Fri: 10:00 am - 9:00 pm, Sat: 10:00 am - 9:00 pm",,,
VF Outlet Daytona Beach,,Tanger Outlets,1100 Cornerstone Blvd #490,Daytona Beach,Florida,,United States,(386) 274-4926,29.21570300,-81.09931600,"Sun: 10:00 am - 7:00 pm, Mon: 9:00 am - 9:00 pm, Tue: 9:00 am - 9:00 pm, Wed: 9:00 am - 9:00 pm, Thur: 9:00 am - 9:00 pm, Fri: 9:00 am - 9:00 pm, Sat: 9:00 am - 9:00 pm",,,
VF Outlet Folsom,,Folsom Premium Outlets,13000 Folsom Blvd. Suite #100,Folsom,California,,United States,(916) 608-0681,38.64384800,-121.18875100,"Sun: 10:00 am - 7:00 pm, Mon: 10:00 am - 9:00 pm, Tue: 10:00 am - 9:00 pm, Wed: 10:00 am - 9:00 pm, Thur: 10:00 am - 9:00 pm, Fri: 10:00 am - 9:00 pm, Sat: 10:00 am - 9:00 pm",,,
VF Outlet Asheville,,Asheville Outlets,"800 Brevard Road, Suite 850",Asheville,North Carolina,,United States,(828) 667-9688,35.53035400,-82.60313400,"Sun: 11:00 am - 6:00 pm, Mon: 10:00 am - 9:00 pm, Tue: 10:00 am - 9:00 pm, Wed: 10:00 am - 9:00 pm, Thur: 10:00 am - 9:00 pm, Fri: 10:00 am - 9:00 pm, Sat: 10:00 am - 9:00 pm",,,
VF Outlet Little Rock,,Outlets at Little Rock,11201 Bass Pro Drive,Little Rock,Arkansas,,United States,(501) 455-9100,34.74648300,-92.28959700,"Sun: 11:00 am - 6:00 pm, Mon: 10:00 am - 9:00 pm, Tue: 10:00 am - 9:00 pm, Wed: 10:00 am - 9:00 pm, Thur: 10:00 am - 9:00 pm, Fri: 10:00 am - 9:00 pm, Sat: 10:00 am - 9:00 pm",,,
VF Outlet Southaven,,Tanger Outlets,"5205 Airways Blvd, Suite 200",Southaven,Mississippi,,United States,(662) 349-2627,34.93625300,-89.98905900,"Sun: 10:00 am - 7:00 pm, Mon: 9:00 am - 9:00 pm, Tue: 9:00 am - 9:00 pm, Wed: 9:00 am - 9:00 pm, Thur: 9:00 am - 9:00 pm, Fri: 9:00 am - 9:00 pm, Sat: 9:00 am - 9:00 pm",,,
VF Outlet Syracuse,,Destiny USA Mall,1 Destiny USA Drive Suite K#209,Syracuse,New York,,United States,315-422-0289,43.04690200,-76.14440200,"Sun: 11:00 am - 6:00 pm, Mon: 10:00 am - 9:30 pm, Tue: 10:00 am - 9:30 pm, Wed: 10:00 am - 9:30 pm, Thur: 10:00 am - 9:30 pm, Fri: 10:00 am - 9:30 pm, Sat: 10:00 am - 9:30 pm",,,
VF Outlet Souderton,,County Line Plaza,709 Route 113,Souderton,Pennsylvania,,United States,(215) 723-0900,40.31628000,-75.30960100,"Sun: 10:00 am - 7:00 pm, Mon: 9:00 am - 7:00 pm, Tue: 9:00 am - 7:00 pm, Wed: 9:00 am - 7:00 pm, Thur: 9:00 am - 7:00 pm, Fri: 9:00 am - 9:00 pm, Sat: 9:00 am - 9:00 pm",,,
VF Outlet Sevierville,,Governor's Crossing Outlet Center,224 Collier Drive,Sevierville,Tennessee,,United States,(865) 429-2882,35.84035900,-83.56101200,"Sun: 10:00 am - 7:00 pm, Mon: 9:00 am - 9:00 pm, Tue: 9:00 am - 9:00 pm, Wed: 9:00 am - 9:00 pm, Thur: 9:00 am - 9:00 pm, Fri: 9:00 am - 9:00 pm, Sat: 9:00 am - 9:00 pm",,,
