store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Wet Seal,,12565 Wayzata Blvd # 106,,Minnetonka,MN,55305,United States,(952) 542-8680,,,,,,
Wet Seal,,3340 Mall Loop Dr # 1249,,Joliet,IL,60431,United States,(815) 439-2033,,,,,,
Wet Seal,,11200 Lakeline Mall Dr # C2,,Cedar Park,TX,78613,United States,(512) 257-3573,,,,,,
Wet Seal,,3450 Wrightsboro Rd,,Augusta,GA,30909,United States,(706) 737-0110,,,,,,
Wet Seal,,11200 Lakeline Mall Dr,,Cedar Park,TX,78613,United States,(512) 257-3573,,,,,,
Wet Seal,,49 W Maryland St # F4,,Indianapolis,IN,46204,United States,(317) 951-0955,,,,,,
Wet Seal,,1251 Us Highway 31 N # C4,,Greenwood,IN,46142,United States,(317) 882-0637,,,,,,
Wet Seal,,371 Putnam Pike,,Smithfield,RI,02917,United States,(401) 231-3972,,,,,,
Wet Seal,,10450 S State St Ste 2212,,Sandy,UT,84070,United States,(801) 553-8259,,,,,,
Wet Seal,,Vancouver Mall,,Vancouver,WA,98662,United States,(360) 885-0823,,,,,,
Wet Seal,,8700 NE Vancouver Mall Dr,,Vancouver,WA,98662,United States,(360) 885-0823,,,,,,
Wet Seal,,1 N Galleria Dr,,Middletown,NY,10941,United States,(845) 692-4044,,,,,,
Wet Seal,,300 Monticello Ave,,Norfolk,VA,23510,United States,(757) 622-1747,,,,,,
Wet Seal,,500 Baybrook Mall,,Friendswood,TX,77546,United States,(281) 486-4442,,,,,,
Wet Seal,,19575 Biscayne Blvd,,Miami,FL,33180,United States,(305) 931-4754,,,,,,
Wet Seal,,Route 9 & Old Post Rd,,Wappingers Falls,NY,12590,United States,(845) 297-0903,,,,,,
Wet Seal,,271 Greece Ridge Center Dr #J6,,Rochester,NY,14626,United States,(585) 720-1770,,,,,,
Wet Seal,,700 Baybrook Mall 1338,,Friendswood,TX,77546,United States,(281) 486-4442,,,,,,
Wet Seal,,745 Eastview Mall,,Victor,NY,14564,United States,(585) 425-0170,,,,,,
Wet Seal,,1476 Willowbrook Mall,,Houston,TX,77070,United States,(281) 469-4225,,,,,,
Wet Seal,,4200 Portsmouth Blvd 546a,,Chesapeake,VA,23321,United States,(757) 405-3606,,,,,,
Wet Seal,,5000 Katy Mills Cir # 705,,Katy,TX,77494,United States,(281) 644-2433,,,,,,
Wet Seal,,1124 Willowbrook Mall,,Houston,TX,77070,United States,(281) 970-6222,,,,,,
Wet Seal,,5075 Westheimer Rd # 3260,,Houston,TX,77056,United States,(713) 840-7657,,,,,,
Wet Seal,,16535 Southwest Fwy,,Sugar Land,TX,77479,United States,(281) 265-4100,,,,,,
Wet Seal,,11401 Pines Blvd Ste 584,,Hollywood,FL,33026,United States,(954) 431-3011,,,,,,
Wet Seal,,2368 E Sunrise Blvd,,Fort Lauderdale,FL,33304,United States,(954) 563-4270,,,,,,
Wet Seal,,2483 E Sunrise Blvd,,Fort Lauderdale,FL,33304,United States,(954) 563-4270,,,,,,
Wet Seal,,9501 W Atlantic Blvd,,Pompano Beach,FL,33071,United States,(954) 755-8939,,,,,,
Wet Seal,,12801 W Sunrise Blvd # 627,,Sunrise,FL,33323,United States,(954) 846-8606,,,,,,
Wet Seal,,5015 Westheimer Rd # 3325,,Houston,TX,77056,United States,(713) 993-9290,,,,,,
Wet Seal,,12801 W Sunrise Blvd # 627,,Fort Lauderdale,FL,33323,United States,(954) 846-8606,,,,,,
Wet Seal,,1116 Baybrook Mall,,Friendswood,TX,77546,United States,(281) 286-0900,,,,,,
Wet Seal,,321 N University Dr,,Fort Lauderdale,FL,33324,United States,(954) 370-1442,,,,,,
Wet Seal,,201 Old Post Rd,,Poughkeepsie,NY,12601,United States,(845) 297-0903,,,,,,
Wet Seal,,8000 W Broward Blvd # 220,,Plantation,FL,33388,United States,(954) 476-7270,,,,,,
Wet Seal,,8000 W Broward Blvd,,Fort Lauderdale,FL,33388,United States,(954) 476-7270,,,,,,
Wet Seal,,701 Lynnhaven Pkwy,,Virginia Beach,VA,23452,United States,(757) 631-0965,,,,,,
Wet Seal,,700 SW 5th Ave,,Portland,OR,97204,United States,(503) 274-7936,,,,,,
Wet Seal,,701 Lynnhaven Pkwy # Eo48b,,Virginia Beach,VA,23452,United States,(757) 631-0965,,,,,,
Wet Seal,,1045 Lloyd Ctr,,Portland,OR,97232,United States,(503) 287-8065,,,,,,
Wet Seal,,6650 S Westnedge Ave # 863,,Portage,MI,49024,United States,(269) 327-1218,,,,,,
Wet Seal,,300 Monticello Ave # 180,,Norfolk,VA,23510,United States,(757) 622-3095,,,,,,
Wet Seal,,1000 N Point Cir,,Alpharetta,GA,30022,United States,(770) 753-8900,,,,,,
Wet Seal,,10450 S State St,,Sandy,UT,84070,United States,(801) 553-8259,,,,,,
Wet Seal,,2100 Pleasant Hill Rd,,Duluth,GA,30096,United States,(770) 497-0678,,,,,,
Wet Seal,,1200 Towne Centre Blvd,,Provo,UT,84601,United States,(801) 852-4445,,,,,,
Wet Seal,,8000 Mall Pkwy # 2622,,Lithonia,GA,30038,United States,(770) 484-6255,,,,,,
Wet Seal,,1000 N Point Cir 2014,,Alpharetta,GA,30022,United States,(678) 319-4273,,,,,,
Wet Seal,,2014 N Point Cir,,Alpharetta,GA,30022,United States,(770) 753-8900,,,,,,
Wet Seal,,1360 Cumberland Mall SE,,Atlanta,GA,30339,United States,(770) 432-5000,,,,,,
Wet Seal,,1360 Cumberland CT SE,,Smyrna,GA,30080,United States,(770) 432-5000,,,,,,
Wet Seal,,3393 Peachtree Rd NE # 4063,,Atlanta,GA,30326,United States,(404) 237-1888,,,,,,
Wet Seal,,371 Putnam Pike,,Greenville,RI,02828,United States,(401) 231-3972,,,,,,
Wet Seal,,4400 Ashford Dunwoody Rd,,Atlanta,GA,30346,United States,(770) 395-1300,,,,,,
Wet Seal,,6020 E 82nd St # 536,,Indianapolis,IN,46250,United States,(317) 578-2405,,,,,,
Wet Seal,,27478 Novi Rd,,Novi,MI,48377,United States,(248) 344-4947,,,,,,
Wet Seal,,385 Southbridge St,,Auburn,MA,01501,United States,(508) 721-9521,,,,,,
Wet Seal,,650 W 14 Mile Rd,,Troy,MI,48083,United States,(248) 585-3050,,,,,,
Wet Seal,,8000 Mall Pkwy,,Lithonia,GA,30038,United States,(770) 484-6255,,,,,,
Wet Seal,,2432 Fox Valley Ctr,,Aurora,IL,60504,United States,(630) 820-9072,,,,,,
Wet Seal,,14500 W Colfax Ave # 174,,Golden,CO,80401,United States,(303) 216-0189,,,,,,
Wet Seal,,8501 W Bowles Ave,,Littleton,CO,80123,United States,(303) 979-9713,,,,,,
Wet Seal,,14600 Lakeside Cir,,Sterling Heights,MI,48313,United States,(586) 532-1878,,,,,,
Wet Seal,,8405 Park Meadows Center,,Littleton,CO,80124,United States,(303) 768-0494,,,,,,
Wet Seal,,4658 Baldwin Rd,,Auburn Hills,MI,48326,United States,(248) 322-5675,,,,,,
Wet Seal,,8405 S Park Meadows Center Dr,,Lone Tree,CO,80124,United States,(303) 768-0494,,,,,,
Wet Seal,,1201 16th St,,Denver,CO,80202,United States,(303) 571-5551,,,,,,
Wet Seal,,3000 E 1st Ave,,Denver,CO,80206,United States,(303) 388-8282,,,,,,
Wet Seal,,1201 16th St Unit 200,,Denver,CO,80202,United States,(303) 623-3271,,,,,,
Wet Seal,,6001 Airport Blvd,,Austin,TX,78752,United States,(512) 453-5200,,,,,,
