store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Fashion Square Mall,,7014 E. Camelback Rd,,Scottsdale,AZ,85251,United States,480.994.0216,,,,,,
Phoenix Premium Outlets,,"4976 Premium Outlets Way, Suite 512",,Chandler,AZ,85226,United States,480.639.1890,,,,,,
Arden Fair,,1689 Arden Way,,Sacramento,CA,95815,United States,916.830.3273,,,,,,
Beverly Center,,131 North La Cienega Blvd,,Los Angeles,CA,90048,United States,310.289.3610,,,,,,
Citadel Outlets,,"100 Citadel Drive, Unit #127",,Commerce,CA,90040,United States,323.721.1632,,,,,,
Desert Hills Premium Outlets,,48650 Seminole Dr.,,Cabazon,CA,92230,United States,951.922.2333,,,,,,
Great Mall,,"447 Great Mall Drive, Space #236B",,Milpitas,CA,95035,United States,408.586.8549,,,,,,
Los Cerritos Center,,235 Los Cerritos Center,,Cerritos,CA,90703,United States,562.865.7218,,,,,,
Outlets at the Border,,"4457 Camino De La Plaza, Ste. 222",,San Diego,CA,92173,United States,619.934.4249,,,,,,
San Francisco Premium Outlets,,"2774 Livermore Outlet Drive, Space #1364",,Livermore,CA,94551,United States,925.454.1004,,,,,,
South Coast Plaza,,3333 Bristol Street,,Costa Mesa,CA,92626,United States,714.556.8842,,,,,,
Stonestown Galleria,,"3251 20th Avenue, Space #164",,San Francisco,CA,94132,United States,415.753.2339,,,,,,
Sunset Plaza,,8700 Sunset Blvd.,,W. Hollywood,CA,90069,United States,310.659.0171,,,,,,
Third Street Promenade,,1322-3 Third Street Promenade,,Santa Monica,CA,90401,United States,310.899.4474,,,,,,
Union Square,,25 Stockton St.,,San Francisco,CA,94108,United States,415.296.1004,,,,,,
Valley Fair,,2855 Steven’s Creek Blvd.,,Santa Clara,CA,95050,United States,408.423.9260,,,,,,
Westfield Topanga,,6600 Topanga Canyon Blvd.,,Canoga Park,CA,91303,United States,818.703.0429,,,,,,
Foxwoods Outlet,,"455 Trolley Line Blvd, Space #100",,Mashantucket,CT,06338,United States,860.383.2842,,,,,,
Stamford Town Center,,100 Greyrock Place,,Stamford,CT,06901,United States,203.358.4730,,,,,,
Aventura,,19501 Biscayne Boulevard,,Aventura,FL,33180,United States,305.682.3602,,,,,,
A|X Orlando Premium Outlets,,"4951 International Drive, Space # 2A01",,Orlando,Florida,32819,United States,407-352-2633,,,,,,
Dadeland,,7597 N. Kendall Dr.,,Miami,FL,33156,United States,305.740.0192,,,,,,
Dolphin Mall Outlet,,"11401 N.W. 12th Street, Space #426",,Miami,FL,33172,United States,305.392.9151,,,,,,
Florida Mall,,8001 South Orange Blossom Trail,,Orlando,FL,32809,United States,407.438.4183,,,,,,
International Plaza,,2223 N. West Shore Blvd.,,Tampa,FL,33607,United States,813.348.0768,,,,,,
Mall at Millenia,,"4200 Conroy Road, Space G-173",,Orlando,FL,32839,United States,407.226.6890,,,,,,
Orlando Premium Outlets – Vineland Ave.,,8200 Vineland Ave.,,Orlando,FL,32821,United States,407.550.4490,,,,,,
Sawgrass Mills Outlet,,"12801 West Sunrise Blvd, Space #415",,Sunrise,FL,33323,United States,954.846.0511,,,,,,
Silver Sands Premium Outlets,,10562 Emerald Coast Parkway W,,Destin,FL,32550,United States,850.837.1128,,,,,,
South Miami Beach,,760 Collins Avenue,,Miami,FL,33139,United States,305.531.5900,,,,,,
The Gardens Mall,,"3101 PGA Boulevard, Space #A-113",,Palm Beach,FL,33410,United States,561.691.4610,,,,,,
Lenox Square Center,,3393 Peachtree Rd. NE,,Atlanta,GA,30326,United States,404.869.8983,,,,,,
Ala Moana,,1450 Ala Moana Boulevard,,Honolulu,HI,96814,United States,808.942.8147,,,,,,
Waikele Premium Outlets,,94-790 Lumiaina Street,,Waipahu,HI,96797,United States,808.677.6901,,,,,,
Waikiki Shopping Plaza,,2250 Kalakaua Avenue,,Honolulu,HI,96815,United States,808.923.3340,,,,,,
Chicago Premium Outlets,,1650 Premium Outlets Blvd,,Aurora,IL,60502,United States,630.423.9505,,,,,,
Orland Square Mall,,100 Orland Square Drive,,Orland Park,IL,60462,United States,708.675.3870,,,,,,
Water Tower Place,,835 N. Michigan Avenue,,Chicago,IL,60611,United States,312.280.4749,,,,,,
