store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Firestone Complete Auto Care,345100,1558 S WABASH AVE,,CHICAGO,IL,60605-2809,United States,3126621553,41.860591,-87.625663,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,26514,909 W NORTH AVE,,CHICAGO,IL,60642-2507,United States,3127878828,41.910839,-87.65128,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,5185,3650 N ELSTON AVE,,CHICAGO,IL,60618-4316,United States,7734633444,41.947784,-87.710491,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9113,226 LAKE ST,,OAK PARK,IL,60302-2609,United States,7083868241,41.888214,-87.780969,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9261,5811 W BELMONT AVE,,CHICAGO,IL,60634-5203,United States,7738894363,41.938513,-87.771801,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,26506,5945 S ARCHER AVE,,CHICAGO,IL,60638-2802,United States,7737358887,41.795313,-87.764678,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,547484,6211 N LINCOLN AVE,,CHICAGO,IL,60659-2205,United States,7735390700,41.995065,-87.714971,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,280,5215 N MILWAUKEE AVE,,CHICAGO,IL,60630-4623,United States,7732861017,41.975045,-87.767083,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9148,7615 S CICERO AVE,,CHICAGO,IL,60652-1020,United States,7735812900,41.75409,-87.741427,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9210,4515 N HARLEM AVE,,NORRIDGE,IL,60706-4711,United States,7084571650,41.962961,-87.807185,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9202,9549 S WESTERN AVE,,CHICAGO,IL,60643-1013,United States,7732980570,41.720048,-87.681978,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,9180,8801 SKOKIE BLVD,,SKOKIE,IL,60077-2225,United States,8476779550,42.040776,-87.747022,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,7757,8501 S HARLEM AVE,,BRIDGEVIEW,IL,60455-1722,United States,7084300180,41.737147,-87.799281,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,15520,10327 S CICERO AVE,,OAK LAWN,IL,60453-4701,United States,7084252997,41.704853,-87.740149,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,353223,7237 W DEMPSTER,,NILES,IL,60714-0000,United States,8479661470,42.040692,-87.807152,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Carson Tire Service,765809,1005 W Huron,,Chicago,IL,60642-5952,United States,3122260868,41.894212,-87.652805,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
River West Automotive,782824,1314 West Grand Avenue,,Chicago,IL,60642-6443,United States,3122437499,41.89134,-87.65966,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
City Tire,216569,452 West 47th St.,,Chicago,IL,60609-3517,United States,7732687400,41.80928,-87.63787,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Swift Car Care,249817,4456 S. Ashland Ave.,,Chicago,IL,60609,United States,7738904300,41.813008,-87.665102,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Swift Car Care,780244,4465 W Grand Ave,,Chicago,IL,60639-4708,United States,7732271300,41.910756615211,-87.7381774711666,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Associated Tire & Battery,771493,6212 Roosevelt Road,,Oak Park,IL,60304-2302,United States,7083836673,41.865415,-87.779714,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Central Chicago Tire & Wheel Co.,349223,7829 W. Grand Ave.,,Elmwood Park,IL,60707-1823,United States,7084563354,41.92625,-87.82241,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Brad's Tire,607037,9100 S. Chicago Ave.,,Chicago,IL,60617-4227,United States,7739783900,41.7298551295896,-87.5555716254374,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Norwood Auto Service Center,771129,6055 N Northwest Hwy,,Chicago,IL,60631-2542,United States,7737747333,41.99163,-87.797205,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Wentworth Tire Service,67075,11130 S.  Corliss,,Chicago,IL,60628-4672,United States,7738214802,41.6922196485838,-87.6007632810737,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Cars Of America,776866,2650 Green Bay Road,,Evanston,IL,60201-1422,United States,2243075000,42.06597,-87.70057,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Morton Grove Auto and Truck,772089,9440 Waukegan Rd.,,Morton Grove,IL,60053-1352,United States,8479668045,42.052336,-87.799479,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,320672,2305 SCHOFIELD RD BLDG 2610,,FORT SAM HOUSTON,TX,78234-0723,United States,2102240209,29.455021,-98.446228,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,7870,4800 BROADWAY,,ALAMO HTS,TX,78209-5704,United States,2108247547,29.470252,-98.463355,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,655287,1311 GOLIAD RD,,SAN ANTONIO,TX,78223-2768,United States,2105328473,29.374721,-98.447731,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,654795,2415 PLEASANTON RD,,SAN ANTONIO,TX,78221-1504,United States,2109219444,29.355076,-98.503881,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
Firestone Complete Auto Care,20397,2400 SW MILITARY DR,,SAN ANTONIO,TX,78224-1411,United States,2109271172,29.356587,-98.533385,Mon: - ; Tue: - ; Wed: - ; Thu: - ; Fri: - ; Sat: - ; Sun: - ; ,,,0
