store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
See By Chlo SKP Beijing,28224,No. 87 Jianguo Road Chaoyang District   ,,Beijing,,100004,China,+86 10 8588 7982,39.915648,116.485504,Monday to Sunday: 10:00-22:00,,,
See By Chlo David JonesnBourke Street,28225,310 Bourke Street  VIC ,,Melbourne,,3000,Australia,+61 3 9643 2222,-37.813309,144.964402,"Monday to Friday : 9:30 - 19.00, Saturday : 9:00 - 19.00, Sunday : 9:30 - 19.00",,,
See By Chlo David JonesnElizabeth Street,28226,86 -108 Castlereagh Street  ,,Sydney,,2000,Australia,+61 2 9266 5544,33.8688,151.2093,"Monday to Friday : 9:30 - 19.00, Saturday : 9:00 - 19.00, Sunday : 9:30 - 19.00",,,
See By Chlo El Corte Inglès,28227,47 Calle Serrano,,Madrid,,28001,Spain,+34 914 32 54 90,40.429939,-3.687042,"Monday to Saturday: 10:00-20:00, Sunday: 11:00-21:00",,,
See By Chlo Printemps,28228,64 boulevard Haussmann,,Paris,,75009,France,+33(0) 1 42 82 50 00,48.873642,2.328122,"Monday to Saturday : 9:35-20:00, Thursday: 9:35-20:45, Sunday: 11:00-19:00",,,
See By Chlo Le Bon March,28229,24 rue de sèvres,,Paris,,75007,France,+33(0) 1 44 39 80 00,48.850534,2.324680,"Monday to Saturday : 10:00-20:00, Thursday: 10:00-20:45, Sunday: 11:00-20:00",,,
See By Chlo Galeries Lafayette,28231,40 boulevard Haussmann,,Paris,,75009,France,+33(0) 1 45 26 37 74,48.873119,2.332154,"Monday to Saturday: 9:30-20:30, Sunday: 11:00-19:00",,,
See By Chlo Printemps,28232,64 boulevard Haussmann,,Paris,,75009,France,+33(0) 1 42 82 40 87,48.873642,2.328122,"Monday to Saturday : 9:35-20:00, Thursday: 9:35-20:45, Sunday: 11:00-19:00",,,
See By Chlo Harvey NicholsnLandmark,28234,15 Queen's Road Central  SAR China,,Hong Kong,,,Hong Kong,+852 3695 3388,22.280545,114.157903,"Monday to Saturday : 10:00 - 21.00, Sunday : 10:00 - 19.00",,,
See By Chlo Harvey NicholsnPacific Place,28235,88 Queensway  SAR China,,Hong Kong,,,Hong Kong,+852 3968 2668,22.277645,114.165394,"Monday to Saturday : 10:00 - 21.00, Sunday : 10:00 - 19.00",,,
See By Chlo Isetan Shinjyuku,28236,3-14-1 Shinjuku Shinjuku-ku okyo 160-0022,,Tokyo,,160-0222,Japan,+81 3 5369 3508,35.691637,139.704616,Monday to Sunday: 10.30-20.00,,,
See By Chlo Seibu Shibuya,28237,21-1 Udagawacho Shibuya-ku  ,,Tokyo,,150-8330,Japan,+81 3 5728 3602,35.660733,139.700379,"Monday to Saturday: 10.00-21.00, Sunday: 10.00-20.00",,,
See By Chlo Hankyu Umeda,28238,8-7 Kakudacho Kita-ku  ,,Osaka,,530-8350,Japan,+81 6 6313 7123,34.702470,135.498494,"Sunday to Thursday: 10.00-20.00, Friday to Saturday: 10.00-21.00",,,
See By Chlo Nagoya Mitsukoshi,28239,3-5-1 Sakae Naka-ku  ,,Nagoya,,460-8669,Japan,+81 52 252 1312,35.168349,136.907692,Monday to Sunday: 10.00-19.30,,,
See By Chlo Daimaru Kobe,28240,40 Akashi-machi Chuo-ku  ,,Kobe,,650-0037,Japan,+81 78 391 1005,34.688624,135.190514,Monday to Sunday: 10.00-20.00,,,
See By Chlo Seibu Ikebukuro,28241,1-28-1 Minami-Ikebukuro Toshima-ku  ,,Tokyo,,171-8569,Japan,+81 3 3987 6561,35.729078,139.711679,Monday to Sunday: 10.00-21.00,,,
See By Chlo Daimaru Shinsaibashi,28242,1-7-1 Shinsaibashi Chuo-ku  ,,Osaka,,542-8501,Japan,+81 6 6241 8108,34.673924,135.500956,Monday to Sunday: 10.00-20.30,,,
See By Chlo Sogo Yokohama,28243,2-18-1 Takashima Nishi-ku  ,,Yokohama,,220-8510,Japan,+81 45 451 3582,35.465431,139.625032,Monday to Sunday: 10.00-20.00,,,
See By Chlo Nagoya Takashimaya,28244,1-1-4 Meieki Nakamura-ku  450-6001,,Nagoya,,460-6001,Japan,+81 52 561 5007,35.170950,136.883291,Monday to Sunday: 10.00-20.00,,,
See By Chlo Iwataya,28245,2-5-35 Tenjin Chuo-ku  ,,Fukuoka,,810-8680,Japan,+81 92 716 1163,33.588842,130.397425,Monday to Sunday: 10.00-20.00,,,
See By Chlo Ginza Mitsukoshi,28246,4-6-16 Ginza Chuo-ku  ,,Tokyo,,104-8212,Japan,+81 3 3564 3051,35.671322,139.765836,Monday to Sunday: 10.30-20.00,,,
