store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Façonnable Litoral Knokke,,"Kustlaan, 101,",,Knokke Le Zoute,West-Vlaanderen, 8300,Belgium,+32 50 600 438,,,,,,
Façonnable Waterloo Brussels,,"Boulevard De Waterloo, 45,",,Brussels,Brussels (Capital), 1000,Belgium,+32 250 35 155,,,,,,
Façonnable Outlet Maasmechelen Village,,"Maasmechelen Village, Unit 106B, 
Zetelaan, 100",,Maasmechelen,Limburg, 3630,Belgium,+32 89774240,,,,,,
Façonnable La Grande Chausee Lille,,"21, Rue De La Grande Chausée,",,Lille,Nord, 59800,France,+33 3 20 06 28 00,,,,,,
Façonnable L'Eglise Megeve,,"7, Place De l'Eglise,",,Megeve,Savoie (Haute), 74120,France,+33 4 50 58 97 32,,,,,,
Façonnable Saint Germain Paris,,"174, boulevard St. Germain,",,Paris,Paris, 75006,France,+33 1 40 49 02 47,,,,,,
Façonnable Rue Royale Annecy,,"2, Rue Royale,",,Annecy,Savoie (Haute), 74000,France,+33 4 50 45 40 18,,,,,,
Façonnable Rue Marbeuf,,"27, Rue Marbeuf,",,Paris,Paris, 75008,France,+33 1 49 52 05 84,,,,,,
Façonnable Edouard Herriot Lyon,,"30, Rue Du President Edouard Herriot,",,Lyon,Rhone, 69001,France,+33 4 78 28 10 48,,,,,,
Façonnable Casino Deauville,,"Rue Du Casino,",,Deauville,Calvados, 14800,France,+33 2 31 14 03 58,,,,,,
Façonnable Paradis Nice,,"7-9, Rue Paradis,",,Nice,Alpes-Maritimes, 06000,France,+33 4 93 87 88 80,,,,,,
Façonnable La Garonne Saint Tropez,,"Traverse De La Garonne,",,Saint Tropez,Var, 83990,France,+33 4 94 97 29 98,,,,,,
Façonnable Intendance Bordeaux,,"37, Cours De L'Intendance,",,Bordeaux,Gironde, 33000,France,+33 5 56 52 64 77,,,,,,
Façonnable Joseph Vernet Avignon,,"30, Rue Joseph Vernet,",,Avignon,Vaucluse, 84000,France,+33 4 90 82 35 88,,,,,,
Façonnable Antibes Cannes,,"100, Rue D'Antibes,",,Cannes,Alpes-Maritimes, 06400,France,+33 4 93 39 04 04,,,,,,
Façonnable Mirabeau Aix En Provence,,"44, Cours Mirabeau,",,Aix En Provence,Bouches-du-Rhone, 13100,France,+33 4 42 27 57 42,,,,,,
Façonnable Outlet La Vallee,,"La Vallée Village, 
3 Cours De La Garonne,",,La Vallee,Seine-et-Marne, 77700,France,+33 1 60 42 70 55,,,,,,
Façonnable Outlet Troyes,,"C.C. Mc Arthur Glen Troyes, Unit 50,
Voie Du Bois,",,Troyes,Aube, 10150,France,+33 3 25 81 38 66,,,,,,
Façonnable Moulins Monaco,,"23, Boulevard Des Moulins,",,Monaco,, 98000,Monaco,+37 7 93 50 50 66,,,,,,
Façonnable Diana Park Lisboa,,"Rua Profesor Dr. Carlos Mota,
Edificio Diana Park,",,Lisboa,Grande Lisboa, 1070-046,Portugal,+35 1213860350,,,,,,
Façonnable Outlet La Roca,,"C.C. La Roca Village,",,La Roca,Barcelona, 08430,Spain,+34 93 84 23 723,,,,,,
