store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Fred Meyer Jewelers,70200765,2020 Southlake Mall,,Merrillville,IN,46410,United States,2197382056,41.4705227,-87.3114589,"Monday 10:00-21:00, Tuesday 10:00-21:00, Wednesday 10:00-21:00, Thursday 10:00-21:00, Friday 10:00-21:00, Saturday 10:00-21:00, Sunday 11:00-18:00",,,
Fred Meyer Jewelers,70200757,3340 Mall Loop Dr Spc 1278,,Joliet,IL,60431,United States,8154363311,41.5794251,-88.165314,"Monday 10:00-21:00, Tuesday 10:00-21:00, Wednesday 10:00-21:00, Thursday 10:00-21:00, Friday 10:00-21:00, Saturday 10:00-21:00, Sunday 11:00-18:00",,,
Fred Meyer Jewelers,70200762,6501 Grape Rd Ste 180,,Mishawaka,IN,46545,United States,5742720488,41.7195665,-86.1878118,"Monday 10:00-21:00, Tuesday 10:00-21:00, Wednesday 10:00-21:00, Thursday 10:00-21:00, Friday 10:00-21:00, Saturday 10:00-21:00, Sunday 11:00-18:00",,,
Fred Meyer Jewelers,70200738,5300 S 76Th St Ste 1620,,Greendale,WI,53129,United States,4144218555,42.9484701,-88.0083324,"Monday 10:00-21:00, Tuesday 10:00-21:00, Wednesday 10:00-21:00, Thursday 10:00-21:00, Friday 10:00-21:00, Saturday 10:00-21:00, Sunday 11:00-18:00",,,
Fred Meyer Jewelers,70200129,9703 Barker Cypress Road,,Cypress,TX,77433,United States,2817463650,29.918981,-95.689605,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
Fred Meyer Jewelers,70200110,25651 US Hwy 59 North,,Kingwood,TX,77339,United States,2819730642,30.072039,-95.243007,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
Fred Meyer Jewelers,70200037,8011 W Grand Pkwy S,,Richmond,TX,77407,United States,2813412790,29.663889,-95.738225,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
Fred Meyer Jewelers,70200133,24350 Kuykendahl,,Tomball,TX,77375,United States,2812050952,30.114586,-95.552614,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
Fred Meyer Jewelers,70200230,20355 Cypresswood Drive,,Cypress,TX,77433,United States,8329523185,29.990374,-95.736606,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
Fred Meyer Jewelers,70200057,24401 Brazos Town Xing,,Rosenberg,TX,77471,United States,2812321660,29.541542,-95.750753,"Monday 10:00-20:00, Tuesday 10:00-20:00, Wednesday 10:00-20:00, Thursday 10:00-20:00, Friday 10:00-20:00, Saturday 10:00-20:00, Sunday 12:00-18:00",,,
