store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"CARLE PLACE,NY",,135 Voice Road ,,Carle Place ,NY,11514,United States,(516) 877-7923,,,,,,
"DEERPARK, NY",,152 The Arches Circle ,,Deer Park ,NY,11729,United States,(631) 254-1300,,,,,,
"HARRIMAN, NY",,498 Bluebird Court ,,Central Valley ,NY,10917,United States,(845) 928-0623,,,,,,
"JACKSON,NJ",,537 Monmouth Road ,,Jackson ,NJ,08527,United States,(732) 833-9602,,,,,,
"CHICAGO, IL",,1650 Premium Outlet Blvd ,,Aurora ,IL,60502,United States,(630) 898-7718,,,,,,
"MICHIGAN CITY, IN",,601 Wabash ST ,,Michigan City ,IN,46360,United States,(219) 879-6744,,,,,,
"EDINBURGH,IN",,11622 N.e. Executive DR ,,Edinburg ,IN,46124,United States,(812) 526-6220,,,,,,
"FRANKENMUTH,MI      00379",,8925 Marketplace DR ,,Birch Run ,MI,48415,United States,(989) 624-1272,,,,,,
"CAMARILLO,CA",,740 Ventura Blv/suite 430 ,,Camarillo ,CA,93010,United States,(805) 445-9870,,,,,,
"SAN CLEMENTE, CA",,101 West Avenida Vista ,,Hermosa San Clemente ,CA,92672,United States,(949) 498-2535,,,,,,
"CARLSBAD, CA",,5630 Paseo Del Norte ,,Carlsbad ,CA,92008,United States,(760) 929-1920,,,,,,
"SAN YSIDRO, CA",,4125 Camino DE LA Plaza ,,San Diego ,CA,92173,United States,(619) 662-1100,,,,,,
"GLENDALE, AZ",,6800 N 95 Ave Ste 260 ,,Glendale ,AZ,85305,United States,(623) 772-0160,,,,,,
"CHANDLER, AZ",,4976 Premium Outlets Way ,,Chandler ,AZ,85226,United States,(480) 639-1709,,,,,,
"NEW RIVER,AZ",,4250 West Anthem Way ,,Phoenix ,AZ,85086,United States,(623) 465-7153,,,,,,
"LAS VEGAS,NV        00340",,7400 Las Vegas Blvd South ,,Las Vegas ,NV,89123,United States,(702) 897-5417,,,,,,
"HOUSTON, TX",,29300 Hempstead RD ,,Cypress ,TX,77433,United States,(281) 256-7794,,,,,,
"TEXAS CITY, TX",,5885 Gulf Freeway ,,Texas City ,TX,77591,United States,(281) 534-1734,,,,,,
"SAN MARCOS,TX",,3939 I-35 North ,,San Marcos ,TX,78666,United States,(512) 353-7555,,,,,,
"SAN MARCOS, TX",,4015 I 35 South ,,San Marcos ,TX,78666,United States,(512) 392-2036,,,,,,
"PHILADELPHIA, PA",,18 West Lightcap Road ,,Pottstown ,PA,19464,United States,(610) 326-6860,,,,,,
"BETHLEHEM, PA",,77 Sands Blvd Suite 105 ,,Bethlehem ,PA,18015,United States,(610) 868-1591,,,,,,
"ATLANTIC CITY, NJ   00459",,32 N Michigan Ave ,,Atlantic City ,NJ,08401,United States,(609) 344-6273,,,,,,
"SEVIERVILLE, TN",,1645 Parkway ,,Sevierville ,TN,37862,United States,(865) 774-2758,,,,,,
"BLOWING ROCK, NC",,Us Highway 321 ,,Blowing Rock ,NC,28605,United States,(828) 295-4209,,,,,,
"FOLEY,AL",,2601 S Mckenzie ST ,,Foley ,AL,36535,United States,(251) 943-2703,,,,,,
"ST AUGUSTINE,FL",,2700 State Rd 16 ,,St. Augustine ,FL,32092,United States,(904) 829-6295,,,,,,
"GILROY II,CA",,681 Leavesley Rd ,,Gilroy ,CA,95020,United States,(408) 847-0326,,,,,,
"LIVERMORE, CA",,2774 Livermore Outlets DR ,,Livermore ,CA,94551,United States,(925) 447-9005,,,,,,
"VACAVILLE,CA",,222 Nut Tree Rd ,,Vacaville ,CA,95688,United States,(707) 446-2836,,,,,,
"FOLSOM,CA",,13000 Folsom Blvd ,,Folsom ,CA,95630,United States,(916) 985-0628,,,,,,
"GRAND PRAIRIE, TX",,2950 West Interstate 20 ,,Grand Prairie ,TX,75052,United States,(972) 606-4720,,,,,,
"CINCINNATI, OH",,400 Premium Outlets DR ,,Monroe ,OH,45050,United States,(513) 539-7186,,,,,,
"MEBANE, NC",,4000 Arrowhead Blvd ,,Mebane ,NC,27302,United States,(919) 563-1921,,,,,,
"SMITHFIELD,NC",,1025 Industrial Park DR ,,Smithfield ,NC,27577,United States,(919) 934-6354,,,,,,
"N. MYRTLE BEACH, SC",,10823 Kings Road N. ,,Myrtle Beach ,SC,29572,United States,(843) 449-8358,,,,,,
"GROVE CITY,PA",,1911 Leesburg Grove City Road ,,Grove City ,PA,16127,United States,(724) 748-3268,,,,,,
"CHESTERFIELD, MO",,18521 Outlet Blvd ,,Chesterfield ,MO,63005,United States,(636) 778-1496,,,,,,
"OSAGE BEACH, MO",,4540 Highway 54 ,,Osage Beach ,MO,65065,United States,(573) 302-0037,,,,,,
"ALLEN, TX",,820 W. Stacy RD ,,Allen ,TX,75013,United States,(972) 678-6002,,,,,,
"ROUND ROCK, TX",,4401 North Ih-35 ,,Round Rock ,TX,78664,United States,(512) 930-7755,,,,,,
"BRANSON,MO          00367",,300 Tanger Dr ,,Branson ,MO,65616,United States,(417) 335-5875,,,,,,
"MARYSVILLE, WA",,10600 Quil Ceda Blvd ,,Tulalip ,WA,98271,United States,(360) 716-2700,,,,,,
"WOODBURN, OR",,1001 N. Arney RD ,,Woodburn ,OR,97071,United States,(503) 982-8400,,,,,,
"WRENTHAM,MA",,1 Premium Outlet Blvd ,,Wrentham ,MA,02093,United States,(508) 384-9896,,,,,,
"MERRIMACK, NH",,80 Premium Outlets Blvd ,,Merrimack ,NH,03054,United States,(603) 424-7344,,,,,,
"CLINTON, CT",,20-a Killingworth Tpk ,,Clinton ,CT,06413,United States,(860) 669-3356,,,,,,
"LEE,MA",,17 Premium Outlets Blvd ,,Lee ,MA,01238,United States,(413) 243-2540,,,,,,
"LEESBURG,VA",,241 FT Evans RD NE ,,Leesburg ,VA,20176,United States,(703) 779-7583,,,,,,
"HERSHEY,PA",,54 Outlet Square ,,Hershey ,PA,17033,United States,(717) 534-8580,,,,,,
"REHOBOTH BEACH, DE",,35000 Midway Outlet ,,Rehoboth Beach ,DE,19971,United States,(302) 644-1158,,,,,,
"LAS VEGAS, NV",,905 South Grand Central Pkwy ,,Las Vegas ,NV,89106,United States,(702) 382-3881,,,,,,
"ST GEORGE,UT",,250 N Red Cliffs DR ,,St. George ,UT,84790,United States,(435) 674-0031,,,,,,
"CASTLE ROCK,CO",,5050 Factory Shops Blvd ,,Castle Rock ,CO,80108,United States,(303) 688-3477,,,,,,
"PISMO BEACH, CA",,333 Five Cities Dr ,,Pismo Beach ,CA,93449,United States,(805) 773-5835,,,,,,
"WILIAMSBURG ,VA",,5715-62a Richmond Road ,,Williamsburg ,VA,23188,United States,(757) 220-5845,,,,,,
"EAGAN, MN",,3965 Eagan Outlets Parkwy ,,Eagan ,MN,55122,United States,(952) 686-7911,,,,,,
"ALBERTVILLE, MN",,6415 Labeaux Ave ,,Albertville ,MN,55301,United States,(763) 497-5724,,,,,,
"FLORIDA CTY,FL",,250 E Palm Dr ,,Florida City ,FL,33034,United States,(305) 248-9935,,,,,,
"SUNRISE,FL",,12801 W Sunrise Blvd ,,Sunrise ,FL,33323,United States,(954) 846-8204,,,,,,
"WEST PALM BEACH, FL",,1751 Palm Beach Lake Blvd ,,West Palm Beach ,FL,33401,United States,(561) 686-2070,,,,,,
"MARCO ISLAND,FL",,6060 Collier Blvd ,,Naples ,FL,34114,United States,(239) 774-7732,,,,,,
"LUTZ, FL",,2398 Grand Cypress Drive ,,Lutz ,FL,33559,United States,(813) 675-0482,,,,,,
