store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Dillards at Acadiana Mall,766,5725 Johnston Road,,Lafayette,LA,70503,US,337-989-8139,30.171276,-92.0755183,,,,
Dillards at Alexandria Mall,436,3437 Masonic Drive,,Alexandria,LA,71301,US,318-445-9992,31.2774645,-92.4613055,,,,
Dillards at Altamonte Mall,226,451 East Altamonte Drive,Suite #1101,Altamonte Springs,FL,32701,US,407-830-1211,28.6665743,-81.3773795,,,,
Dillards at Antelope Valley Mall,961,1255 Rancho Vista Blvd.,,Palmdale,CA,93551,US,661-267-0670,34.6018681,-118.1536101,,,,
Dillards at Arrowhead Towne Center,907,7800 W. Arrowhead Towne Center,,Glendale,AZ,85308,US,623-979-1128,33.644156,-112.2264317,,,,
Dillards at Asheville Mall,148,#3 South Tunnel Road,,Asheville,NC,28805,US,828-298-2611,35.580897,-82.5266687,,,,
Dillards at Atlantic Station,265,1371 Market Street,,Atlanta,GA,30363,US,404-879-0635,33.7922207,-84.3944558,,,,
Dillards at Auburn Mall,417,1627 Opelika Road,Suite 16,Auburn,AL,36830,US,334-821-3900,32.6269799,-85.4473554,,,,
Dillards at Augusta Mall,267,3450 Wrightsboro Road,,Augusta,GA,30909,US,706-481-0600,33.465722,-82.081031,,,,
Dillards at Avenue Carriage Crossing,409,4620 Merchants Park Circle,,Collierville,TN,38017,US,901-850-2229,35.021653,-89.7198104,,,,
Dillards at Barton Creek Square,733,2901 Capitol of Texas Hwy,,Austin,TX,78746,US,512-327-6100,30.2576953,-97.8069052,,,,
Dillards at Battlefield Mall,314,2825 South Glenstone Avenue,#400,Springfield,MO,65804,US,417-883-4550,37.1627417,-93.2656737,,,,
Dillards at Baybrook Mall,779,600 Baybrook Mall,,Friendswood,TX,77546,US,281-486-0700,29.543526,-95.150273,,,,
Dillards at Beachwood Place,365,26500 Cedar Road,,Beachwood,OH,44122,US,216-464-6000,41.4981802,-81.4923548,,,,
Dillards at Bel Air,241,3300 Airport Blvd.,,Mobile,AL,36606,US,251-471-1551,30.6762725,-88.1225524,,,,
Dillards at Boise Towne Square,934,350 North Milwaukee,,Boise,ID,83704,US,208-321-4646,43.6097017,-116.2771205,,,,
Dillards at Brandon Town Center,204,303 Brandon Town Center,,Brandon,FL,33511,US,813-653-4436,27.9350745,-82.3268776,,,,
Dillards at Brazos Mall,784,100 Highway 332 West,Suite 1400,Lake Jackson,TX,77566,US,979-297-7201,29.0500407,-95.4592852,,,,
Dillards at Broadway Square,749,4601 South Broadway Avenue,,Tyler,TX,75703,US,903-561-1221,32.3007053,-95.3028104,,,,
Dillards at Broward Mall,252,8000 West Broward Blvd.,Suite 150,Plantation,FL,33388,US,954-370-8182,26.1195218,-80.2548521,,,,
Dillards at Carolina Place,151,11041 Carolina Place Parkway,,Pineville,NC,28134,US,704-544-0113,35.080712,-80.875811,,,,
Dillards at Central Mall,437,2400 Richmond Rd. ,Suite 33,Texarkana,TX,75503,US,903-838-6591,33.4554963,-94.0807274,,,,
Dillards at Central Mall,799,200 Southwest C Avenue,,Lawton,OK,73501,US,580-248-8120,34.603923,-98.3921539,,,,
Dillards at Central Mall,413,5111 Rogers Avenue,,Fort Smith,AR,72903,US,479-484-5700,35.366924,-94.375116,,,,
Dillards at Central Mall,787,3100 Highway 365,,Port Arthur,TX,77642,US,709-724-7575,29.9481237,-93.9894991,,,,
Dillards at Chandler Fashion Center,908,3101 West Chandler Blvd.,,Chandler,AZ,85226,US,780-735-2060,33.3028328,-111.8965833,,,,
Dillards at Chapel Hills Mall,994,1790 Briargate Blvd.,,Colorado Springs,CO,80920,US,719-532-1400,38.9487979,-104.7934517,,,,
Dillards at Chesterfield Mall,302,100 Chesterfield Mall,,Chesterfield,MO,63017,US,636-532-4040,38.6539829,-90.564958,,,,
Dillards at Cielo Vista Mall,924,8401 Gateway Blvd West,,El Paso,TX,79925,US,915-779-6969,31.7748442,-106.3793053,,,,
Dillards at Citrus Park Town Center,203,8161 Citrus Park Town Ctr Mall,,Tampa,FL,33625,US,813-926-4545,28.0681909,-82.5796101,,,,
Dillards at Coastal Grand,163,100 Coastal Grand Circle,,Myrtle Beach,SC,29577,US,843-839-2917,33.7012415,-78.926783,,,,
