store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
BROMBERG & CO. INC.,164,131 Summit Blvd.,,Birmingham,AL,35243,US,205-969-1776,33.444192,-86.730686,,,,
BROMBERG & CO. INC.,165,2800 Cahaba Road,,Mountain Brook,AL,35223,US,205-871-3276,33.483322,-86.774009,,,,
Osbornes Jewelers,381,3502 S. Memorial Parkway,,Huntsville,AL,35801,US,256-883-2150,34.696174,-86.583942,,,,
Osbornes Jewelers,382,622 South Jefferson Street,,Athens,AL,35611,US,256-232-4333,34.795634,-86.972254,,,,
Saks Fifth Avenue - Birmingham,409,129 Summit Blvd,,Birmingham,AL,35243,US,205-298-8550,33.445745,-86.731711,,,,
"CLAUDE MOORE JEWELER, INC.",48,3700 Dauphin Street,,Mobile,AL,36608,US,251-380-9400,30.687587,-88.131033,,,,
"WARE JEWELERS, INC - Downtown",510,111 S. College St.,,Auburn,AL,36830,US,334-821-7375,32.606186,-85.481377,,,,
"WARE JEWELERS, INC - East Chase",511,7268 East Chase Parkway,,Montgomery,AL,36117,US,334-386.9273,32.298427,-86.207335,,,,
"WARE JEWELERS, INC",512,30500 State Hwy 181 Ste. 316,,Spanish Fort,AL,36527,US,251-338-9273,30.670668,-87.85163,,,,
"WARE JEWELERS, INC - Tiger Town",513,2163 Tigertown Parkway,,Opelika,AL,36801,US,334.749.7375,32.619325,-85.406658,,,,
Nordstrom - Fashion Square,368,7055 East Camelback Road,,Scottsdale,AZ,85251,US,(480) 946-4111,33.502131,-111.929538,,,,
Saks Fifth Avenue - Phoenix,415,2446 E. Camelback Rd,,Phoenix,AZ,85016,US,602-955-8000,33.509459,-112.029118,,,,
Renee Taylor Gallery,472,336 S. R 179 Suite B 124,,Sedona,AZ,86336,US,928-282-7130,34.862227,-111.763464,,,,
Renee Taylor Gallery,473,"276 N. Hwy 89A, Suite C2",,Sedona,AZ,86336,US,928-282-1506,34.871247,-111.759593,,,,
MICHAEL'S CREATIVE JEWELRY,293,23233 N. Pima Rd Suite 111,,PHOENIX,AZ,85255,US,480- 515-1200,33.69665,-111.889255,,,,
Neiman Marcus - Scottsdale,334,6900 E Camelback,,Scottsdale,AZ,85251,US,480-990-2100,33.502688,-111.932091,,,,
Lauray's,96,402 Central Avenue,,Hot Springs,AR,71901,US,501-321-2441,34.513623,-93.054246,,,,
ROBERSON'S FINE JEWELRY,394,11525 Cantrell Road,,Little Rock,AR,72212,US,501-664-9000,34.791963,-92.40133,,,,
Underwood's Fine Jewelers,485,611 W Dickson St,,"Fayetteville, AR 72701",AR,72701,US,479-521-200,36.066274,-94.16745,,,,
"LUX, BOND & GREEN",279,46 La Salle Road,,West Hartford,CT,06107,US,860-521-3015,41.760205,-72.743975,,,,
"LUX, BOND & GREEN",280,169 Greenwich Avenue,,Greenwich,CT,06830,US,203-629-0900,41.028229,-73.62594,,,,
"LUX, BOND & GREEN",278,Somerset Square,,Glastonbury,CT,06033,US,860-659-8510,41.725854,-72.549812,,,,
Hyde Park - Cherry Creek Shopping Center,229,3000 E 1st Ave #243,,Denver,CO,80206,US,303-333-4446,39.717501,-104.952671,,,,
Nordstrom - Park Meadows,365,8465 Park Meadows Center Drive,,Littleton,CO,80124,US,(303) 799-3400,39.559285,-104.876622,,,,
Neiman Marcus - Denver,331,3030 E. First Ave,,Denver,CO,80206,US,303-329-2600,39.717201,-104.952082,,,,
Williams Jewelers,516,5106 South Broadway,,Englewood,CO,80113,US,303-761-9700,39.623714,-104.98624,,,,
Hamilton Jewelers Pavillion,77,504 Pavilions Ln,,Sacramento,CA,95825,US,916-927-2300,38.574573,-121.410302,,,,
Bloomingdale's - San Francisco,139,845 Market St,,San Francisco,CA,94103,US,415-856-5424,37.78451,-122.406709,,,,
Bloomingdale's - Century City,143,10250 Santa Monica Blvd,,Los Angeles,CA,90067,US,310-772-7113,34.059604,-118.419432,,,,
Bloomingdale's - Sherman Oaks,144,14060 Riverside Dr,,Sherman Oaks,CA,91423,US,818-325-2340,34.157124,-118.43932,,,,
Bloomingdale's - Fashion Newport,145,701 Newport Center Dr,,Newport Beach,CA,92660,US,949-729-6712,33.617442,-117.875762,,,,
Bloomingdale's - Stanford,146,1 Stanford Shopping Center,,Palo Alto,CA,94304,US,650-463-2046,37.44291,-122.171266,,,,
Bloomingdale's - Beverly Center,147,8500 Beverly Blvd,,Los Angeles,CA,90048,US,310-360-2832,34.075331,-118.377493,,,,
Bloomingdale's - Glendale,151,103 South Brand Blvd,,Glendale,CA,91210,US,818-638-4100,34.145312,-118.255897,,,,
Bloomingdale's - San Diego,152,7057 Friars Rd,,San Diego,CA,92108,US,619-610-6451,32.76859,-117.164433,,,,
Bloomingdale's - South Coast Plaza,153,3333 S.Bristol St,,Costa Mesa,CA,92626,US,714-824-4678,33.69074,-117.888973,,,,
Neiman Marcus - Topanga,343,6550 Topanga Canyon Blvd,,Canoga Park,CA,91303,US,818-316-7000,34.190246,-118.605033,,,,
Neiman Marcus - Walnut Creek,345,1000 S. Main St,,Walnut Creek,CA,94596,US,925-279-3000,37.897306,-122.059925,,,,
Nordstrom - Walnut Creek,366,1200 Broadway Plaza,,Walnut Creek,CA,94596,US,(925) 930-7959,37.897166,-122.058178,,,,
Nordstrom - South Coast Plaza,372,3333 Bristol Street,,Costa Mesa,CA,92626,US,(714) 549-8300,33.69074,-117.888973,,,,
Nordstrom - Fashion Valley Center,373,6997 Friars Road,,San Diego,CA,92108,US,(619) 295-4441,32.768896,-117.168087,,,,
Saks Fifth Avenue - Beverly Hills,404,9600 Wilshire Blvd,,Beverly Hills,CA,90212,US,310-275-4211,34.066723,-118.40372,,,,
Saks Fifth Avenue - Palm Desert,408,73555 El Paseo Dr,,Palm Desert,CA,92260,US,760-837-2900,33.71958,-116.388951,,,,
Augustina's   A Gallery of Wearable Art,585,Ocean Avenue,,Carmel-by-the-Sea,CA,93921,US,831-624-2403,36.555096,-121.919506,,,,
SWISS WATCH GALLERY,468,940 The Shops at Mission Viejo,,Mission Viejo,CA,92691,US,949-364-2500,33.557141,-117.671389,,,,
CREATIONS BY YOU FINE JEWELERS,50,3341 Solano Avenue,,Napa,CA,94558,US,707-252-8131,38.3197439,-122.3109835,,,,
"MULLOYS FINE JEWELRY, INC.",302,2978 State Street,,Carlsbad,CA,92008,US,760-729-5771,33.159962,-117.348783,,,,
Neiman Marcus - Los Angeles,318,9700 Wilshire Blvd,,Beverly Hills,CA,90212,US,310-550-5900,34.066688,-118.406146,,,,
Neiman Marcus - Fashion Island,319,601 Newport Center Dr,,Newport Beach,CA,92660,US,949-759-1900,33.617919,-117.875087,,,,
Neiman Marcus - San Francisco,320,150 Stockton St,,San Francisco,CA,94108,US,415-362-3900,37.787313,-122.406975,,,,
Neiman Marcus - San Diego,324,7027 Friars Rd,,San Diego,CA,92108,US,619-692-9100,32.76893,-117.167137,,,,
Neiman Marcus - Palo Alto,329,400 Stanford Center,,"Palo, Alto",CA,94304,US,650-329-3300,37.441328,-122.17261,,,,
Saks Fifth Avenue - South Coast Plaza,422,3333 Bristol St,,Costa Mesa,CA,92626,US,714-540-3233,33.69074,-117.888973,,,,
Saks Fifth Avenue - San Francisco,426,220 Post St,,San Francisco,CA,94108,US,415-986-4300,37.788901,-122.405732,,,,
WICKERSHAM JEWELERS,514,7784 N. Blackstone Avenue,,Fresno,CA,93720,US,559-803-6521,36.849525,-119.790685,,,,
WICKERSHAM JEWELERS,515,6521 Truxtun Avenue,,Bakersfield,CA,93309,US,661-324-6521,35.361322,-119.076118,,,,
SMYTHE & CROSS FINE JEWELRY,595,350 Main st,,Los Altos,CA,94022,US,650-383-5426,37.378241,-122.117396,,,,
A. R. MORRIS JEWELERS,104,3832 Kennett Pike,,Greenville,DE,19807,US,302 777 4367,39.77517,-75.595204,,,,
A. R. MORRIS JEWELERS,4,802 Market Street,,Wilmington,DE,19801,US,302-658-4013,39.743433,-75.548839,,,,
Neiman Marcus - Washington,316,5300 Wisconsin Ave NW,,Washington,DC,20015,US,202-966-9700,38.959568,-77.085631,,,,
Bloomingdale's - Ala Moana,155,1450 Ala Moana Blvd,,Honolulu,HI,96814,US,808-955-9517,21.290463,-157.84373,,,,
Neiman Marcus - Ala Moana,344,1450 Ala Moana Blvd,,Honolulu,HI,96814,US,808-951-8887,21.290463,-157.84373,,,,
Levy's,98,"7804 Abercorn Street, Box 94",,Savannah,GA,31406,US,912.238.2120,31.98581129999999,-81.08650349999999,,,,
Bloomingdale's - Atlanta,150,3393 Peachtree Rd NE,,Atlanta,GA,30326,US,404-869-7864,33.846672,-84.361943,,,,
BROWN & CO.,166,674 Holcomb Bridge Road,,Roswell,GA,30076,US,770-993-1080,34.034145,-84.34124,,,,
BROWN & CO.,167,3225 Peachtree Road NE,,Atlanta,GA,30305,US,404-814-9800,33.842409,-84.372652,,,,
Levy's,99,2 East Broughton Street,,Savannah,GA,31401,US,912.233.1163,32.079121,-81.09164799999999,,,,
Saks Fifth Avenue - Atlanta,417,3440 Peachtree Rd Ste B,,Atlanta,GA,30326,US,404-261-7234,33.851231,-84.361494,,,,
Neiman Marcus - Atlanta,314,3393 Peachtree Rd NE,,Atlanta,GA,30326,US,404-266-8200,33.846672,-84.361943,,,,
GIRARDIN JEWELERS,65,3321 N. Valdosta Road,,Valdosta,GA,31602,US,229-242-8546,30.8782858,-83.2974708,,,,
"GODWIN JEWELERS, INC.",66,400 E. Shotwell Street,,Bainbridge,GA,39819,US,229-246-7900,30.9039786,-84.574274,,,,
Windsor GA,517,2635 Washington Road,,Augusta,GA,30904,US,706.738.7777,33.508239,-82.021375,,,,
DIMO FINE JEWELRY,56,1318  Browns Bridge Road,,Gainesville,GA,30501,US,770-533-9070,34.2872451,-83.83956099999999,,,,
Tena's Fine Diamonds and Jewelry,525,283 E. Clayton Street,,Athens,GA,30601,US,706-543-3473,33.959016,-83.374805,,,,
SIMMONS FINE JEWELRY,464,1220 N. Olive Ave.,,Meridian,ID,83642,US,208-888-2799,43.61601,-116.355157,,,,
H & H JEWELS,71,3434 Main Hwy,,Miami,FL,33133,US,305-442-9760,25.7276311,-80.24298259999999,,,,
J R DUNN,80,4210 N. Federal Highway,,Lighthouse Point,FL,33064,US,954-782-5000,26.2826895,-80.09600689999999,,,,
JAE'S JEWELERS,81,237 Miracle Mile,,Coral Gables,FL,33134,US,305-443-7724,25.7497942,-80.2595221,,,,
"BE ON PARK , LLC",119,152 S. Park Avenue,,Winter Park,FL,32789,US,407-644-1106,28.596894,-81.350732,,,,
Bloomingdale's - Boca Raton,125,5840 Glades Rd,,Boca Raton,FL,33431,US,561-394-2287,26.366136,-80.134108,,,,
Bloomingdale's - Aventura,126,19555 Biscayne Blvd,,Aventura,FL,33180,US,305-792-1069,25.95721,-80.143163,,,,
Bloomingdale's - Palm Beach Gardens,131,3105 PGA Blvd,,Palm Beach Gardens,FL,33410,US,561-625-2189,26.848401,-80.084738,,,,
Bloomingdale's - Orlando,137,4150 Conroy Rd,,Orlando,FL,32839,US,407-264-2438,28.484029,-81.42971,,,,
Bloomingdale's - Miami,138,8778 S.W. 136th St,,Miami,FL,33176,US,305-252-6265,25.642713,-80.336346,,,,
BLUE WATER JEWELERS,160,500 Anastasia Boulevard,,St. Augustine,FL,32080,US,904-829-5855,29.890498,-81.294672,,,,
Neiman Marcus - Orlando,339,4307 Vineland Rd,,Orlando,FL,32811,US,800-590-7046,28.497839,-81.432419,,,,
Neiman Marcus - Boca Raton,341,5860 Glades Rd,,Boca Raton,FL,33431,US,561-417-5151,26.364835,-80.135012,,,,
