store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
HARLEM,206,2321 8TH AVE,,NEW YORK,NY,10027,United States,212-222-4520,40.810150,-73.952144,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
JAMAICA-QUEENS,211,159-10 JAMAICA AVE,,JAMAICA,NY,11432,United States,718-262-0108,40.703280,-73.799814,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
IRVINGTON,201,1301 SPRINGFIELD AVE.,,IRVINGTON,NJ,07111-1932,United States,973-375-7205,40.724059,-74.243005,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
WAYNE,24,77 WILLOW BROOK BLVD. SUITE 81,,WAYNE,NJ,07470,United States,973-837-9811,40.886006,-74.253660,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
WOODBRIDGE,20,1200 U.S. HIGHWAY 9 N,,WOODBRIDGE,NJ,07095,United States,732-596-0612,40.557012,-74.293189,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
GARDEN CITY,205,650 STEWART AVE,,GARDEN CITY,NY,11530,United States,516-357-8393,40.731366,-73.608388,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
FARMINGDALE,21,140 SMITH STREET,,FARMINGDALE,NY,11735,United States,631-420-9022,40.754227,-73.417534,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
ORANGE,216,80 BOSTON POST ROAD #19,,ORANGE,CT,06477,United States,203-795-3757,41.276999,-72.986666,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
N. PHILLY,208,7201 ROOSEVELT BOULEVARD,,PHILADELPHIA,PA,19149,United States,215-333-0137,40.042621,-75.054932,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
WYNCOTE,212,3001 W. CHELTENHAM AVE,,WYNCOTE,PA,19095,United States,215-885-0609,40.080219,-75.166288,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
FRUITVALE STATION,810,3020 EAST 9TH ST,,OAKLAND,CA,94601,United States,510-436-5818,37.774926,-122.229441,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
DENVER,32,1550 S. COLORADO BLVD.,,DENVER,CO,80222,United States,303-756-3478,39.688769,-104.940019,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
NORTHGLENN,35,10602 MELODY DRIVE EAST,,NORTHGLENN,CO,80234,United States,303-252-4071,39.888488,-104.992492,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
AURORA,38,13940 E MISSISSIPPI AVE,,AURORA,CO,80012,United States,303-369-1015,39.695111,-104.825594,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
TACOMA,82,3706 SOUTH PINE STREET,,TACOMA,WA,98409,United States,253-476-0285,47.224859,-122.474311,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
SEATTLE,80,"17501 SOUTHCENTER PKWY, ST#200",,TUKWILA,WA,98188,United States,206-575-7671,47.445598,-122.263545,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
OKLAHOMA CITY,317,8521 N. ROCKWELL AVE,,OKLAHOMA CITY,OK,73132-1521,United States,405-721-1586,35.557232,-97.642144,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
SAN ANTONIO,305,25 NE LOOP 410 SUITE 100,,SAN ANTONIO,TX,78216,United States,210-340-8383,29.522280,-98.492022,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
ARLINGTON,34,4625 SOUTH COOPER ST,,ARLINGTON,TX,76017,United States,817-466-4460,32.671229,-97.133279,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
IRVING,30,4009 WEST AIRPORT FREEWAY,,IRVING,TX,75062,United States,972-870-9618,32.838418,-97.004727,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
CHICAGO,708,7540 SOUTH STONY ISLAND AVE,,CHICAGO,IL,60649,United States,773-684-1055,41.757537,-87.587598,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
BERWYN,711,7175 WEST CERMAK ROAD,,BERWYN,IL,60402,United States,708-484-4676,41.848602,-87.802973,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
EVERGREEN,701,2535 WEST 95TH STREET,,EVERGREEN PARK,IL,60805,United States,708-423-4382,41.719827,-87.686277,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
FINLEY SQ,702,"1524 BUTTERFIELD RD, SUITE D",,DOWNERS GROVE,IL,60515,United States,630-889-1545,41.835855,-88.022154,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
LANSING,706,17149 TORRENCE AVENUE,,LANSING,IL,60438,United States,708-418-5707,41.583995,-87.556250,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
ORLAND PARK,705,180 ORLAND PARK PLACE,,ORLAND PARK,IL,60462,United States,708-349-2176,41.612918,-87.851717,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
MERRILLVILLE PLAZA,700,1826 EAST 80TH AVE #14,,MERRILLVILLE,IN,46410,United States,219-769-6146,41.473692,-87.313030,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
BROWN DEER,709,8604 WEST BROWN DEER ROAD,,MILWAUKEE,WI,53224,United States,414-371-1793,43.178271,-88.018048,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
INDIANAPOLIS,40,5410 EAST 82ND STREET,,INDIANAPOLIS,IN,46250,United States,317-845-4271,39.907135,-86.076099,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
FLINT,76,G-3407 MILLER RD,,FLINT,MI,48507,United States,810-733-7510,42.986270,-83.745242,"SUN: 11:00-7:00, MON: 10:00-9:00, TUE: 10:00-9:00, WED: 10:00-9:00, THU: 10:00-9:00, FRI: 10:00-9:00, SAT: 10:00-9:00",,,
