store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
BLOOMINGDALES - 59TH STREET,8796623667223,1000 3rd Avenue ,,New York ,New York,10022,United States,212 705 2000,40.7623321,-73.9679587,"Sunday 11:00 AM-7:00 PM, Monday 10:00 AM-8:00 PM, Tuesday 10:00 AM-8:00 PM, Wednesday 10:00 AM-8:00 PM, Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-8:00 PM, Saturday 10:00 AM-8:00 PM",,,
BLOOMINGDALES - AVENTURA,8796623732759,Aventura Mall 19555 Biscayne Boulevard ,,Miami ,Florida,33180,United States,305 792 1154,25.95471205,-80.14144787,"Sunday 12:00 PM-10:00 PM, Monday 12:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM",,,
BLOOMINGDALES - BERGEN COUNTY,8796623863831,The Shops at Riverside 400 Hackensack Avenue ,,Bergen County ,New Jersey,07601,United States,201 488 0402,40.9108087,-74.0331786,"Monday 10:00 AM-9:30 PM, Tuesday 10:00 AM-9:30 PM, Wednesday 10:00 AM-9:30 PM, Thursday 10:00 AM-9:30 PM, Friday 10:00 AM-9:30 PM, Saturday 10:00 AM-9:30 PM",,,
BLOOMINGDALES - BEVERLY CENTRE,8796623306775,Beverly Center 8500 Beverly Boulevard ,,Los Angeles ,California,90048,United States,310 360 2776,34.0758062,-118.3558085,"Sunday 12:00 PM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM",,,
BLOOMINGDALES - BOCA RATON,8796623208471,5840 Glades Road ,,Boca Raton ,Florida,33431,United States,561 394 2000,26.36393028,-80.13362996,"Sunday 12:00 PM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
BLOOMINGDALES - BRIDGEWATER,8796623175703,Bridgewater Commons 410 Commons Way ,,Bridgewater ,New Jersey,08807,United States,908 762 2400,40.58661242,-74.61985567,"Sunday 11:00 AM-6:00 PM, Monday 10:00 AM-8:00 PM, Tuesday 10:00 AM-8:00 PM, Wednesday 10:00 AM-8:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
BLOOMINGDALES - CENTURY CITY,8796623339543,10250 Santa Monica Boulevard ,,Los Angeles ,California,90067,United States,310 772 7149,34.058603,-118.419048,"Sunday 10:00 AM-7:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-9:00 PM, Saturday 10:00 AM-9:00 PM",,,
BLOOMINGDALES - CHESTNUT HILL,8796623437847,Chestnut Hill 225 Boylston Street ,,Newton ,Massachusetts,02467,United States,617 630 6000,42.32134513,-71.17713504,"Sunday 12:00 PM-6:00 PM, Monday 10:00 AM-9:00 PM, Tuesday 10:00 AM-9:00 PM, Wednesday 10:00 AM-9:00 PM, Thursday 10:00 AM-9:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM",,,
BLOOMINGDALES - CHEVY CHASE,8796623831063,5300 Western Avenue ,,Chevy Chase ,Maryland,20815,United States,240 744 3855,38.9604017,-77.0876265,"Sunday 12:00 PM-7:00 PM, Monday 10:00 AM-8:00 PM, Tuesday 10:00 AM-8:00 PM, Wednesday 10:00 AM-8:00 PM, Thursday 10:00 AM-8:30 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM",,,
BLOOMINGDALES - FASHION ISLAND,8796623044631,701 Newport Center Drive ,,Newport Beach ,California,92660,United States,949 72 96600,33.6174419,-117.875762,"Sunday 12:00 PM-6:00 PM, Monday 10:00 AM-8:00 PM, Tuesday 10:00 AM-8:00 PM, Wednesday 10:00 AM-8:00 PM, Thursday 10:00 AM-8:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM",,,
