store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Maxi La Sarre,8944,"255,  3 ieme Rue Est",,Lasarre,QC,J9Z 3N7,CA,819-333-2337,48.806337,-79.197042,"Wednesday 8:00 AM - 9:00 PM, Thursday 8:00 AM - 9:00 PM, Friday 8:00 AM - 9:00 PM, Saturday Closed, Sunday 8:00 AM - 9:00 PM, Monday 8:00 AM - 9:00 PM, Tuesday 8:00 AM - 9:00 PM",,,
Maxi Lac Mégantic,8630,"3500,  rue Laval",,Lac Mégantic,QC,G6B 1A4,CA,819-583-4001,45.59004,-70.90393,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Lachute,8635,"355, rue Principale",,Lachute,QC,J8H 2Z7,CA,450-566-0761,45.65571,-74.34393,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi LaTuque,8946,"1200,  boul. Ducharme",,LaTuque,QC,G9X 3Z9,CA,819-523-8125,47.4192,-72.7841,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi La Prairie,8636,"50,  Boul. Taschereau",,La Prairie,QC,J5R 4V3,CA,450-659-2226,45.422,-73.4868,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Alma Pont-Nord,8989,"845,  Avenue Du Pont-Nord",,Alma,QC,G8B 6W6,CA,418-668-5215,48.5653,-71.64,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Alma Pont-Sud,8652,"1055,  Avenue du Pont-Sud",,Alma,QC,G8B 2V7,CA,418-668-2205,48.5333,-71.64686,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Lachenaie,8622,"390, Montee des Pionniers",,Lachenaie,QC,J6V 1S6,CA,450-657-7710,45.7126,-73.5104,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi&Cie Jonquière,8973,"3880, Boul. Harvey",,Jonquière,QC,G7X 8R6,CA,418-547-6670,48.414,-71.2514,"Wednesday 8:00 AM - 9:00 PM, Thursday 8:00 AM - 9:00 PM, Friday 8:00 AM - 9:00 PM, Saturday Closed, Sunday 8:00 AM - 9:00 PM, Monday 8:00 AM - 9:00 PM, Tuesday 8:00 AM - 9:00 PM",,,
Maxi La Baie,8619,"2100, rue Bagot",,La Baie,QC,G7B 3Z3,CA,418-544-2848,48.3366,-70.8968,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Greenfield Park,8911,"3398,  boul Taschereau",,Greenfield Park,QC,J4V 2H7,CA,450-671-8183,45.4913,-73.478,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday 8:00 AM - 10:00 PM, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
Maxi Hull St-Joseph,8702,"300, Boul St Joseph",,Hull,QC,J8Y 3Y3,CA,819-777-6551,45.439687,-75.731965,"Wednesday 8:00 AM - 10:00 PM, Thursday 8:00 AM - 10:00 PM, Friday 8:00 AM - 10:00 PM, Saturday Closed, Sunday 8:00 AM - 10:00 PM, Monday 8:00 AM - 10:00 PM, Tuesday 8:00 AM - 10:00 PM",,,
