store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Independence Plaza,0284,2450 Monarch Drive,Suite #3C,Laredo,TX,78045,US,956-712-8231,27.609434,-99.472138,"Sun : 12:00 PM 6:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Outlet Shoppes at Laredo,2089,1600 Water Street,Suite A470,Laredo,TX,78040,US,956-717-4906,27.50181,-99.511274,"Sun : 11:00 AM 7:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
La Palmera,0274,5488 South Padre Island Drive,,Corpus Christi,TX,78411,US,361-993-0213,27.709712,-97.3733,"Sun : 11:00 AM 7:00 PM, Mon : 10:00 AM 6:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Puerto Rico Premium Outlets,0220,One Prime Outlets Blvd,Space 720,Barceloneta,PR,00617,US,787-846-3365,18.437465,-66.542813,"Sun : 11:00 AM 7:00 PM, Mon : 9:00 AM 9:00 PM, Tue : 9:00 AM 9:00 PM, Wed : 9:00 AM 9:00 PM, Thurs : 9:00 AM 9:00 PM, Fri : 9:00 AM 9:00 PM, Sat : 9:00 AM 9:00 PM",,,
Woodbury Common Premium Outlets,0030,601 Race Track Lane,,Central Valley,NY,10917,US,845-928-4449,41.316596,-74.12627,"Sun : 10:00 AM 9:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Kearny Plaza,2074,160 Passaic Avenue,Suite 3,Kearny,NJ,07032,US,732-510-1446,40.76039,-74.158444,"Sun : 11:00 AM 6:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Shops at Rockaway,0226,321 Mt Hope Avenue,,Rockaway,NJ,07866,US,973-328-1314,40.909734,-74.550197,"Sun : 11:00 AM 6:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Harlem - W. 125th Street,2119,215 West 125th Street,,Manhattan,NY,10027,US,212-865-1846,40.809666,-73.949058,"Sun : 11:00 AM 6:00 PM, Mon : 10:00 AM 8:00 PM, Tue : 10:00 AM 8:00 PM, Wed : 10:00 AM 8:00 PM, Thurs : 10:00 AM 8:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Gloucester Premium Outlets,2024,100 Premium Outlets Drive,Suite #435,Blackwood,NJ,08012,US,856-302-4582,39.78429,-75.05067,"Sun : 10:00 AM 7:00 PM, Mon : 10:00 AM 7:00 PM, Tue : 10:00 AM 7:00 PM, Wed : 10:00 AM 7:00 PM, Thurs : 10:00 AM 7:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
Metroplex,0266,2520 Chemical Road,#S 12C,Plymouth Meeting,PA,19462,US,610-828-5385,40.102484,-75.291559,"Sun : 11:00 AM 6:00 PM, Mon : 10:00 AM 9:00 PM, Tue : 10:00 AM 9:00 PM, Wed : 10:00 AM 9:00 PM, Thurs : 10:00 AM 9:00 PM, Fri : 10:00 AM 9:00 PM, Sat : 10:00 AM 9:00 PM",,,
