store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Old Orchard Shopping Center,,,,Skokie,IL,60077,United States,(847) 329-7200,,,,,,
Oakbrook Center,,,,Oak Brook,IL,60523,United States,(630) 571-7400,,,,,,
Yorktown Center,,,,Lombard,IL,60148,United States,(630) 627-6467,,,,,,
White Oaks Mall,,,,Springfield,IL,62704,United States,(217) 698-4900,,,,,,
Hawthorn Center,,,,Vernon Hills,IL,60061,United States,(847) 367-1417,,,,,,
Fox Valley Center,,,,Aurora,IL,60504,United States,(630) 851-5313,,,,,,
Orland Square Mall,,,,Orland Park,IL,60462,United States,(708) 349-3100,,,,,,
Woodfield Mall,,,,Schaumburg,IL,60173,United States,(847) 619-2900,,,,,,
Water Tower Place,,,,Chicago,IL,60611,United States,(312) 944-4300,,,,,,
Louis Joliet Mall,,,,Joliet,IL,60431,United States,(815) 267-8200,,,,,,
University Park Mall,,,,Mishawaka,IN,46545,United States,(574) 277-3800,,,,,,
Glenbrook Square Mall,,,,Fort Wayne,IN,46805,United States,(260) 484-4800,,,,,,
Oxmoor Center,,,,Louisville,KY,40222,United States,(502) 715-4600,,,,,,
Laurel Park Place,,,,Livonia,MI,48152,United States,(734) 462-0400,,,,,,
Somerset Collection,,,,Troy,MI,48084,United States,(248) 816-4700,,,,,,
RiverTown Crossings,,,,Grandville,MI,49418,United States,(616) 257-8900,,,,,,
Apache Mall,,,,Rochester,MN,55902,United States,(507) 252-5800,,,,,,
Rosedale Center,,,,Roseville,MN,55113,United States,(651) 639-3900,,,,,,
Mall of America,,,,Bloomington,MN,55425,United States,(952) 814-9400,,,,,,
Kenwood Towne Centre,,,,Cincinnati,OH,45236,United States,(513) 791-5646,,,,,,
Beachwood Place,,,,Beachwood,OH,44122,United States,(216) 765-8400,,,,,,
SouthPark Center Mall,,,,Strongsville,OH,44136,United States,(440) 846-8300,,,,,,
Franklin Park Mall,,,,Toledo,OH,43623,United States,(419)474-4300,,,,,,
Southern Park Mall,,,,Youngstown,OH,44512,United States,(330) 726-9200,,,,,,
Governor's Square Mall,,,,Clarksville,TN,37040,United States,(931) 645-0333,,,,,,
Fox River Mall,,,,Appleton,WI,54913,United States,(920) 738-0908,,,,,,
Brookfield Square Mall,,,,Brookfield,WI,53005,United States,(262) 827-8900,,,,,,
Bay Park Square Mall,,,,Ashwaubenon,WI,54304,United States,(920) 490-0100,,,,,,
Oakwood Mall,,,,Eau Claire,WI,54701,United States,(715) 831-9800,,,,,,
Valley View Mall,,,,LaCrosse,WI,54601,United States,(608) 781-9300,,,,,,
