store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
CITY CADILLAC BUICK GMC,,43-60 NORTHERN BLVD,,LONG ISLAND CITY,NY,11101-1020,United States,(866) 590-2588,,,"Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri: 09:00 AM - 07:00 PM, Sat: 09:00 AM - 05:30 PM, Sun: 11:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:30 PM, Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri: 09:00 AM - 07:00 PM, Sat: 09:00 AM - 05:30 PM, Sun: 11:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:30 PM",,,
POTAMKIN CHEVROLET BUICK GMC,,706 11TH AVENUE,,NEW YORK,NY,10019-5093,United States,(212) 399-4400,,,"Sales Hours Mon - Fri: 09:00 AM - 08:00 PM, Sat: 10:00 AM - 06:00 PM, Sun: 10:00 AM - 03:00 PM, Service Hours Mon - Fri: 07:00 AM - 06:30 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Tue: 08:00 AM - 04:30 PM, Wed: 08:00 AM - 04:00 PM, Thu - Fri: 08:00 AM - 04:30 PM, Sat: 08:00 AM - 04:00 PM, Sales Hours Mon - Fri: 09:00 AM - 08:00 PM, Sat: 10:00 AM - 06:00 PM, Sun: 10:00 AM - 03:00 PM, Service Hours Mon - Fri: 07:00 AM - 06:30 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Tue: 08:00 AM - 04:30 PM, Wed: 08:00 AM - 04:00 PM, Thu - Fri: 08:00 AM - 04:30 PM, Sat: 08:00 AM - 04:00 PM",,,
KRISTAL AUTO MALL CORP.,,5200 KINGS HIGHWAY,,BROOKLYN,NY,11234-1130,United States,(718) 253-7575,,,"Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri - Sat: 09:00 AM - 06:00 PM, Sun: 11:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 05:00 PM, Sat: 08:00 AM - 02:00 PM, Parts Hours Mon - Fri: 09:00 AM - 05:00 PM, Sat: 08:00 AM - 02:30 PM, Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri - Sat: 09:00 AM - 06:00 PM, Sun: 11:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 05:00 PM, Sat: 08:00 AM - 02:00 PM, Parts Hours Mon - Fri: 09:00 AM - 05:00 PM, Sat: 08:00 AM - 02:30 PM",,,
MCGUIRE BUICK GMC,,7027 KENNEDY BLVD,,NORTH BERGEN,NJ,07047-3933,United States,(201) 868-9000,,,"Sales Hours Mon - Sat: 09:00 AM - 08:00 PM, Service Hours Mon - Fri: 08:00 AM - 04:30 PM, Parts Hours Mon - Fri: 08:00 AM - 04:30 PM, Sales Hours Mon - Sat: 09:00 AM - 08:00 PM, Service Hours Mon - Fri: 08:00 AM - 04:30 PM, Parts Hours Mon - Fri: 08:00 AM - 04:30 PM",,,
BEYER BROS. CORP.,,109 BROAD AVE RTS 1 & 9,,FAIRVIEW,NJ,07022-1500,United States,(201) 943-3100,,,"Sales Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 03:00 PM, Service Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 12:30 PM, Parts Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 12:30 PM, Sales Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 03:00 PM, Service Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 12:30 PM, Parts Hours Mon - Fri: 08:00 AM - 06:00 PM, Sat: 08:00 AM - 12:30 PM",,,
MILEA BUICK GMC,,3211 E TREMONT AVE,,BRONX,NY,10461-5707,United States,(718) 863-8200,,,"Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri: 09:00 AM - 07:00 PM, Sat: 09:00 AM - 05:00 PM, Service Hours Mon - Fri: 07:30 AM - 05:30 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:00 PM, Sat: 08:00 AM - 04:00 PM, Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri: 09:00 AM - 07:00 PM, Sat: 09:00 AM - 05:00 PM, Service Hours Mon - Fri: 07:30 AM - 05:30 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:00 PM, Sat: 08:00 AM - 04:00 PM",,,
BUICK GMC OF ENGLEWOOD,,406 GRAND AVE,,ENGLEWOOD,NJ,07631-4101,United States,(201) 871-0606,,,"Sales Hours Mon - Fri: 09:00 AM - 08:00 PM, Sat: 09:00 AM - 06:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 12:00 PM, Parts Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 12:00 PM, Sales Hours Mon - Fri: 09:00 AM - 08:00 PM, Sat: 09:00 AM - 06:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 12:00 PM, Parts Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 12:00 PM",,,
NORTH BAY BUICK GMC,,720 NORTHERN BLVD,,GREAT NECK,NY,11021-5204,United States,(516) 466-6200,,,"Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri - Sat: 09:00 AM - 06:00 PM, Sun: 12:00 PM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 04:00 PM, Sales Hours Mon - Thu: 09:00 AM - 08:00 PM, Fri - Sat: 09:00 AM - 06:00 PM, Sun: 12:00 PM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 04:00 PM, Parts Hours Mon - Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 04:00 PM",,,
"FRANK'S TRUCK CENTER, INC.",,325 ORIENT WAY,,LYNDHURST,NJ,07071-2008,United States,(201) 939-7708,,,"Sales Hours Mon - Thu: 08:00 AM - 08:00 PM, Fri: 08:00 AM - 06:00 PM, Sat: 09:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Parts Hours Mon - Thu: 07:30 AM - 07:00 PM, Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 01:00 PM, Sales Hours Mon - Thu: 08:00 AM - 08:00 PM, Fri: 08:00 AM - 06:00 PM, Sat: 09:00 AM - 04:00 PM, Service Hours Mon - Fri: 07:30 AM - 06:00 PM, Parts Hours Mon - Thu: 07:30 AM - 07:00 PM, Fri: 07:30 AM - 06:00 PM, Sat: 08:00 AM - 01:00 PM",,,
VAN BUREN BUICK GMC,,2257 JERICHO TURNPIKE,,GARDEN CITY PARK,NY,11040-4707,United States,(516) 741-5060,,,"Sales Hours Mon - Thu: 08:30 AM - 08:00 PM, Fri: 08:30 AM - 06:00 PM, Sat: 09:00 AM - 05:00 PM, Service Hours Mon - Fri: 07:00 AM - 06:00 PM, Sat: 08:00 AM - 01:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:00 PM, Sat: 08:00 AM - 01:00 PM, Sales Hours Mon - Thu: 08:30 AM - 08:00 PM, Fri: 08:30 AM - 06:00 PM, Sat: 09:00 AM - 05:00 PM, Service Hours Mon - Fri: 07:00 AM - 06:00 PM, Sat: 08:00 AM - 01:00 PM, Parts Hours Mon - Fri: 08:00 AM - 05:00 PM, Sat: 08:00 AM - 01:00 PM",,,
