store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,9240 N. 56th Street,,Temple Terrace,FL,33617,United States,(813) 988-4191,28.0339044925427,-82.3940571351477,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,2400 Capital Circle NE,,Tallahassee,FL,32308,United States,(850) 386-8473,30.4846391928265,-84.2376010026964,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,7710 W. Oakland Park Blvd,,Sunrise,FL,33351,United States,(954) 513-4777,26.1657643166557,-80.2518078983211,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,4295 SE Federal Highway,,Stuart,FL,34997,United States,(772) 320-0960,27.153389,-80.218215,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM ",,,
,,1213-1 State Road 7,,Royal Palm Beach,FL,33411,United States,(561) 784-7811,26.7066088494826,-80.201775155956,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM ",,,
,,5837 Derek Avenue,,Sarasota,FL,34238,United States,(941) 343-4502,27.2687075568239,-82.4818881601095,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM ",,,
,,2102 James L. Redman Pkwy,,Plant City,FL,33563,United States,(813) 754-8473,27.9925208489084,-82.1211074991242,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,1803 3rd Street SW,,Winter Haven,FL,33880,United States,(863) 401-8473,28.0033996111425,-81.7314764065759,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,7511 49th Street North,,Pinellas Park,FL,33781,United States,(727) 548-0779,27.840444544051,-82.6994869811551,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun Closed ",,,
,,30780 US 19 N,,Palm Harbor,FL,34684,United States,(727) 437-4700,28.0521103023509,-82.7393575161886,"Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM , Mon 7:00 AM - 7:00 PM , Tue 7:00 AM - 7:00 PM , Wed 7:00 AM - 7:00 PM , Thu 7:00 AM - 7:00 PM , Fri 7:00 AM - 7:00 PM , Sat 7:00 AM - 6:00 PM , Sun 9:00 AM - 5:00 PM ",,,
