store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Birmingham, AL",,The Summit 209 Summit Blvd Suite 100 ,,Birmingham ,AL,35243,United States,(205) 970-9758,,,"Mon-Sat: 10am - 8pm, Sun: 12pm - 6pm",,,
Bermuda,,27 Front Street ,,Hamilton Bermuda ,HM,11,United States,(441) 295-3961 x 216,,,"Mon-Sat: 10am - 6pm, Sun: 1pm - 5pm",,,
"Carmel-By-The-Sea, CA",,Carmel Plaza Ocean Ave & Mission Street Suite 204 ,,Carmel-By-The-Sea ,CA,93921,United States,(831) 624-3941,,,"Mon-Sat: 10am - 6pm, Su: 11am - 5pm",,,
"Corte Madera, CA",,1820 Redwood Highway Space B019 ,,Corte Madera ,CA,94925,United States,(415) 924-2966,,,"Mon-Sat: 10am - 8pm, Sun: 11am - 6pm",,,
"Burlingame, CA",,1420 Burlingame Ave ,,Burlingame ,CA,94010,United States,(650) 558-0053,,,"Mon-Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Tiburon, CA",,20 Main St. ,,Tiburon ,CA,94920,United States,(415) 789-8602,,,"Mon - Sat: 10am - 6pm, Sun: 11am - 5pm",,,
"Walnut Creek, CA",,1301 N. Main Street ,,Walnut Creek ,CA,94596,United States,​925-588-0253,,,"Mon-Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Newport Beach, CA",,Fashion Island 1125 Newport Center Drive ,,Newport Beach ,CA,92660,United States,(949) 706-1570,,,"Mon-Fri: 10am - 9pm, Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Palo Alto, CA",,180 El Camino Real ,,Palo Alto ,CA,94304,United States,(650) 321--0153,,,"Mon-Fri: 10am - 9pm, Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Denver, CO",,Cherry Creek North 2900 East Second Ave ,,Denver ,CO,80206,United States,(303) 388-6931,,,"Mon-Sat: 10am - 8pm, Sun: 11am - 6pm",,,
"Greenwich, CT",,145 Greenwich Avenue ,,Greenwich ,CT,06830,United States,(203) 661-1803,,,"Mon-Wed, Fri-Sat: 10am - 6pm, Thu: 10am - 7pm, Sun: 12pm - 5pm",,,
"New Canaan, CT",,67 Elm Street ,,New Canaan ,CT,06840,United States,(203) 442-1348,,,"Mon-Sat: 10am - 6pm, Sun: 12pm - 5pm",,,
"Westport, CT",,90 Main Street ,,Westport ,CT,06880,United States,(203) 227-3400,,,"Mon-Wed, Fri, Sat: 10am - 6pm, Thur: 10am - 7pm, Sun: 12pm - 5pm",,,
"West Hartford, CT",,West Farms Mall 1500 New Britain Ave ,,West Hartford ,CT,06110,United States,,,,,,,
"Mashantucket, CT",,Tanger Outlet CTR at Foxwoods 455 Trolley Line Blvd. SPC 520 ,,Mashantucket ,CT,06338,United States,(860) 222-3185,,,"Sun-Thu: 10am - 9pm, Fri-Sat: 10am - 11pm",,,
"Georgetown, DC",,1225 Wisconsin Avenue NW ,,Washington ,DC,20007,United States,(202) 625-8463,,,"Mon-Thurs: 10am - 8pm, Fri-Sat: 10am - 9pm, Sun: 11:30am - 6pm",,,
Rehoboth Beach,,Tanger Outlet Center 34986 Midway Outlet Dr STE 106 ,,Rehoboth Beach ,DE,19971,United States,(302) 644-1090,,,"Mon-Thu: 9am - 7pm, Fri-Sat: 9am - 9pm, Sun: 10am - 7pm",,,
"Tampa, FL",,Hyde Park Village 1623 Snow Ave ,,Tampa ,FL,33606,United States,(813) 250-0486,,,"Mon-Sat: 10am - 8pm, Sun: 12pm - 5pm",,,
"Jacksonville, FL",,St. Johns Town Center 4813 River City Drive Suite 125 ,,Jacksonville ,FL,32246,United States,(904) 646-1053,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Coral Gables, FL",,Shops at Merrick Park 358 San Lorenzo Ave STE 1045 ,,Coral Gables ,FL,33146,United States,(305) 442-1580,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Palm Beach, FL",,305 Worth Ave ,,Palm Beach ,FL,33480,United States,(561) 659-5900,,,"Mon-Sat: 10am - 6pm, Sun: 12pm - 6pm",,,
"Orlando, FL",,The Mall at Millenia 4200 Conroy Road ,,Orlando ,FL,32839,United States,(407) 226-0704,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"Naples, FL",,Waterside Shops 5415 Tamiami Trail North ,,Naples ,FL,34108,United States,(239) 596-3765,,,"Mon - Sat: 10am - 7pm, Sun: 12pm - 6pm",,,
"Miramar Beach, FL",,440 Grand Blvd Suite 100 ,,Miramar Beach ,FL,32550,United States,(850) 837-0987,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"Boca Raton, FL",,Town Center at Boca Raton 6000 Glades Road ,,Boca Raton ,FL,33431,United States,(561) 338-5648,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Palm Beach Gardens, FL",,The Gardens Mall 3101 PGA Blvd ,,Palm Beach Gardens ,FL,33410,United States,(561) 626-0056,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Estero, FL",,Miromar Outlets 10801 Corkscrew Rd Space 307 ,,Estero ,FL,33928,United States,(239) 498-4460,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Savannah, GA",,Broughton Street 301 W Broughton Street ,,Savannah ,GA,31401,United States,(912) 238-0900,,,"Mon-Sat: 10am - 8pm, Sun: 11am - 6pm",,,
"Atlanta, GA",,Lenox Square Mall 3393 Peachtree Road NE # 3086D ,,Atlanta ,GA,30326,United States,(404) 812-0293,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"Alpharetta, GA",,Avalon 5140 Avalon Blvd ,,Alpharetta ,GA,30009,United States,(678) 248-5155,,,"Mon - Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Woodstock, GA",,915 Ridge Walk Pkwy Suite # 827 ,,Woodstock ,GA,30188,United States,(770) 517-4635,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"Skokie, IL",,Westfield Old Orchard 4999 Old Orchard center space N-30 ,,Skokie ,IL,60077,United States,(847) 673-3731,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Chicago, IL",,932 North Rush Street ,,Chicago ,IL,60611,United States,(312) 475-2951,,,"Mon-Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Oak Brook, IL",,Oakbrook Center 222 Oakbrook Center ,,Oak Brook ,IL,60523,United States,(630) 571-2278,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Rosemont, IL",,Fashion Outlets of Chicago 5220 Fashion Outlet Way Space 1050 ,,Rosemont ,IL,60018,United States,(847) 916-9271,,,"Mon-Sat: 10am - 9pm, Sun: 10am - 7pm",,,
"Indianapolis, IN",,The Fashion Mall at Keystone 8702 Keystone Crossing ,,Indianapolis ,IN,46240,United States,(317) 975-2722,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Lexington, KY",,The Summit at Fritz Farm 120 Summit at Fritz Farm Suite 160 ,,Lexington ,KY,40517,United States,859-286-9686,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"New Orleans, LA",,The Shops at Canal Place 333 Canal Street Space 1.11 ,,New Orleans ,LA,70130,United States,504-524-7507,,,"Mon-Fri: 10am - 7pm, Sat: 10am - 8pm, Sun: 12pm - 7pm",,,
"Tisbury, MA",,Vineyard Haven 44 Main Street ,,Tisbury ,MA,02575,United States,(508) 693-4895,,,"Mon-Sat: 10am - 8pm, Sun: 10am - 6pm",,,
"Edgartown, MA",,27 North Water Street ,,Edgartown ,MA,02539,United States,(508) 627-4779,,,"Sun - Thu: 10am - 6pm, Fri - Sat: 10am - 8pm",,,
"Dedham, MA",,528 Legacy Place ,,Dedham ,MA,02026,United States,(339) 204-1777,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Lynnfield, MA",,650 Market Street ,,Lynnfield ,MA,01940,United States,(781) 334-7004,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Cape Cod, MA",,Mashpee Commons 21 Market Street ,,Mashpee ,MA,02649,United States,(508) 477-4981,,,"Mon-Sat: 10am - 6pm, Sun: 11am - 5pm",,,
"Hingham, MA",,Derby Street Shoppes 94 Derby Street ,,Hingham ,MA,02043,United States,(781) 875-1743,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Chestnut Hill, MA",,Mall at Chestnut Hill 199 Boylston St ,,Chestnut Hill ,MA,02467,United States,(617) 332-8160,,,"Mon-Fri: 10am - 9pm, Sat: 10am - 8pm, Sun: 12pm - 6pm",,,
"Nantucket, MA",,2 Straight Wharf ,,Nantucket ,MA,02554,United States,(508) 325-9600,,,Closed for renovations! See you soon!,,,
"Boston, MA",,Prudential Center 800 Boylston Street Suite 115 ,,Boston ,MA,02199,United States,(617) 927-0490,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"Oak Bluffs, MA",,56 Narragansett Ave ,,Oak Bluffs ,MA,02557,United States,(508) 687-9841,,,"Sun - Thu: 10am - 6pm, Fri - Sat: 10am - 8pm",,,
"Wrentham, MA",,Wrentham Village Prem. Outlets 1 Premium Outlets Blvd # 235 A ,,Wrentham ,MA,02093,United States,(508) 384-5012,,,"Mon-Sat: 10am - 9pm, Sun: 10am - 6pm",,,
"Bethesda, MD",,Montgomery Mall 7101 Democracy Blvd. ,,Bethesda ,MD,20817,United States,(301) 312-6522,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Freeport, ME",,vineyard vines Factory Store 58 Main Street ,,Freeport ,ME,04032,United States,(207) 865-1468,,,"Sun: 10am - 6pm, Mon-Thur: 9am - 7pm, Fri-Sat: 9am - 8pm",,,
"Troy, MI",,2801 West Big Beaver Road J-208 ,,Troy ,MI,48084,United States,(248) 649-6833,,,"Sun: 12pm - 6pm, Mon-Fri: 10am - 9pm, Sat: 10am - 7pm",,,
"Edina, MN",,Edina Galleria 3499 Galleria ,,Edina ,MN,55435,United States,(952) 929-9831,,,"Mon-Fri: 10am - 9pm, Sat: 10am - 8pm, Sun: 11am - 6pm",,,
"St. Louis, MO",,Plaza Frontenac 1701 S. Lindbergh Blvd. SPC 26 ,,St. Louis ,MO,63131,United States,(314) 993-3400,,,"Mon-Fri: 10am - 8pm, Sat: 10am - 7pm, Sun: 12pm - 6pm",,,
"Kansas City, MO",,Country Club Plaza 4700 Broadway Street ,,Kansas City ,MO,64112,United States,(816) 800-5128,,,"Mon-Sat: 10am - 8pm, Sun: 12pm - 6pm",,,
"Charlotte, NC",,SouthPark Mall 4400 Sharon Road ,,Charlotte ,NC,28211,United States,(704) 362-5785,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Raleigh, NC",,4350 Lassiter at N. Hills Ave Suite 114 ,,Raleigh ,NC,27609,United States,(919) 784-9304,,,"Mon-Sat: 10am - 8pm, Sun: 12pm - 6pm",,,
"Durham, NC",,The Streets at Southpoint 6910 Fayetteville Road ,,Durham ,NC,27713,United States,(984) 219-7191,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 7pm",,,
"Asheville, NC",,Asheville Outlets 800 Brevard Road Suite # 782 ,,Asheville ,NC,28806,United States,(828) 633-6807,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"Mebane, NC",,Tanger Outlet Center Mebane 4000 Arrowhead Blvd STE 210 ,,Mebane ,NC,27302,United States,(919) 563-2804,,,"Mon-Sat: 9am - 9pm, Sun: 11am - 7pm",,,
"Merrimack, NH",,80 Premium Outlets Blvd ,,Merrimack ,NH,03054,United States,(603) 424-7859,,,"Mon-Thur: 10am - 8pm, Fri-Sat: 10am - 9pm, Sun: 10am - 6pm",,,
"Shrewsbury, NJ",,The Grove at Shrewsbury 609 Broad Street ,,Shrewsbury ,NJ,07702,United States,(732) 219-6912,,,"Mon - Fri: 10am - 8pm, Sat: 10am - 6pm, Sun: 11am - 5pm",,,
"Short Hills, NJ",,Mall at Short Hills 1200 Morris Turnpike ,,Short Hills ,NJ,07078,United States,(973) 564-6101,,,"Mon-Fri: 10am - 9pm, Sat: 10am - 8pm, Sun: 11am - 6pm",,,
"Paramus, NJ",,Garden State Plaza 1 Garden State Plaza Blvd Space 1136 ,,Paramus ,NJ,07652,United States,(201) 291-8590,,,"Mon-Sat: 10am - 9:30pm, Sun: Closed",,,
"Huntington Station, NY",,Walt Whitman Shops 160 Walt Whitman Road ,,Huntington Station ,NY,11746,United States,(631) 350-6144,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 7pm",,,
"New York, NY",,Grand Central Terminal 89 East 42nd Street ,,New York ,NY,10017,United States,(212) 297-0269,,,"Mon-Fri: 8am - 8pm, Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"East Hampton, NY",,63 Main Street ,,East Hampton ,NY,11937,United States,(631) 324-7100,,,"Mon, Thu - Sat: 10am - 5pm, Sun: 12pm - 5pm, Closed Tue - Wed",,,
"New York, NY",,1151 3rd Ave ,,New York ,NY,10065,United States,(646) 964-5691​,,,"Mon-Sat: 10am - 7pm, Sun: 11am - 6pm",,,
"Southampton, NY",,54 Jobs Lane ,,Southampton ,NY,11968,United States,(631) 283-4602,,,"Mon-Sat: 10am - 6pm, Sun: 11am - 5pm",,,
"Manhasset, NY",,The Gate 1950 Northern Blvd ,,Manhasset ,NY,11030,United States,(516) 869-3707,,,"Mon-Sat: 10am-6pm, Sun 12pm-6pm",,,
"Deer Park, NY",,Tanger Outlets at The Arches 152 The Arches Cir STE 1427 ,,Deer Park ,NY,11729,United States,(631) 242-4088,,,"Mon-Sat: 9am - 9pm, Sun: 10am - 8pm",,,
Tanger Outlet Center Riverhead,,200 Tanger Mall Drive Suite # 513 ,,Riverhead ,NY,11901,United States,(631) 591-3891,,,"Mon-Sat: 9am - 9pm, Sun: 10am - 8pm",,,
"Central Valley, NY",,Woodbury Common Premium Outlet 151 Niagara Court ,,Central Valley ,NY,10917,United States,(845) 928-7609,,,Mon-Sun: 10am - 9pm,,,
"Cincinnati, OH",,Kenwood Towne Centre 7875 Montgomery Road ,,Cincinnati ,OH,45236,United States,(513) 791-0447,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Columbus, OH",,Easton Town Center 4020 The Strand East ,,Columbus ,OH,43219,United States,(614) 418-4798,,,"Mon-Thur: 10am - 9pm, Fri-Sat: 10am - 10pm, Sun: 12pm - 6pm.",,,
"Pittsburgh, PA",,Ross Park Mall 1000 Ross Park Mall Drive ,,Pittsburgh ,PA,15237,United States,412-837-4027,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
"King of Prussia, PA",,The Plaza 160 Gulph Rd ,,King of Prussia ,PA,19406,United States,(484) 685-4166,,,"Mon-Sat: 10am - 9pm, Sun: 11am - 6pm",,,
Kiawah Island,,560 Freshfields Drive ,,Kiawah Island ,SC,29455,United States,(843) 768-2375,,,"Mon-Sat: 10am - 6pm, Sun: 1pm - 6pm",,,
"Charleston, SC",,275 King Street ,,Charleston ,SC,29401,United States,(843) 203-6439,,,"Sun: 11am - 6pm, Mon - Wed: 10am - 7pm, Thur - Sat: 10am - 8pm",,,
"Bluffton, SC",,Hilton Head 1254 Fording Island Road Suite 280 ,,Bluffton ,SC,29910,United States,843-815-5393,,,"Mon-Sat: 9am - 9pm, Sun: 10am - 7pm",,,
Myrtle Beach,,10827 Kings Road Space 830 ,,Myrtle Beach ,SC,29572,United States,(843) 213-0624,,,"Mon-Sat: 9am - 9pm, Sun: 10am - 7pm",,,
"Nashville, TN",,Hill Center Green Hills 4015 Hillsboro Pike Suite 105 ,,Nashville ,TN,37215,United States,(615) 292-9700,,,"Mon-Sat: 10am - 7pm, ,, Sun: 12pm - 5pm, .",,,
"Memphis, TN",,6150 Poplar Avenue Suite 110 ,,Memphis ,TN,38119,United States,(901) 761-6952,,,"Mon-Sat: 10am - 6pm, Sun: Closed",,,
"San Antonio, TX",,The Shops at La Cantera 15900 La Cantera Pkwy Space 1525 ,,San Antonio ,TX,78256,United States,(210) 839-1034,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
The Woodlands,,Market Street Woodlands 9595 Six Pines Drive ,,The Woodlands ,TX,77380,United States,(832) 592-7093,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Southlake, TX",,Southlake Town Square 251 Grand Ave ,,Southlake ,TX,76092,United States,(817) 442-9332,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Plano, TX",,The Shops at Willow Bend 6121 W. Park Blvd. Suite A222 ,,Plano ,TX,75093,United States,(469) 366-0118,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Dallas, TX",,NorthPark Center 8687 North Central Expressway ,,Dallas ,TX,75225,United States,(214) 363-0006,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Houston, TX",,Highland Village 4084 Westheimer Rd ,,Houston ,TX,77027,United States,(832) 962-8992,,,"Mon - Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Austin, TX",,The Domain 11501 Century Oaks Terrace ,,Austin ,TX,78758,United States,(512) 291-3148,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"San Marcos, TX",,San Marcos Premium Outlets 3939 IH-35 South # 150A ,,San Marcos ,TX,78666,United States,(512) 396-9250,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 7pm",,,
"Charlottesville, VA",,The Shops at Stonefield 2035 Bond Street ,,Charlottesville ,VA,22901,United States,(434) 218-7443,,,"Mon-Sat: 10am - 9pm, Su: 12pm - 6pm",,,
"McLean, VA",,Tysons Galleria 1713G International Drive ,,McLean ,VA,22102,United States,(703) 883-0216,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Richmond, VA",,9200 Stony Point Parkway ,,Richmond ,VA,23235,United States,(804) 272-2536,,,"Mon-Sat: 10am - 9pm, Sun: 12pm - 6pm",,,
"Williamsburg, VA",,5699 Richmond Rd. Space B029 ,,Williamsburg ,VA,23188,United States,(757) 229-1043,,,"Mon-Sat: 10am - 9pm, Sun: 10am - 7pm",,,
"Leesburg, VA",,Leesburg Corner Premium Outlet 241 Fort Evans Rd Suite 901C ,,Leesburg ,VA,20176,United States,(703) 777-8477,,,"Mon-Sat: 10am - 9pm, Sun: 10am - 7pm",,,
"Manchester, VT",,Manchester Designer Outlets 448 Depot Street ,,Manchester ,VT,05255,United States,(802) 362-8012,,,"Mon-Sat: 10am - 6pm, Sun: 10am - 5pm",,,
