phone_number,city,address2,store_name,state,address,zip_code
 480-946-4111,Scottsdale,,NORDSTROM SCOTTSDALE FASHION SQUARE, AZ ,7055 E Camelback Rd, 85251
 408-248-2180,Central San Jose,,NORDSTROM VALLEY FAIR, CA,2400 Forest Ave, 95128
 818-502-9922 ,Glendale,,NORDSTROM AT THE AMERICANA AT BRAND, CA,102 Caruso Avenue, 91210
 323-930-2230,Los Angeles,,NORDSTROM THE GROVE, CA,189 The Grove Dr., 90036
 619-295-4441,San Diego,,NORDSTROM FASHION VALLEY, CA,6997 Friars Rd, 92108
 949-347-2710,Mission Viejo,,NORDSTROM THE SHOPS AT MISSION VIEJO, CA,100 The Shops at Mission Viejo, 92691
 925-463-5050,Pleasanton,,NORDSTROM STONERIDGE MALL IN PLEASANTON, CA,1600 Stoneridge Mall Road, 94588
 925-930-7959,Walnut Creek,,NORDSTROM BROADWAY PLAZA, CA,1200 Broadway Plaza, 94596
 562-924-0940,Cerritos,,NORDSTROM LOS CERRITOS CENTER, CA,300 Los Cerritos Center, 90703
 626-821-6363,Arcadia,,NORDSTROM SANTA ANITA, CA,400 S Baldwin Ave, 91007
 714-549-8300,Costa Mesa,,NORDSTROM SOUTH COAST PLAZA, CA,3333 Bristol St, 92626
 818-884-7900,Canoga Park,,NORDSTROM TOPANGA, CA,21725 Victory Blvd, 91303
 415-856-5300,San Francisco,,BLOOMINGDALE’S, CA ,845 Market St, 94103
 720-746-2424,Denver,,NORDSTROM CHERRY CREEK SHOPPING CENTER, CO,2810 East First Avenue, 80206
 303-799-3400,Lone Tree,,NORDSTROM PARK MEADOWS, CO,8465 S Park Meadows Center Dr, 80124
 305-356-6900,Aventura,,NORDSTROM AVENTURA, FL,19507 Biscayne Boulevard, 33180
 808-953-6100 ,Honolulu,,NORDSTROM ALA MOANA, HI,1519 Kapiolani Boulevard, 96814
 312-464-1515,Chicago,,NORDSTROM MICHIGAN AVENUE, IL,55 East Grand Avenue, 60611
 630-571-2121,Oak Brook,,NORDSTROM OAKBROOK CENTER, IL,10 Oakbrook Center, 60523
 952-883-2121,Bloomington,,NORDSTROM MALL OF AMERICA, MN,1000 NW Court, 55425
 201-843-1122,Paramus,,NORDSTROM GARDEN STATE PLAZA, NJ,501 Garden State Plaza, 07652
 973-548-2200,Short Hills,,BLOOMINGDALE’S, NJ,1200 Morris Turnpike, 07078
 212-872-2584,New York,,BERGDORF GOODMAN, NY,754 5th Avenue, 10019
 212-705-2570,New York,,BLOOMINGDALES, NY,1000 Third Avenue, 10022
 516-873-2700,Garden City,,BLOOMINGDALES, NY,630 Old Country Rd #27, 11530
 503-224-6666,Portland,,NORDSTROM DOWNTOWN PORTLAND, OR,701 SW Broadway, 97205
 610-265-6111,King of Prussia,,NORDSTROM KING OF PRUSSIA, PA, 190 N Gulph Rd, 19406 
 214-231-3900,Dallas,,NORDSTROM NORTH PARK CENTER, TX,8687 North Central Expressway, 75225
 832-201-2700,Houston,,NORDSTROM HOUSTON GALLERIA, TX,5192 Hidalgo Street, 77056 
 801-261-4402 ,Murray,,NORDSTROM FASHION PLACE, UT,6191 South State Street Center, 84107
 703-415-1121,Arlington,,NORDSTROM THE FASHION CENTRE AT PENTAGON CITY, VA,1400 South Hayes Street, 22202
 703-761-1121,McLean,,NORDSTROM TYSONS CORNER CENTER, VA,8075 Tysons Corner Center, 22102
 425-455-5800 ,Bellevue,,NORDSTROM BELLEVUE SQUARE, WA,100 Bellevue Square, 98004
 425-771-5755 ,Lynnwood,,NORDSTROM ALDERWOOD MALL, WA,3200 184th Street SW, 98037
 206-628-2111 ,Seattle,,NORDSTROM DOWNTOWN SEATTLE, WA,500 Pine Street, 98101
