phone_number,city,country,address2,store_name,state,address,zip_code
(206) 628-2111,Seattle ,United States,,Nordstrom- Downtown Seattle,WA,500 Pine St,98101
(425) 455-5800,Bellevue ,United States,,Nordstrom- Bellevue Square,WA,100 Bellevue Square,98004
(206) 622-6300,Seattle ,United States,,Barney's- Pacific Place,WA,600 Pine St,98101
(206) 527-7000,Seattle ,United States,,bluemercury- University Village,WA,2623 NE University Village St. Suite #7,98105
(703) 556-4569,McLean ,United States,,Bloomingdale's- Tyson's Corner,VA,8100 Tysons Corner Center,22102
(425) 771-5755,Lynnwood ,United States,,Nordstrom- Alderwood Mall,WA,3200 184th St SW,98037
(703) 415-1121,Arlington ,United States,,Nordstrom- Fashion Centre at Pentagon City,VA,1400 S Hayes St,22202
(804) 364-6900,Richmond ,United States,,Nordstrom- Short Pump Town Center,VA,"11812 W BRd St, Madewell",23233
(703) 761-1121,McLean ,United States,,Nordstrom- Tyson's Corner,VA,8075 Tysons Corner Center,22102
(703) 549-0005,Alexandria ,United States,,bluemercury- Old Town,VA,600 King Street,22314
(703) 761-1600,McLean ,United States,,Neiman Marcus- Tyson's Galleria,VA,2001 International Dr,22102
(703) 248-0028,Arlington ,United States,,bluemercury- Clarendon,VA,2855 Clarendon Blvd,22201
(801) 322-4200,Salt Lake City ,United States,,Nordstrom- City Creek Center,UT,55 S W Temple,84101
(210) 332-1900,San Antonio ,United States,,Nordstrom- Shops at La Cantera,TX,15900 La Cantera Pkwy,78256
(832) 201-2700,Houston ,United States,,Nordstrom- Galleria Houston,TX,5192 Hidalgo St,77056
(214) 231-3900,Dallas ,United States,,Nordstrom- Northpark Center,TX,8687 North Central Expressway,75225
(972) 702-0055,Dallas ,United States,,Nordstrom- Galleria Dallas,TX,5220 Alpha Rd,75240
(214) 363-8311,Dallas ,United States,,Neiman Marcus- Northpark Center,TX,400 North Park Center,75225
(210) 558-8000,San Antonio ,United States,,Neiman Marcus- Shops at La Cantera,TX,15900 La Cantera Pkwy,78256
(832) 562-4880,The Woodlands ,United States,,Nordstrom- The Woodlands,TX,1201 Lake Woodlands Drive,77380
(843) 724-6767,Charleston ,United States,,bluemercury- Charleston,SC,255 King St,29401
(615) 850-6700,Nashville ,United States,,Nordstrom- Nashville,TN,2130 Abbott Martin Rd,37215
(412) 548-4300,Pittsburgh ,United States,,Nordstrom- Ross Park Mall,PA,1000 Ross Park Mall Dr,15237
(610) 265-6111,King of Prussia ,United States,,Nordstrom- King of Prussia Mall,PA,190 N Gulph Rd,19406
(512) 691-3500,Austin ,United States,,Nordstrom- Barton Creek Square,TX,2901 Capital of Texas Hwy S,78746
(610) 225-0111,Wayne ,United States,,bluemercury- Wayne,PA,100 E. Lancaster Avenue,19087
(215) 569-3100,Philadelphia ,United States,,bluemercury- Rittenhouse Square,PA,1707 Walnut Street,19103
(503) 224-6666,Portland ,United States,,Nordstrom- Downtown Portland,OR,701 SW Broadway,97205
(610) 642-5400,Ardmore ,United States,,bluemercury- Suburban Square,PA,42 St James Pl,19003
(503) 620-0555,Tigard ,United States,,Nordstrom- Washington Square,OR,9700 SW Washington Square Rd,97223
(614) 416-7111,Columbus ,United States,,Nordstrom- Easton Town Center,OH,4000 Worth Ave,43219
(216) 378-2121,Beachwood ,United States,,Nordstrom- Beachwood Place,OH,26200 Cedar Rd,44122
(212) 288-3212,New York ,United States,,Space.NK- Lexington,NY,968 Lexington Ave,10021
(516) 367-1300,Woodbury ,United States,,bluemercury- Woodbury Commons,NY,8285 Jericho Turnpike,11797
(212) 753-4000,New York ,United States,,Saks Fifth Avenue,NY,611 5th Ave,10022
(212) 799-0500,New York ,United States,,bluemercury- Upper West Side,NY,2305 Broadway,10024
(212) 243-8100,New York ,United States,,bluemercury- Union Square,NY,865 Broadway,10003
(212) 396-1500,New York ,United States,,bluemercury- Upper East Side,NY,1311 3rd Ave,10021
(516) 873-2700,Garden City ,United States,,Bloomingdale's - Roosevelt Field Mall,NY,"630 Old Country Rd., Roosevelt Field",11530
(914) 684-6300,White Plains ,United States,,Bloomingdale's- White Plains,NY,175 Bloomingdale Rd,10605
(212) 729-5900,New York ,United States,,Bloomingdale's- SoHo,NY,504 Broadway,10012
(646) 335-0978,New York ,United States,,Barney's- Upper West Side,NY,2151 Broadway,10023
(212) 705-2000,New York ,United States,,Bloomingdale's- 59th Street,NY,1000 3rd Ave,10022
(800( 558-1855,New York ,United States,,Bergdorf Goodman,NY,745 5th Ave,10151
(212) 826-8900,New York ,United States,,Barney's- Madison Avenue,NY,660 Madison Ave,10065
(914) 946-1122,White Plains ,United States,,Nordstrom- Westchester Mall,NY,135 Westchester Ave,10601
(516) 746-0011,Garden City ,United States,,Nordstrom- Roosevelt Field Mall,NY,630 Old Country Rd,11530
(516) 627-3777,Manhasset ,United States,,bluemercury- Americana Manhasset,NY,2034 Northern Blvd,11030
(702) 733-8300,Las Vegas ,United States,,Saks Fifth Avenue- Fashion Show,NV,3200 S Las Vegas Blvd,89109
(702) 862-2525,Las Vegas ,United States,,Nordstrom- Fashion Show,NV,3200 S Las Vegas Blvd,89109
(702) 629-4200,Las Vegas ,United States,,Barney's- Grand Canal Shoppes,NV,3327 S Las Vegas Blvd,89109
(704) 442-6000,Charlotte ,United States,,Nordstrom- Southpark,NC,4400 Sharon Road,28211
(248) 816-5100,Troy ,United States,,Nordstrom- Somerset Collection,MI,2850 W Big Beaver Rd,48084
(248) 504-5700,Novi ,United States,,Nordstrom- Twelve Oaks Mall,MI,27640 Novi Rd,48377
(301) 986-0070,Bethesda ,United States,,bluemercury- Bethesda Row,MD,7105 Bethesda Lane,20814
(952) 883-2121,Bloomington ,United States,,Nordstrom- Mall of America,MN,1000 NW Court,55425
(301) 897-0006,Bethesda ,United States,,bluemercury- Wildwood,MD,10231 Old Georgetown Road,20814
(504) 524-2200,New Orleans ,United States,,Saks Fifth Avenue- Shops at Canal Place,LA,301 Canal Street,70130
(312) 440-4479,Chicago ,United States,,Bloomingdale's- Chicago,IL,900 N. Michigan Avenue,60611
