store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
16th Ave.  Markham Rd,,208-5990 16th Ave,,MARKHAM,ON,,Canada,905-471-5593,43.891951,-79.2641482,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
1st Street  3 Ave,,320 1st West,,COCHRANE,AB,,Canada,403-932-3132,51.1909883,-114.4678603,"monday:9:00am - 7:00pm,tuesday:9:00am - 7:00pm,wednesday:9:00am - 7:30pm,thursday:9:00am - 7:30pm,friday:9:00am - 8:00pm,saturday:9:30am - 5:30pm,sunday:10:00am - 5:00pm",,,
23rd Ave  111 Street,,2027A 111 ST NW,,EDMONTON (Heritage Village),AB,,Canada,780-705-8868,53.4523937,-113.5161685,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00pm - 5:00pm",,,
460 Boulevard Greber,,460 Boul. Greber,,GATINEAU,QC,,Canada,819-205-2900,45.48769,-75.703043,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:00am - 5:00pm,sunday:9:00am - 5:00am",,,
48th Ave  56 Street,,5706 48th Avenue,,CAMROSE,AB,,Canada,780-608-2024,53.0180317,-112.8383973,"monday:9:30am - 7:00pm,tuesday:9:30am - 7:00pm,wednesday:9:30am - 7:00pm,thursday:9:30am - 8:00pm,friday:9:30am - 7:00pm,saturday:9:30am - 6:00pm,sunday:11:00am - 5:00pm",,,
50 Avenue,,5103 50 Avenue,Unit 117,LEDUC,AB,,Canada,780-980-8711,53.2646369,-113.5552903,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 8:00pm,friday:9:30am - 8:00pm,saturday:9:30am - 6:00pm,sunday:11:00am - 5:00pm",,,
55th Ave  50th St.,,4930 55th Avenue,,DRAYTON VALLEY,AB,,Canada,780-514-3752,53.2252503,-114.9636749,"monday:9:00am - 7:00pm,tuesday:9:00am - 7:00pm,wednesday:9:00am - 7:00pm,thursday:9:00am - 7:00pm,friday:9:00am - 7:00pm,saturday:10:00am - 6:00pm,sunday:12:00pm - 4:00pm",,,
900 Talbot St.,,900 Talbot Street,,ST. THOMAS,ON,,Canada,519 207 3663,42.7788542,-81.1826917,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00am",,,
Algonquin  Hwy 17/11,,34 Champlain Street,,NORTH BAY,ON,,Canada,705-472-3331,46.333189,-79.471255,"monday:9:00am - 7:00pm,tuesday:9:00am - 7:00pm,wednesday:9:00am - 7:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00am",,,
Appleby Line  New Street,,450 Appleby Line,,BURLINGTON,ON,,Canada,905-639-5969,43.36757,-79.75488,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 6:00pm",,,
Auto Mile,,4523-56 Street,,WETASKIWIN,AB,,Canada,780-361-2024,52.9661836,-113.3897019,"monday:10:00am - 6:00pm,tuesday:10:00am - 6:00pm,wednesday:10:00am - 6:00pm,thursday:10:00am - 6:00pm,friday:10:00am - 6:00pm,saturday:10:00am - 6:00pm,sunday:11:00am - 5:00pm",,,
Avenue Rd  Felbrigg Ave,,1947 Avenue Road,(Felbrigg Avenue),TORONTO,ON,,Canada,416-783-8836,43.7340881,-79.4197033,"monday:10:00am - 7:30pm,tuesday:10:00am - 7:30pm,wednesday:9:30am - 7:30pm,thursday:9:30am - 7:30pm,friday:9:30am - 7:30pm,saturday:9:30am - 6:00pm,sunday:11:00am - 5:00pm",,,
Bank St.  Grove Ave.,,1176 Bank Street,,OTTAWA,ON,,Canada,613-422-6741,45.3921443,-75.6818987,"monday:10:00am - 9:00pm,tuesday:10:00am - 9:00pm,wednesday:10:00am - 9:00pm,thursday:10:00am - 9:00pm,friday:10:00am - 9:00pm,saturday:10:00am - 6:00pm,sunday:11:00am - 5:00am",,,
Beauport Plaza,,965 Rue Nordique,,QUEBEC CITY,QC,,Canada,418-914-4266,46.890305,-71.191964,"monday:9:00am - 6:00pm,tuesday:9:00am - 6:00pm,wednesday:9:00am - 6:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 5:00pm,sunday:9:00am - 5:00pm",,,
Bedford Commons,,30 Damascus Street,,BEDFORD,NS,,Canada,902-835-2250,44.7500341,-63.6403835,"monday:10:00am - 7:00pm,tuesday:10:00am - 7:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00pm",,,
Bell's Corner (Robertson Ctr.),,2150 Robertson Road,,OTTAWA,ON,,Canada,613-726-7622,45.320216,-75.836584,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:30am - 6:00pm,sunday:10:00am - 5:00pm",,,
Belmont Ave.  Glasgow St.,,669 Belmont Ave. West,,KITCHENER,ON,,Canada,519-571-4444,43.4528357,-80.5178687,"monday:9:30am - 7:00pm,tuesday:9:30am - 7:00pm,wednesday:9:30am - 7:00pm,thursday:9:30am - 7:00pm,friday:9:30am - 7:00pm,saturday:9:00am - 6:00pm,sunday:12:00pm - 5:00pm",,,
Bloor  High Park,,2100 Bloor Street West,,TORONTO,ON,,Canada,416-604-9272,43.652377,-79.470723,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 6:00pm",,,
Boul Grande Alle and  Rue Levis,,1341  Grande Allee,,TERREBONNE,QC,,Canada,450-471-1967,45.710011,-73.625789,"monday:9:00am - 6:00pm,tuesday:9:00am - 6:00pm,wednesday:9:00am - 6:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 5:00pm,sunday:9:00am - 5:00pm",,,
Boul. Pierrefonds  Rue St. Pierre,,14905 Boulevard Pierrefonds,,PIERREFONDS,QC,,Canada,514-696-0111,45.4834789,-73.8603505,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:10:00am - 5:00pm,sunday:10:00am - 5:00pm",,,
Brimley Road  Sheppard Ave. East,,2369 Brimley Road,,SCARBOROUGH,ON,,Canada,416-298-0028,43.797799,-79.271781,"monday:9:30am - 7:30pm,tuesday:9:30am - 7:30pm,wednesday:9:30am - 7:30pm,thursday:9:30am - 7:30pm,friday:9:30am - 7:30pm,saturday:9:30am - 6:00pm,sunday:12:00pm - 5:00pm",,,
Brisdale  Bovaird (Fortinos Plaza),,17 Worthington Avenue,,BRAMPTON,ON,,Canada,905-495-5531,43.6828148,-79.8147779,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 8:00pm,friday:9:30am - 8:00pm,saturday:9:30am - 6:00pm,sunday:10:00am - 5:00pm",,,
Broadway  HWY 10,,47 Broadway,,ORANGEVILLE,ON,,Canada,519-942-8187,43.917395,-80.1062486,"monday:8:30am - 8:00pm,tuesday:8:30am - 8:00pm,wednesday:8:30am - 8:00pm,thursday:8:30am - 9:00pm,friday:8:30am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Brock Rd  Welwood,,2B Welwood Drive,,UXBRIDGE,ON,,Canada,905-862-3262,44.0886073,-79.1338086,"monday:9:00am - 8:00pm,tuesday:9:00am - 8:00pm,wednesday:9:00am - 8:00pm,thursday:9:00am - 8:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00am",,,
Callingwood,,6655 178th Street,,EDMONTON,AB,,Canada,780-481-3347,53.501347,-113.6307201,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Canyon Plaza Mall,,3701 50 Avenue,,RED DEER,AB,,Canada,403-309-3232,52.2562967,-113.8139582,"monday:9:00am - 8:00pm,tuesday:9:00am - 8:00pm,wednesday:9:00am - 8:00pm,thursday:9:00am - 8:00pm,friday:9:00am - 8:00pm,saturday:10:00am - 6:00pm,sunday:10:00am - 6:00pm",,,
Centre 25ieme,,136 25th Avenue,,ST EUSTACHE,QC,,Canada,450-974-2777,45.5730249,-73.8731538,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:30am - 5:00pm,sunday:9:30am - 5:00am",,,
Centre 25ieme D'achat Hudson,,3100 Harwood,,VAUDREUIL-DORION,QC,,Canada,450-455-0262,45.4277808,-74.1095873,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:00am - 5:00pm,sunday:9:00am - 5:00pm",,,
Centre Dachat Vaudreuil,,585 St. Charles Ave,,VAUDREUIL-DORION,QC,,Canada,450-424-4545,45.4070201,-74.0324032,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:30am - 5:00pm,sunday:9:30am - 5:00pm",,,
Centre Grande-Riviere,,203 Chemin d'Aylmer,,GATINEAU,QC,,Canada,819-557-4868,45.3960915,-75.8335175,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:30am - 5:00pm,sunday:9:30am - 5:00am",,,
Chain Lake Rd.  Washmill Lake,,209 Chain Lake Road,,HALIFAX,NS,,Canada,902-876-0894,44.6502041,-63.6756605,"monday:9:00am - 7:00pm,tuesday:9:00am - 7:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00pm",,,
Champlain St.  Wheeler Blvd.,,9 Champlain Street,,DIEPPE,NB,,Canada,506-854-8316,46.0934917,-64.7597564,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 9:00pm,sunday:10:00am - 6:00pm",,,
Clair Rd.  Gordon,,5 Clair Rd. West,,GUELPH,ON,,Canada,519-823-3004,43.5000866,-80.1893976,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 8:00pm,friday:9:30am - 8:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00pm",,,
Clarkson Village,,1865 Lakeshore Road West,,Mississauga,ON,,Canada,905-822-1616,43.515556,-79.62659,"monday:10:00am - 9:00pm,tuesday:10:00am - 9:00pm,wednesday:10:00am - 9:00pm,thursday:10:00am - 9:00pm,friday:10:00am - 9:00pm,saturday:10:00am - 6:00pm,sunday:11:00am - 5:00am",,,
Cliffcrest Plaza,,2975 Kingston Road,,SCARBOROUGH,ON,,Canada,416-266-1881,43.7248222,-79.2312713,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Country Hills Village,,5149 Country Hills Blvd NW,,CALGARY (EDGEMONT),AB,,Canada,403-454-7387,51.1379615,-114.1587365,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 6:00pm",,,
Creditview  Burnhamthorpe W.,,1170 Burnhamthorpe Road,,MISSISSAUGA,ON,,Canada,905-501-0411,43.56849,-79.6640933,"monday:10:00am - 8:00pm,tuesday:10:00am - 8:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:10:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Creditview and Bristol Road West,,1525 Bristol Road West,,MISSISSAUGA,ON,,Canada,905-816-0330,43.586782,-79.698686,"monday:10:00am - 9:00pm,tuesday:10:00am - 9:00pm,wednesday:10:00am - 9:00pm,thursday:10:00am - 9:00pm,friday:10:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 6:00pm",,,
Danforth  Broadview,,243 Danforth Avenue,,TORONTO,ON,,Canada,416-463-7387,43.6767716,-79.3551897,"monday:10:00am - 8:00pm,tuesday:10:00am - 8:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 6:00pm",,,
Decarie Blvd.  Coolbrook St.,,5326 Chemin Queen Mary,,MONTREAL,QC,,Canada,514 482-0100 ,45.4830609,-73.6295119,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:00am - 5:00pm,sunday:9:00am - 5:00pm",,,
Dillworth Shopping Centre,,2339 Highway 97 N,,KELOWNA,BC,,Canada,250-861-3663,49.8827722,-119.4322542,"monday:10:00am - 6:00pm,tuesday:10:00am - 6:00pm,wednesday:10:00am - 6:00pm,thursday:10:00am - 6:00pm,friday:10:00am - 6:00pm,saturday:10:00am - 6:00pm,sunday:12:00pm - 5:00pm",,,
Division St.  Munroe St.,,471 Division Street,,COBOURG,ON,,Canada,905-373-1984,43.9660386,-78.1682595,"monday:9:00am - 7:00pm,tuesday:9:00am - 7:00pm,wednesday:9:00am - 7:00pm,thursday:9:00am - 7:00pm,friday:9:00am - 7:00pm,saturday:9:00am - 5:00pm,sunday:11:00am - 5:00pm",,,
Don Quichotte Plaza,,475 Grand Boulevard,,ILE PERROT,QC,,Canada,514-453-4000,45.3881087,-73.9657425,"monday:9:30am - 6:30pm,tuesday:9:30am - 6:30pm,wednesday:9:30am - 6:30pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:30am - 5:00pm,sunday:9:30am - 5:00am",,,
Dundas  2nd Dug Hill Rd,,470 2nd Dug Hill Road,Wal-Mart Plaza,TRENTON,ON,,Canada,613-392-9191,44.0959751,-77.6038946,"monday:9:00am - 8:00pm,tuesday:9:00am - 8:00pm,wednesday:9:00am - 8:00pm,thursday:9:00am - 8:00pm,friday:9:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Dundas  Hamilton St. North,,255 Dundas St. West,,WATERDOWN,ON,,Canada,905-689-3377,43.3297982,-79.897032,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00am",,,
Dundas St.  Walkers Line,,3550 Dundas St,,BURLINGTON,ON,,Canada,905-319-1999,43.3909378,-79.8251007,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Dundurn  Main St. West,,50 Dundurn St. South,,HAMILTON,ON,,Canada,905-528-2775,43.261611,-79.889388,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00am,saturday:closed,sunday:10:00am - 6:00pm",,,
Dupont  St.George,,171-173 Dupont Street,,TORONTO,ON,,Canada,416-964-0450,43.6755711,-79.4033557,"monday:10:00am - 7:00pm,tuesday:10:00am - 7:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:9:30am - 7:00pm,sunday:12:00am - 6:00pm",,,
Eagleson  Stonehaven,,700 Eagleson Road,,KANATA (BRIDLEWOOD),ON,,Canada,613-599-0660,45.2843828,-75.8661465,"monday:10:00am - 8:00pm,tuesday:10:00am - 8:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
East Village Common,,200 Carnwith Drive East,,BROOKLIN,ON,,Canada,905-425-1899,43.9682237,-78.9482456,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 8:00pm,friday:9:30am - 8:00pm,saturday:9:30am - 6:00pm,sunday:11:00am - 4:00pm",,,
Eglinton  Avenue Rd,,381 Eglinton Avenue West,,TORONTO,ON,,Canada,416-482-4995,43.7039789,-79.4106886,"monday:9:00am - 7:00pm,tuesday:9:30am - 7:00pm,wednesday:9:30am - 7:00pm,thursday:9:30am - 7:00pm,friday:9:30am - 7:00pm,saturday:9:30am - 6:00pm,sunday:11:00am - 5:00pm",,,
Eglinton  Warden,,1900 Eglinton Ave. East,,SCARBOROUGH,ON,,Canada,416-759-3331,43.7271887,-79.2930079,"monday:10:30am - 8:00pm,tuesday:10:30am - 8:00pm,wednesday:10:30am - 8:00pm,thursday:10:30am - 8:00pm,friday:10:30am - 8:00pm,saturday:10:00am - 6:00pm,sunday:11:00am - 5:00pm",,,
Eglinton  Winston Churchill,,2901 Eglinton Ave. West,,MISSISSAUGA,ON,,Canada,905-369-0577,43.551468,-79.7150555,"monday:10:00am - 8:00pm,tuesday:10:00am - 8:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00am",,,
Ellesmere  McCowan,,1575 Ellesmere Road,,SCARBOROUGH,ON,,Canada,416-289-6255,43.7722224,-79.2509414,"monday:10:00am - 8:00pm,tuesday:10:00am - 8:00pm,wednesday:10:00am - 8:00pm,thursday:10:00am - 8:00pm,friday:10:00am - 8:00pm,saturday:10:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Essa Rd  Veterans Dr.,,420 Essa Road,,BARRIE,ON,,Canada,705-792-4152,44.3471545,-79.7041825,"monday:9:00am - 8:00pm,tuesday:9:00am - 8:00pm,wednesday:9:00am - 8:00pm,thursday:9:00am - 8:00pm,friday:9:00am - 8:00pm,saturday:9:00am - 6:00pm,sunday:10:00am - 5:00pm",,,
Fairville  Main St.,,600 Fairville Blvd,,SAINT JOHN,NB,,Canada,506-653-8661,45.2542114,-66.0949778,"monday:9:00am - 9:00pm,tuesday:9:00am - 9:00pm,wednesday:9:00am - 9:00pm,thursday:9:00am - 9:00pm,friday:9:00am - 9:00pm,saturday:9:00am - 9:00pm,sunday:10:00pm - 6:00pm",,,
Faubourg du Vieux Port,,1160 Blvd. St-Joseph,Faubourg du Vieux Port,GATINEAU,QC,,Canada,819-205-0200,45.473822,-75.740645,"monday:10:00am - 6:30pm,tuesday:10:00am - 6:30pm,wednesday:10:00am - 6:30pm,thursday:10:00am - 9:00pm,friday:10:00am - 9:00pm,saturday:9:30am - 5:00pm,sunday:9:30am - 5:00pm",,,
Fennell  Upper Gage,,989 Fennell Ave. East,,HAMILTON,ON,,Canada,905-575-9422,43.2277533,-79.8377508,"monday:9:30am - 8:00pm,tuesday:9:30am - 8:00pm,wednesday:9:30am - 8:00pm,thursday:9:30am - 9:00pm,friday:9:30am - 9:00pm,saturday:9:00am - 6:00pm,sunday:11:00am - 5:00am",,,
