store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Price Cutter of Joplin,1584,1850 S. Maiden Lane,,Joplin,MO,64801,United States,(417) 626-0850  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Waynesville,1759,300 Ichord Avenue,,Waynesville,MO,65583,United States,(573) 774-8489  ,,,,,,
Price Cutter of Nixa,1578,400 N. Massey Boulevard,,Nixa,MO,65714,United States,(417) 725-6166  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - W. Republic Road,1598,2021 W. Republic Road,,Springfield,MO,65807,United States,(417) 888-0466  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - South National,1577,4228 S. National Ave.,,Springfield,MO,65810,United States,(417) 889-3828  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - East Saint Louis Street,1575,1260 E. St. Louis Street,,Springfield,MO,65802,United States,(417) 895-3107  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - W Kearney Street,1758,1831 W Kearney Street,,Springfield,MO,65803,United States,(417) 895-3103  ,,,,,,
Price Cutter of Lebanon,1757,550 N Jefferson,,Lebanon,MO,65536,United States,(417) 532-7724  ,,,,,,
Price Cutter of Webb City,1754,1503W MacArthur,,Webb City,MO,64870,United States,(417) 673-6300  ,,,,,,
Price Cutter of Springfield - North Nolting Avenue,1582,335 No. Nolting Ave.,,Springfield,MO,65802,United States,(417) 863-1772  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - East Division Street,1581,1901 E. Division,,Springfield,MO,65803,United States,(417) 866-5502  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Republic - US Hwy 60 East,1597,1013 US Hwy 60 East,,Republic,MO,65738,United States,(417) 732-2828  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Aurora,1752,708 S Elliott Ave.,,Aurora,MO,65605,United States,(417) 678-3800  ,,,,,,
Price Cutter of West Plains,1749,1211 Parkway Shop Center,,West Plains,MO,65775,United States,(417) 256-6166  ,,,,,,
Price Cutter of Monett,1747,2150 E Cleveland,,Monett,MO,65708,United States,(417) 236-2800  ,,,,,,
Price Cutter of Ozark,1574,5504 N. 17th Street,,Ozark,MO,65721,United States,(417) 581-8873  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - East Battlefield Road,1576,3260 E. Battlefield Road,,Springfield,MO,65804,United States,(417) 887-7860  ,,,Mon-Sun: 6am -12am,,,
Price Cutter of Springfield - W Commercial Street,1750,712 W Commercial Street,,Springfield,MO,65803,United States,(417) 864-7810  ,,,,,,
Price Cutter of New Madrid,1746,Dawson Road,,New Madrid,MO,63869,United States,(573) 748-5547  ,,,,,,
Price Cutter of Marshfield,1760,759 West Washington,,Marshfield,MO,65606,United States,(417) 859-2635  ,,,,,,
Price Cutter of Seymour,1748,120 E Market Street,,Seymour,MO,65746,United States,(417) 935-4551  ,,,,,,
Price Cutter of Purdy,1756,102 S Business 37,,Purdy,MO,65734,United States,(417) 442-3400  ,,,,,,
Price Cutter of Cassville,1753,91 S Main,,Cassville,MO,65625,United States,(417) 847-4155  ,,,,,,
Price Cutter of Granby,1751,469 W Valley Street,,Granby,MO,64844,United States,(417) 472-6443  ,,,,,,
Price Cutter of Neosho,1755,1000 S Neosho Boulevard,,Neosho,MO,64850,United States,(417) 451-3628  ,,,,,,
