store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Nob Hill Foods,,2531 Blanding Avenue ,,Alameda ,CA,94501,United States,510-814-8800,,,6:00 am to 11:00 pm,,,
Nob Hill Foods,,1602 W. Campbell Ave. ,,Campbell ,CA,95008,United States,408-379-6650,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,809 Bay Avenue ,,Capitola ,CA,95010,United States,831-476-5600,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,777 First Street ,,Gilroy ,CA,95020,United States,408-847-4857,,,6 am - 11 pm,,,
Nob Hill Foods,,1700 Airline Hwy. ,,Hollister ,CA,95023,United States,831-637-7447,,,6 am - 11 pm,,,
Nob Hill Foods,,919 East Stanley ,,Livermore ,CA,94550,United States,925-443-9500,,,6 am - 11 pm,,,
Nob Hill Foods,,15710 Los Gatos Blvd. ,,Los Gatos ,CA,95030,United States,408-356-0421,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,520 Center Avenue ,,Martinez ,CA,94553,United States,925-370-9400,,,6 am  to 11 pm,,,
Nob Hill Foods,,900 Lighthouse Ave. ,,Monterey ,CA,93940,United States,831-375-8220,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,451 Vineyard Town Center ,,Morgan Hill ,CA,95037,United States,408-779-8485,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,1250 Grant Road ,,Mountain View ,CA,94040,United States,650-390-9222,,,6:00 a.m - 11:00 p.m.,,,
Nob Hill Foods,,611 Trancas Street ,,Napa ,CA,94558,United States,707-224-8583,,,6 am - 11 pm,,,
Nob Hill Foods,,1945 N Street ,,Newman ,CA,95360,United States,209-862-1002,,,6 am - 10 pm,,,
Nob Hill Foods,,270 Redwood Shores Pkwy. ,,Redwood City ,CA,94065,United States,650-654-2106,,,6 am - 11 pm,,,
Nob Hill Foods,,1320 S. Main Street ,,Salinas ,CA,93901,United States,831-758-8481,,,6am - 11pm,,,
Nob Hill Foods,,6061 Snell Avenue ,,San Jose ,CA,95123,United States,408-225-0546,,,6-11 Mon-Sat  6 -10 Sun,,,
Nob Hill Foods,,130 Market Place ,,San Ramon ,CA,94583,United States,925-866-1022,,,6 am - 10 pm,,,
Nob Hill Foods,,222 Mt. Hermon Road ,,Scotts Valley ,CA,95066,United States,831-438-1611,,,6-11 Mon-Sat    6-10 Sun,,,
Nob Hill Foods,,2270 Oak Grove Road ,,Walnut Creek ,CA,94598,United States,925-256-7188,,,6 am - 10 pm,,,
Nob Hill Foods,,1912 Main Street ,,Watsonville ,CA,95076,United States,831-728-9555,,,6-11 Mon-Sat    6-10 Sun,,,
