store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Andrews Jewelers - Ohio Valley Mall,647,Unit 640 Mall Road ,,St. Clairsville,OH,43950,US,(740) 695-5394,40.0715505000,-80.8659048000,,,,
Andrews Jewelers - Sandusky Mall,649,4314 Milan Road Suite 540,,Sandusky,OH,44870,US,(419) 6276249,41.4189016000,-82.6698386000,,,,
Andrews Jewelers - River Valley Mall,659,1635 River Valley Cir S Ste 233,,Lancaster,OH,43130,US,(740) 653-0059,39.7321300000,-82.6282020000,,,,
Andrews Jewelers - Eastland Mall,650,2725 Eastland Mall,,Columbus,OH,43232,US,(614) 861-5115,39.9181007000,-82.8869627000,,,,
Andrews Jewelers - Easton Town Center,657,4049 The Strand E,,Columbus,OH,43219,US,(614) 472-0057,40.0523846000,-82.9151075000,,,,
Andrews Jewelers - Polaris Fashion Place,355,1500 Polaris Pkwy Ste 2196,,Columbus,OH,43240,US,(614) 786-1630,40.1456984000,-82.9812948000,,,,
Andrews Jewelers - The Mall at Tuttle Crossing,554,5043 Tuttle Crossing Blvd Suite 217,,Dublin,OH,43016,US,(614) 760-8390,40.0732776000,-83.1323201000,,,,
Andrews Jewelers - University Town Center,644,6501 North Grape Rd,,Mishawaka,IN,46545,US,(574) 271-1910,41.7194900000,-86.1910125000,,,,
Andrews Jewelers - Tippecanoe Mall,642,2415 Sagamore Pkwy S Ste A14,,Lafayette,IN,47905,US,(765) 449-0112,40.3916997000,-86.8499758000,,,,
Andrews Jewelers - Markland Mall,608,1205 S Reed Rd.,,Kokomo,IN,46902,US,(765) 457-6688,40.4722661000,-86.1079617000,,,,
Andrews Jewelers - Muncie Mall,634,3501 N Granville Ave Ste 5,,Muncie,IN,47303,US,(765) 288-3400,40.2219157000,-85.3752020000,,,,
Andrews Jewelers - Circle Centre,640,49 W Maryland St Ste. 105,,Indianapolis,IN,46204,US,(317) 634-4602,39.7663040000,-86.1593220000,,,,
Andrews Jewelers - Greenwood Park,643,1251 US 31N Ste 66,,Greenwood,IN,46142,US,(317)-889-4200,39.6326233000,-86.1205805000,,,,
Andrews Jewelers - Battlefield Mall,627,2825 S Glenstone Ave Ste 101,,Springfield,MO,65804,US,(417) 887-0604,37.1627417000,-93.2656737000,,,,
