store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Marketplace Mall,,1 Miracle Mile Drive ,,Rochester ,NY,14623,United States,585-292-1900,,,,,,
Crossgates Mall,,1 Cross Gates Mall Road ,,Albany ,NY,12203,United States,518-456-4646,,,,,,
Destiny USA,,9090 Destiny USA Drive ,,Syracuse ,NY,13204,United States,315-422-4438,,,,,,
Salmon Run Mall,,21182 Salmon Run Mall Loop West ,,Watertown ,NY,13601,United States,315-782-0000,,,,,,
Walden Galleria,,1 Walden Galleria ,,Cheektowaga ,NY,14225,United States,716-685-7494,,,,,,
Eastern Hills Mall,,4545 Transit Road ,,Williamsville ,NY,14221,United States,716-633-3580,,,,,,
Blue Back Square,,55 Memorial Road ,,West Hartford ,CT,06107,United States,860-257-5700,,,,,,
Trumbull Mall,,5065 Main Street ,,Trumbull ,CT,06611,United States,203-371-4438,,,,,,
Hampshire Mall at ,,367 Russell Street ,,Hadley ,MA,01035,United States,413-586-8606,,,,,,
Eastfield Mall,,1655 Boston Road ,,Springfield ,MA,01129,United States,413-543-1747,,,,,,
Longmeadow Shops,,666 Bliss Road ,,Longmeadow ,MA,01106,United States,413-567-6151,,,,,,
Northwoods Mall,,2150 Northwoods Boulevard ,,North Charleston ,SC,29406,United States,843-553-2002,,,,,,
Monroeville Mall,,112 Monroeville Mall ,,Monroeville ,PA,15146,United States,412-666-0663,,,,,,
Brandon Mall,,459 Brandon Town Center Mall ,,Brandon ,FL,33511,United States,813-438-5939,,,,,,
Eastgate Mall,,4601 Eastgate Boulevard ,,Cincinnati ,OH,45245,United States,(513) 752-4438,,,,,,
