store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Macy's Backstage at Macy's Birmingham,,614 Brookwood Village,,Birmingham,AL,35209,United States,(205) 868-2600,33.47112405039294,-86.76948210185242,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 12:00 PM - 6:00 PM",,,
Macy's Backstage at Macy's at The Rim,,5811 Worth Parkway,,San Antonio,TX,78257,United States,(210) 780-4808,29.61425864572838,-98.598416635582,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's Mayfair Mall,,2500 N Mayfair Road,,Wauwatosa,WI,53226,United States,(414) 471-3700,43.065545163173944,-88.04488153779857,"Monday 10:00 AM - 9:00 PM, Tuesday 10:00 AM - 9:00 PM, Wednesday 10:00 AM - 9:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:00 PM, Saturday 10:00 AM - 9:00 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's Providence Place,,7 Providence Place,,Providence,RI,02903,United States,(401) 351-9900,41.82627698183868,-71.41611798280337,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:30 PM, Friday 10:00 AM - 10:00 PM, Saturday 10:00 AM - 10:00 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's San Antonio,,6301 Northwest Loop 410,,San Antonio,TX,78238,United States,(210) 647-2400,29.46949226032194,-98.62009406089783,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 10:00 PM, Friday 10:00 AM - 10:00 PM, Saturday 10:00 AM - 10:00 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's Roosevelt,,2399 Cottman Avenue,,Philadelphia,PA,19149,United States,(215) 331-5500,40.046819433081644,-75.05467236042023,"Monday 10:00 AM - 9:30 PM, Tuesday 10:00 AM - 9:30 PM, Wednesday 10:00 AM - 9:30 PM, Thursday 10:00 AM - 9:30 PM, Friday 10:00 AM - 10:00 PM, Saturday 10:00 AM - 10:00 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's Montgomery Mall,,Montgomery Mall,,North Wales,PA,19454,United States,(215) 362-9100,40.23537861927238,-75.24375818650816,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:30 PM, Friday 10:00 AM - 9:30 PM, Saturday 10:00 AM - 9:30 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's Dulles,,21060 Dulles Town Circle,,Dulles,VA,20166,United States,(703) 421-4814,39.033,-77.424,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:30 PM, Friday 10:00 AM - 10:00 PM, Saturday 10:00 AM - 9:30 PM, Sunday 11:00 AM - 7:00 PM",,,
Macy's Backstage at Macy's East Mall,,3401 Paxton Street,,Harrisburg,PA,17111,United States,(717) 561-8770,40.25204628252383,-76.83155510185236,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 9:30 PM, Saturday 10:00 AM - 9:30 PM, Sunday 12:00 PM - 7:00 PM",,,
Macy's Backstage at Macy's Town East Mall,,4000 Town East Blvd.,,Mesquite,TX,75150,United States,(972) 681-6700,32.80776918765807,-96.62220239639282,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 9:00 PM, Friday 10:00 AM - 10:00 PM, Saturday 10:00 AM - 10:00 PM, Sunday 11:00 AM - 7:00 PM",,,
