store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Moorestown,,400 Route 38 Suite 8120,,Moorestown,NJ,08057,United States,(856) 778-0299,39.9461599,-74.960949,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Cherry Hill,,2050 Route 70 W,,Cherry Hill,NJ,08002,United States,(856) 792-9260,39.9227399,-75.04058,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Springfield,,950 Baltimore Pike,,Springfield,PA,19064,United States,(610) 549-9060,39.9151099,-75.34206,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Paramus,,83 West Spring Valley Ave Suite L-6,,Maywood,NJ,07607,United States,201-556-1001,40.914298,-74.060066,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Princeton,,"3522 U.S. Highway, Route 1, Suite 1",,Princeton,NJ,08540,United States,(609) 734-4790,40.310834,-74.661611,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
York Road,,6302 York Rd.,,Baltimore,MD,21212,United States,(410) 435-3290,39.37097,-76.610529,"Sun - Thu : 11:00AM to 09:30PM, Fri - Sat : 11:00AM to 10:00PM",,,
Annapolis,,1901 Towne Centre  Blvd Suite 145 B,,Annapolis,MD,21401,United States,410-573-5060,38.98129,-76.54373,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Hunt Valley,,"114 Shawan Road, Suite 8",,Cockeysville,MD,21030,United States,(410) 568-1911,39.49608,-76.65506,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",,,
Plaza in the Park,,5110 Buffalo Speedway Suite 100,,Houston,TX,77005,United States,(713) 661-0900,29.7279599,-95.427989,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 10:30AM to 10:00PM",,,
Shenandoah,,19075 IH 45 S Suite 480,,Shenandoah,TX,77385,United States,(936) 271-9217,30.17911,-95.45022,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 10:30AM to 10:00PM",,,
