store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Samuels Jewelers - Del Amo,129,3525 W Carson St,,Torrance,CA,90503,US,(310) 214-1851/2,33.8324182000,-118.3497799000,,,,
Samuels Jewelers - Arrowhead Towne Center,369,7700 W Arrowhead Towne Ctr Ste 2250,,Glendale,AZ,85308,US,(623) 979-4735,33.6421362000,-112.2252174000,,,,
Samuels Jewelers - Superstition Springs,85368,6555 E Southern Ave Ste 2304,,Mesa,AZ,85206,US,(480) 654-5985,33.3905976000,-111.6896749000,,,,
Samuels Jewelers - Towne East,508,2063 Town East Mall,,Mesquite,TX,75150,US,(972) 613-4570/80,32.8086283000,-96.6253508000,,,,
Samuels Jewelers - Stonebriar,558,2601 Preston Road,,Frisco,TX,75034,US,(469) 362-5344/56,33.0994285000,-96.8080663000,,,,
Samuels Jewelers - Oakridge Mall,245,925 Blossom Hill Rd Ste 1253,,San Jose,CA,95123,US,(408) 578-5555,37.2525161000,-121.8630003000,,,,
Samuels Jewelers - Stoneridge Shopping Center,222,2105 Stoneridge Mall Rd. Suite B203,,Pleasanton,CA,94588,US,(925) 201-0014,37.6976381000,-121.9306940000,,,,
Samuels Jewelers - Lakeline Mall,515,11200 Lakeline Mall Dr Ste M1,,Cedar Park,TX,78613,US,(512) 258-6991,30.4705571000,-97.8065583000,,,,
Samuels Jewelers - The Avenues,871,10300 Southside Blvd,,Jacksonville,FL,32256,US,(904) 538-9375/6,30.1844439000,-81.5563607000,,,,
Samuels Jewelers - Cielo Vista Mall,547,8401 Gateway Blvd W Q07A,,El Paso,TX,79925,US,915-881-8387,31.7950511000,-106.3581527000,,,,
Samuels Jewelers - Baybrook Mall,535,1376 Baybrook Mall,,Friendswood,TX,77546,US,(281) 486-5588,29.5441984000,-95.1504428000,,,,
Samuels Jewelers - Sierra Vista Mall,147,1050 Shaw Ave Ste A25,,Clovis,CA,93612,US,(559) 324-9727,36.8061910000,-119.6953947000,,,,
Samuels Jewelers - Arden Fair Mall,252,1689 Arden Way Ste 2149,,Sacramento,CA,95815,US,(916) 925-0867,38.6015798000,-121.4273691000,,,,
Samuels Jewelers - Sunrise Mall Shopping Ctr,231,5965 Sunrise Mall,,Citrus Heights,CA,95610,US,(916) 961-3444,38.6741892000,-121.2693601000,,,,
Samuels Jewelers - Oak Park Mall,405,11711 W 95th St Ste 133,,Overland Park,KS,66214,US,(913) 888-7090,38.9564510000,-94.7215335000,,,,
Samuels Jewelers - Chapel Hills Mall,793,1710 Briargate Blvd  Ste 471,,Colorado Springs,CO,80920,US,(719) 598-3900,38.9492986000,-104.7931018000,,,,
Samuels Jewelers - Woodland Hills Mall,581,7021 S Memorial Ste 274,,Tulsa,OK,74133,US,(918) 250-8501,36.0632284000,-95.8818735000,,,,
Samuels Jewelers - Towne West Square,403,4600 W Kellogg Dr,,Wichita,KS,67209,US,(316) 941-9762,37.6778143000,-97.3986230000,,,,
