store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
SpeeDee Oil Change & Auto Service - Store,1394,9550 N. 90th St. #A-2,,Scottsdale,AZ,85258,United States,(480) 391-0796,33.57228,-111.887432,"Monday - Friday: 7:30am - 6:00pm, Saturday: 7:30am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17013,12021 Summer Ridge Drive,,Auburn,CA,95603,United States,(530) 823-0102,38.9228,-121.083,"Monday - Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 9:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17055,7377 Brentwood Boulevard,,Brentwood,CA,94513,United States,(925) 516-0623,37.947744,-121.696198,"Monday-Friday: 8:00am - 5:00pm, Saturday: 8:00am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17014,736 Clovis Avenue,,Clovis,CA,93612,United States,(559) 323-8398,36.821316,-119.700663,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 6:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,1628,2525 Monument Boulevard,,Concord,CA,94520,United States,(925) 687-6062,37.9602,-122.033,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:30am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17034,1600 Sullivan Avenue,,Daly City,CA,94015,United States,(650) 755-8777,37.687617,-122.472252,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17050,2000 F Street,,Davis,CA,95616,United States,(530) 753-1633,38.5613,-121.745,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 9:00am - 3:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1865,6955 Village Parkway,,Dublin,CA,94568,United States,(925) 829-8801,37.7079,-121.925,"Monday - Friday: 7:30am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 9:00am - 5:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17098,8573 Elk Grove Blvd.,,Elk Grove,CA,95624,United States,(916) 686-1616,38.4093,-121.386,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:30pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17041,5490 Dewey Dr.,,Fair Oaks,CA,95628,United States,(916) 965-8017,38.666247,-121.308604,"Monday - Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17067,6604 Folsom-Auburn Road,,Folsom,CA,95630,United States,(916) 988-0531,38.684922,-121.178832,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1868,3741 Washington Boulevard,,Fremont,CA,94538,United States,(510) 659-0111,37.5329,-121.956,"Monday - Saturday: 8:00am - 5:00pm, Sunday: 8:00am - 5:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1783,4045 Thornton Avenue,,Fremont,CA,94536,United States,(510) 796-4111,37.559999,-122.012329,"Monday - Friday: 7:30am - 6:00pm, Saturday: 7:30am - 6:00pm, Sunday: 8:00am - 6:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1246,1078 La Playa Drive,,Hayward,CA,94545,United States,(510) 783-0434,37.647968,-122.105311,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:30am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17047,1699 Airline Highway,,Hollister,CA,95023,United States,(831) 638-9999,36.838697,-121.390733,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 9:00am - 3:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17107,12470 Jackson Gate Rd.,,Jackson,CA,95642,United States,(209) 223-1455,38.367169,-120.795888,"Monday - Friday: 8:00am - 5:00pm, Saturday: 8:00am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,1281,7207 University Avenue,,La Mesa,CA,91942,United States,(619) 466-1156,32.755133,-117.042823,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:30am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17043,15643 Los Gatos Boulevard,,Los Gatos,CA,95032,United States,(408) 356-9301,37.2413,-121.961,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17085,245 W. Louise,,Manteca,CA,95336,United States,(209) 825-5823,37.811946,-121.218947,"Monday - Friday: 8:00am - 5:00pm, Saturday: 8:00am - 5:00pm, Sunday: 10:00am - 3:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1660,1420 V Street,,Merced,CA,95340,United States,(209) 722-5705,37.304183,-120.500007,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:30am - 5:00pm, Sunday: Closed",,,
SpeeDee Oil Change & Auto Service - Store,17021,390 El Camino Real,,Millbrae,CA,94030,United States,(650) 692-6740,37.602207,-122.39153,"Monday-Friday: 8:00am - 6:00pm, Saturday: 8:00am - 6:00pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17087,635 Trade Zone Boulevard,,Milpitas,CA,95035,United States,(408) 262-8081,37.4036,-121.892,"Monday - Friday: 8:00am - 5:00pm, Saturday: 7:00am - 5:00pm, Sunday: 8:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17065,1343 Coffee Road,,Modesto,CA,95355,United States,(209) 521-1929,37.663559,-120.976059,"Monday-Friday: 8:00am - 5:00pm, Saturday: 8:00am - 5:00pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17101,1760 E. Hatch Rd.,,Modesto,CA,95351,United States,(209) 538-3999,37.609201,-120.964563,"Monday - Friday: 8:00am - 5:30pm, Saturday: 8:00am - 5:30pm, Sunday: 9:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1446,1797 Soscol Avenue,,Napa,CA,94559,United States,(707) 257-0925,38.3068,-122.285,"Monday-Friday: 7:00am - 6:00pm, Saturday: 8:00am - 5:00pm, Sunday: 9:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1285,3510 Mission Avenue,,Oceanside,CA,92058,United States,(760) 757-5004,33.223628,-117.333724,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:00am - 5:00pm, Sunday: 10:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,17019,44 Mission Drive,,Pleasanton,CA,94566,United States,(925) 426-9669,37.652668,-121.879699,"Monday-Friday: 8:00am - 5:00pm, Saturday: 8:00am - 5:00pm, Sunday: 8:00am - 4:00pm",,,
SpeeDee Oil Change & Auto Service - Store,1297,12672 Poway Road,,Poway,CA,92064,United States,(858) 486-7558,32.954798,-117.05633,"Monday-Friday: 7:30am - 6:00pm, Saturday: 7:00am - 5:00pm, Sunday: Closed",,,
