store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Sioux Falls SD Hotels - AmericInn Sioux Falls Hotel & Suites,,3508 South Gateway Blvd.,,Sioux Falls,SD,57106,United States,[605] 361.3538,,,,,,
Havre MT Hotels - AmericInn Havre Hotel & Suites,,2520 Highway 2 West,,Havre,MT,59501,United States,[406] 395.5000,,,,,,
Repubilc MO Hotels - AmericInn Republic Hotel & Suites,,950 Austin Lane,,Republic,MO,65738,United States,[417] 732.5335,,,,,,
Wisconsin Rapids WI Hotels - AmericInn Wisconsin Rapids Hotel & Suites,,3010 8th St. South,,Wisconsin Rapids,WI,54494,United States,[715] 424.3444,,,,,,
Pampa TX Hotels - AmericInn Pampa Hotel & Suites,,1101 North Hobart,,Pampa,TX,79065,United States,[806] 665.4404,,,,,,
Hesston KS Hotels - AmericInn Hesston Hotel & Suites,,2 Leonard Court,,Hesston,KS,67062,United States,[620] 327.2053,,,,,,
West Burlington IA Hotels - AmericInn West Burlington Hotel,,628 S. Gear Ave.,,West Burlington,IA,52655,United States,[319] 758.9000,,,,,,
Wahpeton ND Hotels - AmericInn Wahpeton Hotel & Suites,,2029 Two Ten Drive,,Wahpeton,ND,58075,United States,[701] 642.8365,,,,,,
Silver City MI Hotels - AmericInn Silver City Hotel & Suites,,120 Lincoln Avenue,,Silver City,MI,49953,United States,[906] 885.5311,,,,,,
Laramie WY Hotels - AmericInn Laramie Hotel & Suites,,4712 East Grand Avenue,,Laramie,WY,82070,United States,[307] 745.0777,,,,,,
Worthington MN Hotels - AmericInn Worthington Hotel,,1475 Darling Drive,,Worthington,MN,56187,United States,[507] 376.4500,,,,,,
Willmar MN Hotels - AmericInn Willmar Hotel & Suites,,2404 East Hwy. 12,,Willmar,MN,56201,United States,[320] 231.1962,,,,,,
Sayre OK Hotels - AmericInn Sayre Hotel & Suites,,2405 South El Camino,,Sayre,OK,73662,United States,[580] 928.2700,,,,,,
Omaha NE Hotels - AmericInn Omaha Hotel & Suites,,9720 West Dodge Road,,Omaha,NE,68114,United States,[402] 391.5300,,,,,,
Salina KS Hotels - AmericInn Salina Hotel & Suites,,1820 West Crawford,,Salina,KS,67401,United States,[785] 826.1711,,,,,,
Rexburg ID Hotels - AmericInn Rexburg Hotel & Suites,,1098 Golden Beauty Drive,,Rexburg,ID,83440,United States,[208] 356.5333,,,,,,
Lincoln NE Hotels - AmericInn Lincoln Hotel & Suites,,8701 Amber Hill Court,,Lincoln,NE,68526,United States,[402] 420.0027,,,,,,
Winona MN Hotels - AmericInn Winona Hotel & Suites,,303 Pelzer Street,,Winona,MN,55987,United States,507.474.7700,,,,,,
Lincoln NE Hotels - AmericInn Lincoln Hotel & Suites,,6555 North 27th Street,,Lincoln,NE,68521,United States,[402] 435.1600,,,,,,
Kearney NE Hotels - AmericInn Kearney Hotel,,215 West Talmadge Road,,Kearney,NE,68847,United States,[308] 234.7800,,,,,,
Waconia MN Hotels - AmericInn Waconia Hotel & Suites,,550 Cherry Drive,,Waconia,MN,55387,United States,[952] 442.8787,,,,,,
Wabasha MN Hotels - AmericInn Wabasha Hotel & Suites,,150 Commerce Drive,,Wabasha,MN,55981,United States,[651] 565.5366,,,,,,
Wadena MN Hotels - AmericInn Wadena Hotel & Suites,,695 Jefferson St. North,,Wadena,MN,56482,United States,[218] 631.1580,,,,,,
White Bear Lake MN Hotels - AmericInn White Bear Lake Hotel & Suites,,4675 White Bear Parkway,,White Bear Lake,MN,55110,United States,[651] 429.7131,,,,,,
Virginia MN Hotels - AmericInn Virginia Hotel & Suites,,5480 Mountain Iron Drive,,Virginia,MN,55792,United States,[218] 741.7839,,,,,,
Tofte MN Hotels - AmericInn Tofte Hotel & Suites,,7231 W Hwy 61,,Tofte,MN,55615,United States,[218] 663.7899,,,,,,
Thief River Falls MN Hotels - AmericInn Thief River Falls Hotel & Suites,,1920 Hwy 59 SE,,Thief River Falls,MN,56701,United States,[218] 681.4411,,,,,,
Indianapolis IN Hotels - AmericInn Indianapolis Hotel,,9780 North by Northeast Blvd.,,Fishers,IN,46037,United States,[317] 578.9000,,,,,,
Cody WY Hotels - AmericInn Cody Hotel & Suites,,508 Yellowstone Ave,,Cody,WY,82414,United States,[307] 587.7716,,,,,,
Two Harbors MN Hotels - AmericInn Two Harbors Hotel & Suites,,1088 Hwy. 61 North,,Two Harbors,MN,55616,United States,[218] 834.3000,,,,,,
Sleepy Eye MN Hotels - AmericInn Sleepy Eye Hotel & Suites,,1100 Main Street East,,Sleepy Eye,MN,56085,United States,507.794.9494,,,,,,
Stillwater MN Hotels - AmericInn Stillwater Hotel & Suites,,13025 60th St. North,,Oak Park Heights,MN,55082,United States,[651] 275.0980,,,,,,
St. Peter MN Hotels - AmericInn St. Peter Hotel & Suites,,700 North Minnesota Ave.,,St. Peter,MN,56082,United States,[507] 931.6554,,,,,,
Silver Bay MN Hotels - AmericInn Silver Bay Hotel & Suites,,150 Mensing Drive,,Silver Bay,MN,55614,United States,[218] 226.4300,,,,,,
Sauk Centre MN Hotels - AmericInn Sauk Centre Hotel & Suites,,1230 Timberlane Drive,,Sauk Centre,MN,56378,United States,[320] 352.2800,,,,,,
Shakopee MN Hotels - AmericInn Shakopee Hotel & Suites,,4100 12th Avenue East,,Shakopee,MN,55379,United States,[952] 445.6775,,,,,,
Sartell MN Hotels - AmericInn Sartell Hotel & Suites,,119 Lesauk Drive,,Sartell,MN,56377,United States,[320] 259.0877,,,,,,
McAlester OK Hotels - AmericInn McAlester Hotel & Suites,,609 S George Nigh Expressway,,McAlester,OK,74502,United States,[918] 426.1300,,,,,,
Rochester MN Hotels - AmericInn Rochester Hotel & Suites,,7320 Airport View Drive SW,,Rochester,MN,55902,United States,[507] 536.7000,,,,,,
Red Wing MN Hotels - AmericInn Red Wing Hotel & Suites,,1819 Old West Main,,Red Wing,MN,55066,United States,[651] 385.9060,,,,,,
St. Cloud MN Hotels - AmericInn St. Cloud Hotel & Suites,,4385 Clearwater Road,,St. Cloud,MN,56301,United States,[320] 253.6337,,,,,,
Pequot Lakes MN Hotels - AmericInn Pequot Lakes Hotel & Suites,,32912 Paul Bunyan Trail Drive,,Pequot Lakes,MN,56472,United States,[218] 568.8400,,,,,,
Oklahoma City OK Hotels - AmericInn Oklahoma City Hotel & Suites,,1905 South Meridian Avenue,,Oklahoma City,OK,73108,United States,[405] 682.2080,,,,,,
Rogers MN Hotels - AmericInn Rogers Hotel & Suites,,21800 Industrial Blvd.,,Rogers,MN,55374,United States,[763] 428.4346,,,,,,
North Branch MN Hotels - AmericInn North Branch Hotel & Suites,,38675 14th Ave,,North Branch,MN,55056,United States,[651] 674.8627,,,,,,
Mora MN Hotels - AmericInn Mora Hotel & Suites,,1877 Frontage Road,,Mora,MN,55051,United States,[320] 679.5700,,,,,,
Marshall MN Hotels - AmericInn Marshall Hotel & Suites,,1406 E. Lyon St.,,Marshall,MN,56258,United States,[507] 537.9424,,,,,,
Princeton MN Hotels - AmericInn Princeton Hotel & Suites,,910 South Rum River Drive,,Princeton,MN,55371,United States,[763] 389.9312,,,,,,
Little Falls MN Hotels - AmericInn Little Falls Hotel & Suites,,306 Lemieur Street SE,,Little Falls,MN,56345,United States,[320] 632.1964,,,,,,
Mankato MN Hotels - AmericInn Mankato Hotel & Suites,,240 Stadium Road,,Mankato,MN,56001,United States,[507] 345.8011,,,,,,
Park Rapids MN Hotels - AmericInn Park Rapids Hotel & Suites,,1501 First Street East,,Park Rapids,MN,56470,United States,[218] 732.1234,,,,,,
Lake City MN Hotels - AmericInn Lake City Hotel & Suites,,1615 North Lakeshore Drive,,Lake City,MN,55041,United States,[651] 345.5611,,,,,,
Litchfield MN Hotels - AmericInn Litchfield Hotel & Suites,,1525 E. Hwy 12,,Litchfield,MN,55355,United States,[320] 693.1600,,,,,,
Inver Grove Heights MN Hotels - AmericInn Inver Grove Heights Hotel & Suites,,5861 Blaine Ave.,,Inver Grove Heights,MN,55076,United States,[651] 450.7511,,,,,,
Jackson MN Hotels - AmericInn Jackson Hotel & Suites,,110 Belmont Lane,,Jackson,MN,56143,United States,[507] 847.2444,,,,,,
International Falls MN Hotels - AmericInn International Falls Hotel & Suites,,1500 Highway 71,,International Falls,MN,56649,United States,[218] 283.8000,,,,,,
Ham Lake MN Hotels - AmericInn Ham Lake Hotel & Suites,,13440 Highway 65,,Ham Lake,MN,55304,United States,[763] 755.2100,,,,,,
Roseau MN Hotels - AmericInn Roseau Hotel & Suites,,1110 3rd St NW,,Roseau,MN,56751,United States,[218] 463.1045,,,,,,
Mounds View MN Hotels - AmericInn Mounds View Hotel & Suites,,2200 Mounds View Blvd,,Mounds View,MN,55112,United States,[763] 786.2000,,,,,,
Northfield MN Hotels - AmericInn Northfield Hotel & Suites,,1320 Bollenbacher Drive,,Northfield,MN,55057,United States,[507] 645.7761,,,,,,
Duluth MN Hotels - AmericInn Duluth Hotel & Suites,,185 Hwy. 2,,Proctor,MN,55810,United States,[218] 624.1026,,,,,,
Detroit Lakes MN Hotels - AmericInn Detroit Lakes Hotel & Suites,,777 Hwy. 10 East,,Detroit Lakes,MN,56501,United States,[218] 847.8795,,,,,,
Grand Rapids MN Hotels - AmericInn Grand Rapids Hotel,,1812 South Pokegama Ave.,,Grand Rapids,MN,55744,United States,[218] 326.8999,,,,,,
Crookston MN Hotels - AmericInn Crookston Hotel & Suites,,1821 University Avenue,,Crookston,MN,56716,United States,[218] 281.7800,,,,,,
Fergus Falls MN Hotels - AmericInn Fergus Falls Hotel & Suites,,526 Western Ave. North,,Fergus Falls,MN,56537,United States,[218] 739.3900,,,,,,
Coon Rapids MN Hotels - AmericInn Coon Rapids MN,,3430 Northdale Blvd.,,Coon Rapids,MN,55448,United States,[763] 323.0010,,,,,,
Forest Lake MN Hotels - AmericInn Forest Lake Hotel,,1291 West Broadway,,Forest Lake,MN,55025,United States,[651] 464.1930,,,,,,
Chanhassen MN Hotels - AmericInn Chanhassen Hotel,,570 Pond Promenade,,Chanhassen,MN,55317,United States,[952] 934.3888,,,,,,
Hawley MN Hotels - AmericInn Hawley Hotel & Suites,,1212 Jetvig Boulevard,,Hawley,MN,56549,United States,[218] 486.5140,,,,,,
Bloomington MN Hotels - AmericInn Bloomington Hotel & Suites,,4201 American Blvd West,,Bloomington,MN,55437,United States,[952] 835.6643,,,,,,
Blue Earth MN Hotels - AmericInn Blue Earth Hotel & Suites,,1495 Domes Drive,,Blue Earth,MN,56013,United States,[507] 526.4215,,,,,,
Blackduck MN Hotels - AmericInn Blackduck Hotel & Suites,,81 Brandl Drive NW,,Blackduck,MN,56630,United States,[218] 835.4500,,,,,,
Carlton MN Hotels - AmericInn Carlton Hotel & Suites,,1716 Highway 210,,Carlton,MN,55718,United States,[218] 384.3535,,,,,,
