store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Baymont Inn and Suites Pinedale,,1624 West Pine St,,Pinedale,WY,82941-0096,United States,307-367-8300,,,,,,
Baymont Inn and Suites Rock Hill,,1106 N Anderson Rd,,Rock Hill,SC,29730,United States,803-329-1330,,,,,,
Baymont Inn & Suites Mechanicsburg Harrisburg West,,350 Bentcreek Blvd,,Mechanicsburg,PA,17050,United States,717-790-1520,,,,,,
"Baymont Inn And Suites Tullahoma, TN",,2113 North Jackson Street,,Tullahoma,TN,37388,United States,931-455-7891,,,,,,
Baymont Inn Oklahoma City Quail Springs,,13500 Plaza Terrace,,Oklahoma City,OK,73120,United States,405-752-7070,,,,,,
Baymont Inn Suites Zanesville,,230 Scenic Crest Dr,,Zanesville,OH,43701,United States,740-454-9332,,,,,,
Baymont Inn And Suites Smithfield,,125 South Equity Road,,Smithfield,NC,27577,United States,919-989-5901,,,,,,
Baymont Inn And Suites Wahpeton,,1800 Two Ten Drive,,Wahpeton,ND,58075,United States,701-642-5000,,,,,,
Baymont Inn And Suites Sanford,,2614 South Horner Blvd,,Sanford,NC,27330,United States,919-708-7400,,,,,,
Baymont Inn Suites West Lebanon,,45 Airport Road,,West Lebanon,NH,3784,United States,603-298-8888,,,,,,
Baymont Inn and Suites Reno,,2050 B Market Street,,Reno,NV,89502,United States,775-786-2506,,,,,,
Baymont Inn & Suites Las Vegas South Strip,,55 E Robindale Road,,Las Vegas,NV,89123,United States,702-273-2500,,,,,,
Baymont Inn Santa Fe,,4150 Cerrillos Road,,Santa Fe,NM,87505,United States,505-474-4442,,,,,,
Baymont Inn & Suites Hobbs,,3510 North Central,,Hobbs,NM,88240,United States,575-964-8400,,,,,,
Baymont Inn & Suites Albuquerque Downtown,,411 McKnight Ave NW,,Albuquerque,NM,87102,United States,505-242-5228,,,,,,
Baymont Inn Roanoke Rapids,,101 Old Farm Road,,Roanoke Rapids,NC,27870,United States,252-533-0022,,,,,,
Baymont Inn,,3915 N Croatan Hwy,,Kitty Hawk,NC,27949,United States,252-261-4888,,,,,,
Baymont Inn and Suites,,323 South 27th Street,,Spearfish,SD,57783,United States,605-642-8105,,,,,,
Baymont Inn Suites Wichita Falls,,4510 Kell Blvd,,Wichita Falls,TX,76309,United States,940-691-7500,,,,,,
Baymont Inn and Suites Sioux Falls,,3200 Meadow Avenue,,Sioux Falls,SD,57106,United States,605-362-0835,,,,,,
Baymont Inn and Suites Wheeler,,1414 South Alan Bean Blvd,,Wheeler,TX,79096,United States,806-826-1012,,,,,,
Baymont Inn Suites Snyder,,1005 E US Highway 180,,Snyder,TX,79549,United States,325-573-3700,,,,,,
