store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Clarion Hotel and Conference Center,,233 Lowe Drive,,Shepherdstown,WV,25443,United States,304-876-7000,,,,,,
Clarion Hotel Portland International Airport,,11518 N E Glenn Widing Dr,,Portland,OR,97220,United States,503-252-2222,,,,,,
Clarion Inn,,1249 Tapadera Avenue,,Ontario,OR,97914,United States,541-889-8621,,,,,,
Clarion Inn,,101 Meadow Ridge,,Elk City,OK,73644,United States,580-225-6637,,,,,,
Clarion Inn Tulsa International Airport,,2201 North 77th East Avenue,,Tulsa,OK,74115,United States,918-835-9911,,,,,,
Clarion Hotel,,2600 N Aspen,,Broken Arrow,OK,74012,United States,918-258-7085,,,,,,
Clarion Suites Saint George,,1239 S. Main St,,Saint George,UT,84770,United States,435-673-7000,,,,,,
Clarion Inn Surfrider Resort,,3115 N.W. Highway 101,,Depoe Bay,OR,97341,United States,541-764-2311,,,,,,
Clarion Inn Historic Strasburg Inn,,1400 Historic Drive,,Strasburg,PA,17579,United States,717-687-7691,,,,,,
Clarion Inn,,6802 Tacoma Mall Blvd,,Tacoma,WA,98409,United States,253-475-5900,,,,,,
Clarion Inn and Suites,,3700 Plantation Grove Blvd,,Mission,TX,78572,United States,956-519-9696,,,,,,
Clarion Inn Channelview,,15157 IH 10 East,,San Angelo,TX,76903,United States,325-658-2828,,,,,,
Clarion Hotel,,1515 N. I-35 East,,Desoto,TX,75115,United States,972-224-9100,,,,,,
Clarion Inn and Conference Center,,240 East Hines Hill Road,,Hudson,OH,44236,United States,330-653-9191,,,,,,
Clarion Hotel and Suites Conference Center,,900 E Dublin Granville Rd,,Columbus,OH,43229,United States,614-888-7440,,,,,,
Clarion Hotel Airport,,415 Swing Road,,Greensboro,NC,27409,United States,336-299-7650,,,,,,
Clarion Suites Central,,2110 Rimrock Road,,Madison,WI,53713,United States,608-284-1234,,,,,,
Clarion Hotel Airport,,5311 S Howell Ave,,Milwaukee,WI,53207,United States,414-481-2400,,,,,,
Clarion Hotel Campus Area,,2703 Craig Road,,Eau Claire,WI,54701,United States,715-835-2211,,,,,,
Clarion Hotel and Convention Center,,626 W Pine Street,,Baraboo,WI,53913,United States,608-356-6422,,,,,,
Clarion Inn and Summit Center,,852 North Gloster Street,,Tupelo,MS,38804,United States,662-844-4343,,,,,,
Clarion Inn Gulfport,,9445 Highway 49,,Gulfport,MS,39503,United States,228-868-3300,,,,,,
Clarion Hotel at the Palace,,2820 W Highway 76,,Branson,MO,65616,United States,417-334-7666,,,,,,
Clarion Hotel & Conference Center,,815 Route 37 West,,Toms River,NJ,8755,United States,732-341-2400,,,,,,
Clarion Hotel Palmer Inn,,3499 Route 1 South,,Princeton,NJ,8540,United States,609-452-2500,,,,,,
Clarion Hotel,,60 Cottontail Ln,,Somerset,NJ,8873,United States,732-560-9880,,,,,,
Clarion Hotel Empire Meadowlands Hotel,,2 Harmon Plaza,,Secaucus,NJ,7094,United States,201-348-6900,,,,,,
Clarion Inn and Suites Atlantic City North,,342 East White Horse Pike,,Galloway,NJ,8205,United States,609-272-8700,,,,,,
Clarion Hotel Buffalo Airport,,6700 Transit Road,,Williamsville,NY,14221,United States,716-634-7500,,,,,,
Clarion Inn and Suites Fairgrounds,,100 Farrell Road,,Syracuse,NY,13209-1896,United States,315-457-8700,,,,,,
Clarion Hotel & Conference Center,,3845 Veterans Memorial Highway,,Ronkonkoma,NY,11779,United States,631-585-9500,,,,,,
Clarion Hotel,,55 Market Street,,Oneonta,NY,13820-2546,United States,607-432-7500,,,,,,
Clarion Inn and Suites,,1454 State Route 9,,Lake George,NY,12845,United States,518-793-3196,,,,,,
Clarion Hotel Park Avenue,,429 Park Avenue South,,New York,NY,10016,United States,212-532-4860,,,,,,
Clarion Hotel La Guardia Airport,,9400 Ditmars Blvd,,East Elmhurst,NY,11369,United States,718-335-1200,,,,,,
Clarion Hotel Marina and Conference Center,,30 Lake Shore Drive East,,Dunkirk,NY,14048,United States,716-366-8350,,,,,,
Clarion Hotel,,8250 Park Road,,Batavia,NY,14020,United States,585-344-2100,,,,,,
Clarion Inn Airport,,550 Airport Road,,Fletcher,NC,28732,United States,828-684-1213,,,,,,
Clarion Inn,,19608 Liverpool Parkway,,Cornelius,NC,28031,United States,704-896-0660,,,,,,
Clarion Hotel Airport & Conference Center,,"212 West Woodlawn Road, #B",,Charlotte,NC,28217,United States,980-335-1320,,,,,,
Clarion Inn,,234 Hendersonville Road,,Asheville,NC,28803,United States,828-274-0101,,,,,,
Clarion Hotel,,26300 Chagrin Blvd,,Beachwood,OH,44122,United States,216-831-5150,,,,,,
