store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Bahia Mar Fort Lauderdale Beach - a DoubleTree by Hilton Hotel,,801 Seabreeze Blvd.,,Fort Lauderdale,FL,33316,USA,+1-954-764-2233,26.11245,-80.10567,,,,
"Desmond Hotel Malvern, a DoubleTree by Hilton",,One Liberty Blvd,,Malvern,PA,19355,USA,+1-610-296-9800,40.05565,-75.52675,,,,
DoubleTree Beach Resort by Hilton Hotel Tampa Bay - North Redington Beach,,17120 Gulf Boulevard,,North Redington Beach,FL,33708-1443,USA,+1-727-391-4000,27.81963,-82.8256,,,,
DoubleTree Club by Hilton Hotel Boston Bayside,,240 Mt. Vernon Street,,Boston,MA,02125,USA,+1-617-822-3600,42.31881,-71.04555,,,,
DoubleTree Club by Hilton Hotel Buffalo Downtown,,125 High Street,,Buffalo,NY,14203,USA,+1-716-845-0112,42.9003,-78.86462,,,,
DoubleTree Club by Hilton Hotel Orange County Airport,,7 Hutton Centre Dr.,,Santa Ana,CA,92707-5753,USA,+1-714-751-2400,33.6971,-117.865,,,,
DoubleTree Club by Hilton Hotel Springdale,,4677 West Sunset Avenue,,Springdale,AR,72762,USA,+1-479-751-7200,36.17513,-94.18199,,,,
DoubleTree Resort & Spa by Hilton Hotel Ocean Point  - North Miami Beach,,17375 Collins Avenue,,North Miami Beach,FL,33160,USA,+1-786-528-2500,25.9362,-80.1211,,,,
DoubleTree Resort by Hilton Hollywood Beach,,4000 South Ocean Drive,,Hollywood,FL,33019,USA,+1-954-454-4334,25.98745,-80.1197,,,,
DoubleTree Resort by Hilton Hotel Grand Key - Key West,,3990 S. Roosevelt Blvd,,Key West,FL,33040,USA,+1-305-293-1818,24.5612,-81.7514,,,,
DoubleTree Resort by Hilton Hotel Lancaster,,2400 Willow Street Pike,,Lancaster,PA,17602,USA,+1-717-464-2711,39.9918,-76.2875,,,,
