store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Hilton Garden Inn Addison,,551 North Swift Road,,Addison,IL,60101,USA,+1-630-691-0500,41.9365,-88.0394,,,,
Hilton Garden Inn Akron,,1307 E. Market Street,,Akron,OH,44305,USA,+1-330-733-2900,41.06506,-81.48016,,,,
Hilton Garden Inn Akron-Canton Airport,,5251 Landmark Boulevard,,North Canton,OH,44720,USA,+1-330-966-4907,40.9142,-81.4293,,,,
Hilton Garden Inn Ames,,1325 Dickinson Ave,,Ames,IA,50014,USA,+1-515-233-8000,42.0135,-93.6813,,,,
Hilton Garden Inn Ann Arbor,,1401 Briarwood Circle,,Ann Arbor,MI,48108,USA,+1-734-327-6400,42.23871,-83.74974,,,,
Hilton Garden Inn Appleton/Kimberly,,720 Eisenhower Drive,,Kimberly,WI,54136,USA,+1-920-730-1900,44.2596,-88.3481,,,,
Hilton Garden Inn Benton Harbor / St. Joseph,,1300 Cinema Way,,Benton Harbor,MI,49022,USA,+1-269-9265000,42.07421,-86.42855,,,,
Hilton Garden Inn Bettendorf/Quad Cities,,959 Middle Road,,Bettendorf,IA,52722,USA,+1-563-2652121,41.53873,-90.51864,,,,
Hilton Garden Inn Bloomington,,245 North College Avenue,,Bloomington,IN,47403,USA,+1-812-331-1335,39.16803,-86.53492,,,,
Hilton Garden Inn Bolingbrook I-55,,135 Remington Blvd.,,Bolingbrook,IL,60440,USA,+1-630-771-1500,41.68652,-88.07007,,,,
Hilton Garden Inn Cedar Falls,,7213 Nordic Drive,,Cedar Falls,IA,50613,USA,+1-319-266-6611,42.4725,-92.4477,,,,
Hilton Garden Inn Champaign/ Urbana,,1501 S. Neil Street,,Champaign,IL,61820,USA,+1-217-352-9970,40.0992,-88.247,,,,
Hilton Garden Inn Chesterton,,501 Gateway Boulevard,,Chesterton,IN,46304,USA,+1-219-983-9500,41.5761,-87.0455,,,,
Hilton Garden Inn Chicago Downtown/Magnificent Mile,,10 E. Grand Avenue,,Chicago,IL,60611,USA,+1-312-595-0000,41.89202,-87.62751,,,,
Hilton Garden Inn Chicago North Shore/Evanston,,1818 Maple Avenue,,Evanston,IL,60201,USA,+1-847-475-6400,42.05051,-87.68481,,,,
Hilton Garden Inn Chicago OHare Airport,,2930 South River Road,,Des Plaines,IL,60018,USA,+1-847-296-8900,42.0013,-87.8641,,,,
Hilton Garden Inn Chicago/Midway Airport,,6530 S. Cicero Avenue,,Bedford Park,IL,60638,USA,+1-708-496-2700,41.7739,-87.7423,,,,
Hilton Garden Inn Chicago/North Loop,,66 East Wacker Place,,Chicago,IL,60601,USA,+1-312-920-6666,41.88683,-87.62569,,,,
Hilton Garden Inn Chicago/Oakbrook Terrace,,1000 Drury Lane,,Oakbrook Terrace,IL,60181,USA,+1-630-941-1177,41.85952,-87.95168,,,,
Hilton Garden Inn Chicago/Tinley Park,,18335 LaGrange Rd,,Tinley Park,IL,60487,USA,+1-708-429-2266,41.5589,-87.8521,,,,
Hilton Garden Inn Cincinnati Blue Ash,,5300 Cornell Road,,Blue Ash,OH,45242,USA,+1-513-469-6900,39.2695,-84.3701,,,,
Hilton Garden Inn Cincinnati Northeast,,6288 Tri Ridge Blvd,,Loveland,OH,45140,USA,+1-513-576-6999,39.2254,-84.2834,,,,
Hilton Garden Inn Cincinnati/Mason,,5200 Natorp Blvd,,Mason,OH,45040,USA,+1-513-204-6000,39.3007,-84.318,,,,
Hilton Garden Inn Cincinnati/Sharonville,,11149 Dowlin Drive,,Sharonville,OH,45241,USA,+1-513-772-2837,39.27309,-84.43897,,,,
Hilton Garden Inn Cincinnati/West Chester,,9306 Schulze Drive,,West Chester,OH,45069,USA,+1-513-860-3170,39.321,-84.42933,,,,
Hilton Garden Inn Cleveland Airport,,4900 Emerald Court S.W.,,Cleveland,OH,44135,USA,+1-216-898-1898,41.42667,-81.84522,,,,
Hilton Garden Inn Cleveland Downtown,,1100 Carnegie Avenue,,Cleveland,OH,44115,USA,+1-216-658-6400,41.4961,-81.6814,,,,
Hilton Garden Inn Cleveland East/Mayfield Village,,700 Beta Drive,,Cleveland,OH,44143,USA,+1-440-646-1777,41.5433,-81.4462,,,,
Hilton Garden Inn Cleveland/Twinsburg,,8971 Wilcox Dr.  (I-480 @SR82),,Twinsburg,OH,44087,USA,+1-330-405-4488,41.31237,-81.45419,,,,
Hilton Garden Inn Columbia,,3300 Vandiver Drive,,Columbia,MO,65202,USA,+1-573-814-5464,38.975,-92.29,,,,
Hilton Garden Inn Columbus Airport,,4265 Sawyer Road,,Columbus,OH,43219,USA,+1-614-231-2869,39.9997,-82.8929,,,,
Hilton Garden Inn Columbus-University Area,,3232 Olentangy River Road,,Columbus,OH,43202,USA,+1-614-263-7200,40.0255,-83.0259,,,,
Hilton Garden Inn Columbus/Dublin,,500 Metro Place North,,Dublin,OH,43017,USA,+1-614-766-9900,40.0967,-83.1295,,,,
Hilton Garden Inn Columbus/Edinburgh,,12210 N Executive Dr,,Edinburgh,IN,46124,USA,+1-812-526-8600,39.3112,-85.9595,,,,
Hilton Garden Inn Columbus/Grove City,,3928 Jackpot Rd.,,Grove City,OH,43123,USA,+1-614-539-8944,39.88224,-83.04252,,,,
Hilton Garden Inn Columbus/Polaris,,8535 Lyra Drive,,Columbus,OH,43240,USA,+1-614-846-8884,40.1402,-82.9759,,,,
Hilton Garden Inn Dayton Beavercreek,,3520 Pentagon Park Blvd,,Dayton,OH,45431,USA,+1-937-458-2650,39.7729,-84.0614,,,,
Hilton Garden Inn Dayton South-Austin Landing,,12000 Innovation Drive,,Miamisburg,OH,45342,USA,+1-937-247-5850,39.59822,-84.23091,,,,
Hilton Garden Inn  Asheville Downtown,,309 College Street,,Asheville,NC,28801,USA,+1-828-255-0001,35.59695,-82.54638,,,,
Hilton Garden Inn Abilene,,4449 Ridgemont Drive,,Abilene,TX,79606,USA,+1-325-690-6432,32.39616,-99.76438,,,,
Hilton Garden Inn Aiken,,350 Eastgate Drive,,Aiken,SC,29803,USA,+1-803-641-4220,33.5082,-81.7175,,,,
Hilton Garden Inn Albany,,101 S Front Street,,Albany,GA,31701,USA,+1-229-888-1590,31.57623,-84.14973,,,,
Hilton Garden Inn Alexandria Old Town King St. Metro,,1620 Prince Street,,Alexandria,VA,22314,USA,+1-703-302-8300,38.80515,-77.05824,,,,
Hilton Garden Inn Amarillo,,9000 Interstate 40 West,,Amarillo,TX,79124,USA,+1-806-355-4400,35.1876,-101.9418,,,,
Hilton Garden Inn Anderson,,115 Destination Boulevard,,Anderson,SC,29621,USA,+1-864-964-0100,34.57269,-82.70713,,,,
Hilton Garden Inn Ardmore,,710 Premier Pkwy,,Ardmore,OK,73401,USA,+1-580-226-2223,34.18659,-97.16304,,,,
Hilton Garden Inn Arlington Shirlington,,4271 Campbell Avenue,,Arlington,VA,22206,USA,+1-703-820-0440,38.8408,-77.0889,,,,
Hilton Garden Inn Arlington/Courthouse Plaza,,1333 North Courthouse Road,,Arlington,VA,22201,USA,+1-703-528-4444,38.88894,-77.08341,,,,
Hilton Garden Inn Des Moines/Urbandale,,8600 Northpark Drive,,Johnston,IA,50131,USA,+1-515-270-8890,41.65338,-93.73919,,,,
Hilton Garden Inn Detroit Downtown,,351 Gratiot Avenue,,Detroit,MI,48226,USA,+1-313-967-0900,42.33547,-83.04498,,,,
Hilton Garden Inn Detroit Metro Airport,,31800 Smith Road,,Romulus,MI,48174,USA,+1-734-727-6000,42.2453,-83.34828,,,,
Hilton Garden Inn Detroit Troy,,200 Wilshire Drive,,Troy,MI,48084,USA,+1-248-247-7280,42.56447,-83.16177,,,,
"Hilton Garden Inn Detroit-Southfield, MI.",,26000 American Drive,,Southfield,MI,48034,USA,+1-248-357-1100,42.49251,-83.29923,,,,
Hilton Garden Inn Detroit/Novi,,27355 Cabaret Drive,,Novi,MI,48377,USA,+1-248-348-3840,42.49148,-83.48763,,,,
Hilton Garden Inn Dubuque Downtown,,1801 Greyhound Park Drive,,Dubuque,IA,52001,USA,+1-563-585-5200,42.51658,-90.64555,,,,
Hilton Garden Inn Elkhart,,3401 Plaza Court,,Elkhart,IN,46514,USA,+1-574-970-4444,41.73706,-85.97645,,,,
Hilton Garden Inn Evansville,,220 Eagle Crest Drive,,Evansville,IN,47715,USA,+1-812-476-4000,37.97464,-87.45647,,,,
Hilton Garden Inn Fargo,,4351 17th Ave S.,,Fargo,ND,58103,USA,+1-701-499-6000,46.8552,-96.8551,,,,
Hilton Garden Inn Findlay,,1050 Interstate Drive West,,Findlay,OH,45840,USA,+1-567-250-2525,41.06417,-83.6699,,,,
Hilton Garden Inn Fort Wayne,,8615 US 24 West,,Fort Wayne,IN,46804,USA,+1-260-435-1777,41.0326,-85.2552,,,,
Hilton Garden Inn Grand Forks-UND,,4301 James Ray Drive,,Grand Forks,ND,58203,USA,+1-701-775-6000,47.91986,-97.0912,,,,
Hilton Garden Inn Grand Rapids East,,2321 East Beltline Ave SE,,Grand Rapids,MI,49546,USA,+1-616-608-8800,42.92185,-85.58484,,,,
