store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Rodeway Inn Golden Prairie,,700 Colorado Avenue,,Stratton,CO,80836-1343,United States,719-348-5311,,,,,,
Rodeway Inn,,SR 10 amp US 119,,Chapmanville,WV,25508,United States,304-855-7182,,,,,,
Rodeway Inn,,718 Taughenbaugh Boulevard,,Rifle,CO,81650,United States,970-625-3050,,,,,,
Rodeway Inn Sundance Mountain Inn,,26 Hwy 585,,Sundance,WY,82729,United States,307-283-3737,,,,,,
Rodeway Inn and Suites,,1704 North Main Street,,Sheridan,WY,82801,United States,307-672-2439,,,,,,
Rodeway Inn and Suites,,611 West Main Street,,Riverton,WY,82501,United States,307-856-2900,,,,,,
Rodeway Inn and Suites,,2401 W 65th Street,,Little Rock,AR,72209,United States,501-801-0188,,,,,,
Rodeway Inn,,1045 East Grand Ave,,Hot Springs,AR,71901,United States,501-624-4681,,,,,,
Rodeway Inn,,4300 Skyland Blvd E,,Tuscaloosa,AL,35405-4712,United States,205-556-5696,,,,,,
Rodeway Inn,,1916 W 3rd St,,Winslow,AZ,86047-2112,United States,928-289-4606,,,,,,
Rodeway Inn and Suites,,1738 Comfort Drive,,Tomahawk,WI,54487,United States,715-453-8900,,,,,,
Rodeway Inn,,115 Woodstock Ave,,Rutland,VT,5701,United States,802-773-9176,,,,,,
Rodeway Inn,,138 North Main Street,,Rutland,VT,5701,United States,802-775-2575,,,,,,
Rodeway Inn,,731 S Main Street,,Sweetwater,TN,37874,United States,423-337-6646,,,,,,
Rodeway Inn and Suites,,1300 Plaza Drive,,Smyrna,TN,37167,United States,615-355-6161,,,,,,
Rodeway Inn at Six Flags,,19793 I 10 W,,San Antonio,TX,78257,United States,210-698-3991,,,,,,
Rodeway Inn,,1725 Highway 17 North,,Surfside Beach,SC,29575,United States,843-839-2987,,,,,,
Rodeway Inn and Suites,,2275 E Colorado Blvd,,Spearfish,SD,57783,United States,605-642-2350,,,,,,
Rodeway Inn,,915 Highway 248 PO Box 37,,Kadoka,SD,57543,United States,605-837-2287,,,,,,
Rodeway Inn Expo Center,,2070 New Cut Road,,Spartanburg,SC,29303,United States,864-541-7750,,,,,,
Rodeway Inn,,9117 Old Number 6 Hwy,,Santee,SC,29142,United States,803-854-3003,,,,,,
Rodeway Inn and Suites,,1401 South Ocean Blvd,,Myrtle Beach,SC,29577,United States,843-444-0346,,,,,,
Rodeway Inn,,102 Bolt Dr,,Laurens,SC,29360,United States,864-681-1153,,,,,,
Rodeway Inn and Suites Fort Jackson,,494 Beltline Blvd,,Columbia,SC,29205,United States,803-738-1642,,,,,,
Rodeway Inn,,2311 Ashley Phosphate Road,,Charleston,SC,29406,United States,843-572-2228,,,,,,
Rodeway Inn,,3912 Jack Kultgen Frwy,,Waco,TX,76706,United States,254-662-3320,,,,,,
Rodeway Inn,,1401 Harborth Ave,,Three Rivers,TX,78071,United States,361-786-3563,,,,,,
Rodeway Inn,,5105 North Stateline Ave,,Texarkana,TX,75503,United States,903-792-6688,,,,,,
Rodeway Inn,,1635 Aquarena Springs Dr,,San Marcos,TX,78666,United States,512-353-8011,,,,,,
Rodeway Inn near Ft Sam Houston,,1129 Austin Highway,,San Antonio,TX,78209,United States,210-824-7400,,,,,,
Rodeway Inn Downtown,,900 N Main Ave,,San Antonio,TX,78212,United States,210-223-2951,,,,,,
Rodeway Inn At Lackland AFB,,6500 W Old Highway 90,,San Antonio,TX,78227,United States,210-674-1511,,,,,,
Rodeway Inn and Suites Fiesta Park,,10950 Laureate Dr,,San Antonio,TX,78249,United States,210-249-4800,,,,,,
Rodeway Inn,,2502 Loop 306,,San Angelo,TX,76904,United States,325-944-2578,,,,,,
Rodeway Inn,,211 NWW White Rd,,San Antonio,TX,78219,United States,210-359-7268,,,,,,
Rodeway Inn,,910 Ave Q,,Lubbock,TX,79401,United States,806-765-6307,,,,,,
Rodeway Inn,,1209 I 35 N Hwy 46,,New Braunfels,TX,78130,United States,830-629-6991,,,,,,
Rodeway Inn,,3430 South US Highway 77,,Kingsville,TX,78363,United States,361-595-5753,,,,,,
Rodeway Inn,,517 W Veterans Memorial Blvd,,Killeen,TX,76541,United States,254-634-1001,,,,,,
Rodeway Inn,,2343 North Main Street,,Junction,TX,76849,United States,325-446-4588,,,,,,
Rodeway Inn and Suites Medical Center,,6712 Morningside Drive,,Houston,TX,77030,United States,713-663-6200,,,,,,
Rodeway Inn and Suites,,9717 West FM 1960 Bus Road,,Humble,TX,77338,United States,281-446-5001,,,,,,
Rodeway Inn,,6107 Broadway I 45,,Galveston,TX,77551,United States,409-740-2491,,,,,,
Rodeway Inn and Suites Hwy 290 NW,,4760 Sherwood Ln,,Houston,TX,77092,United States,713-686-5525,,,,,,
Rodeway Inn,,1110 Liberal Street,,Dalhart,TX,79022,United States,806-249-8585,,,,,,
Rodeway Inn and Suites,,2531 FM 1960 Road East,,Houston,TX,77073,United States,281-821-9900,,,,,,
Rodeway Inn,,2103 North Interstate 35,,Gainesville,TX,76240,United States,940-665-7737,,,,,,
Rodeway Inn,,5224 IH 37 North Navigation Blvd,,Corpus Christi,TX,78407,United States,361-883-6161,,,,,,
