store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,561 U.S. 1 ,,Edison ,Jersey,08817,United States,(732) 819-8889,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,3430 Highway 6 S. ,,Sugar Land ,Texas,77478,United States,(281) 980-6699,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,6450 Sepulveda Blvd. ,,Van Nuys ,California,91411,United States,(818) 988-7899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,420 Grand Street ,,Jersey City ,Jersey,07302,United States,(201) 536-8899,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,1300 S. Golden West Ave. ,,Arcadia ,California,91007,United States,(626) 445-7899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,1005 Blalock Rd. ,,Houston ,Texas,77055,United States,(713) 932-8899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,569 S. Mason Rd ,,Katy ,Texas,77450,United States,(832) 321-9899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,140 W. Valley Blvd. ,,San Gabriel ,California,91776,United States,(626) 307-8899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,771 W.Garvey Ave. ,,Monterey Park ,California,91754,United States,(626) 458-3399,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,345 E Main Street ,,Alhambra ,California,91801,United States,(626) 943-8899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,9775 Baseline Rd. ,,Rancho Cucamonga ,California,91730,United States,(909) 942-9999,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,1340 W. Artesia Blvd. ,,Gardena ,California,90248,United States,(310) 323-3399,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,1625 Azusa Ave. ,,Hacienda Heights ,California,91745,United States,(626) 839-2899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,131 Spring Creek Parkway. ,,Plano ,Texas,75023,United States,(972) 943-8999,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,2532 Old Denton Road ,,Carrollton ,Texas,75006,United States,(972) 242-9899,,,8:00 AM - 10:00 PM (7 Days a Week),,,
,,25000 Blue Ravine Rd ,,Folsom ,California,95630,United States,(916) 984-6899,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,4220 Florin Rd. ,,Sacramento ,California,95823,United States,(916) 429-8899,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,3288 Pierce Street. ,,Richmond ,California,94804,United States,(510) 769-8899,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,18230 E. Valley Highway. ,,Kent ,Washington,98032,United States,(425) 251-9099,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
,,1070 Foster City Blvd. ,,Foster City ,California,94404,United States,(650) 358-8999,,,9:00 AM - 9:00 PM (7 Days a Week) Holiday Hours,,,
