store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Alamo Heights Branch,,5408 Broadway ,,San Antonio ,TX,78209,United States,(210) 343-4573,29.4774305,-98.4623527,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 05:00 PM, Sat: Closed, Sun: Closed",,,
Needville Branch,,3328 School Street ,,Needville ,TX,77461,United States,(281) 238-7027,29.398035,-95.83972,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Missouri City Branch,,5820 Highway 6 ,,Missouri City ,TX,77459,United States,(713) 232-5395,29.5684029,-95.5678244,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Dickinson Fm 517 West,,215 Fm 517 West ,,Dickinson ,TX,77539,United States,(281) 337-9390,29.4470654,-95.0815368,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Sugar Land Town Square Branch,,2277 Plaza Drive Suite 100 ,,Sugar Land ,TX,77479,United States,(713) 232-3337,29.5959605,-95.6213924,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 05:00 PM, Sat: Closed, Sun: Closed",,,
South Shore Branch,,2460 Marina Bay Drive ,,League City ,TX,77573,United States,(281) 337-8421,29.5302505,-95.0725759,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Bacliff Branch,,4021 Highway 146 ,,Bacliff ,TX,77518,United States,(281) 337-8489,29.505012,-94.9980269,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Dickinson Termini,,2401 Termini Street ,,Dickinson ,TX,77539,United States,(281) 337-9339,29.461506,-95.0548977,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Rosenberg Branch,,3400 Ave H ,,Rosenberg ,TX,77471,United States,(281) 238-7002,29.5582569,-95.7919795,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
Sugar Land Branch,,14965 Southwest Freeway ,,Sugar Land ,TX,77478,United States,(713) 232-2949,29.6089583,-95.6102454,"Mon: 09:00 AM - 05:00 PM, Tue: 09:00 AM - 05:00 PM, Wed: 09:00 AM - 05:00 PM, Thu: 09:00 AM - 05:00 PM, Fri: 09:00 AM - 06:00 PM, Sat: 09:00 AM - 01:00 PM, Sun: Closed",,,
