store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Great Western Bank, 714 S. Burr Street. Mitchell, SD",,"714 S. Burr Street, Suite 101",,Mitchell,SD,57301,United States,605-996-8100,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 302 S Main St. Milbank, SD",,302 S Main St,,Milbank,SD,57252,United States,605-432-1500,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 301 N Egan Ave. Madison, SD",,301 N Egan Ave,,Madison,SD,57042,United States,605-256-6532,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 209 S. Main. Lennox, SD",,209 S. Main P.O. Box 385,,Lennox,SD,57039,United States,605-647-2818,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 111 N East St. Gettysburg, SD",,111 N East St,,Gettysburg,SD,57442,United States,605-765-2491,,,"Monday 8:30 AM - 4:00 PM, Tuesday 8:30 AM - 4:00 PM, Wednesday 8:30 AM - 4:00 PM, Thursday 8:30 AM - 4:00 PM, Friday 8:30 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 217 Main St. McIntosh, SD",,217 Main St,,Mc Intosh,SD,57641,United States,605-273-4501,,,"Monday 9:00 AM - 3:30 PM, Tuesday 9:00 AM - 3:30 PM, Wednesday 9:00 AM - 3:30 PM, Thursday 9:00 AM - 3:30 PM, Friday 9:00 AM - 3:30 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 4th & Poplar. Freeman, SD",,117 E 4th Street Freeman,,Freeman,SD,57029,United States,605-925-4239,,,"Monday 9:00 AM - 4:30 PM, Tuesday 9:00 AM - 4:30 PM, Wednesday 9:00 AM - 4:30 PM, Thursday 9:00 AM - 4:30 PM, Friday 9:00 AM - 4:30 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 3002 N. Campbell Ave. Tucson, AZ",,3002 N. Campbell Ave.,,Tucson,AZ,85719,United States,520-325-1135,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 4141 N Scottsdale Rd. Scottsdale, AZ",,4141 N Scottsdale Rd #101,,Scottsdale,AZ,85251,United States,480-865-2180,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 3601 Minnesota Drive. Bloomington, MN",,3601 Minnesota Drive,,Bloomington,MN,55435,United States,952-562-5990,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 3800 E 15th St. Loveland, CO",,3800 E 15th St,,Loveland,CO,80538,United States,970.624.0550,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 2100 Main St. Longmont, CO",,2100 Main St,,Longmont,CO,80501,United States,303.772.0777,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 200 W Littleton Blvd. Littleton, CO",,200 W Littleton Blvd,,Littleton,CO,80120,United States,303.794.4221,,,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 215 Union Blvd. Lakewood, CO",,215 Union Blvd,,Lakewood,CO,80228,United States,303.988.2300,,,"Monday 8:30 AM - 5:00 PM, Tuesday 8:30 AM - 5:00 PM, Wednesday 8:30 AM - 5:00 PM, Thursday 8:30 AM - 5:00 PM, Friday 8:30 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 120 S 68th St. West Des Moines, IA",,120 S 68th St,,West Des Moines,IA,50266,United States,515-226-0800,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 5675 26th Avenue S. Fargo, ND",,5675 26th Avenue South,,Fargo,ND,58104,United States,701-639-0615,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 202 SD-38. Hartford, SD",,202 SD-38,,Hartford,SD,57033,United States,605-528-7428,,,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 610 4th St. Sully, IA",,610 4th St,,Sully,IA,50251,United States,641-594-4400,,,"Monday 9:00 AM - 4:00 PM, Tuesday 9:00 AM - 4:00 PM, Wednesday 9:00 AM - 4:00 PM, Thursday 9:00 AM - 4:00 PM, Friday 9:00 AM - 4:00 PM, Saturday Closed, Sunday Closed",,,
"Great Western Bank, 522 Broad St. Story City, IA",,522 Broad St,,Story City,IA,50248,United States,515-733-4322,,,"Monday 8:30 AM - 4:30 PM, Tuesday 8:30 AM - 4:30 PM, Wednesday 8:30 AM - 4:30 PM, Thursday 8:30 AM - 4:30 PM, Friday 8:30 AM - 5:00 PM, Saturday 8:30 AM - 11:00 AM, Sunday Closed",,,
