store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
SAM'S CLUB,08055768,WESTERN PLZA CARR. 2 KM,,MAYAGUEZ,PR,00680,United States,(809) 000-0000,18.20984,-67.10124,,,,
AMIGO,08062959,170 CARR 2,,HATILLO,PR,00659,United States,(999) 999-9999,18.41046,-66.79641,,,,
SAM'S CLUB,08055826,CARR #2 KM 84.2,,HATILLO,PR,00659,United States,(809) 000-0000,18.4105,-66.79641,,,,
WALMART SUPERCENTER,08062926,PLZ DEL NORTE CARR #2 KM 819,,HATILLO,PR,00659,United States,(787) 880-0550,18.4105,-66.79641,,,,
SAM'S CLUB,08067235,4862 TBA,,BARCELONETA,PR,00617,United States,(787) 970-8150,18.43436,-66.56007,,,,
WALMART SUPERCENTER,08062917,CARR #2 KM 56.6,,BARCELONETA,PR,00617,United States,(999) 999-9999,18.43436,-66.56007,,,,
WALMART SUPERCENTER,08062922,PLAZA MONTE REAL,,MANATI,PR,00674,United States,(999) 999-9999,18.4204,-66.49035,,,,
WALMART SUPERCENTER,08062916,INTERSECTION PR-2 AND PR-52,,PONCE,PR,00728,United States,(999) 999-9999,18.00845,-66.66439,,,,
SAM'S CLUB,08055935,CARR ESTATAL 3,,PONCE,PR,00732,United States,(787) 848-9090,18.02351,-66.62038,,,,
WALMART SUPERCENTER,08062923,333 CARR #14,,PONCE,PR,00780,United States,(999) 999-9999,18.06954,-66.5645,,,,
AMIGO,08062954,CARR 891 KM 0.1,,COROZAL,PR,00783,United States,(999) 999-9999,18.30439,-66.32792,,,,
AMIGO,08062956,CENTRO COM PASEO DEL PLATA,,DORADO,PR,00646,United States,(999) 999-9999,18.43642,-66.27857,,,,
AMIGO,08062962,LOS DOMINICOS ESQ SABANA SEC,,LEVITTOWN,PR,00949,United States,(999) 999-9999,18.43257,-66.21637,,,,
WALMART SUPERCENTER,08074475,PR2 INT 165 MEDIA LUNA WARD,,TOA BAJA,PR,00949,United States,(414) 529-0455,18.43122,-66.2161,,,,
WALMART SUPERCENTER,08062921,CARR ESTATAL #153 KM 7.2,,SANTA ISABEL,PR,00757,United States,(999) 999-9999,17.9951,-66.38938,,,,
SAM'S CLUB,08055788,CARR 830 KM 0.1,,BAYAMON,PR,00957,United States,(787) 730-9515,18.36883,-66.1874,,,,
AMIGO,08062970,3009 CARR 167,,BAYAMON,PR,00956,United States,(999) 999-9999,18.321,-66.17046,,,,
SAM'S CLUB,00650388,PLAZA DEL PARQUE 1500,,BAYAMON,PR,00961,United States,(787) 787-1001,18.4111,-66.1592,,,,
SAM'S CLUB,08066758,PR2 KM 22 KENNEDY AVE,,SAN JUAN,PR,00936,United States,(787) 523-3323,18.41751,-66.0761,,,,
WALMART SUPERCENTER,08077254,RH TODD AVE AND CORCHADO ST,,SAN JUAN,PR,00936,United States,(999) 999-9999,18.41751,-66.0761,,,,
AMIGO,08063031,PLAZA GUAYNABO SHOPPING CTR,,GUAYNABO,PR,00971,United States,(999) 999-9999,18.35474,-66.10571,,,,
AMIGO,08062958,LA FUENTE SHOPPING CENTER,,GUAYAMA,PR,00784,United States,(999) 999-9999,18.00805,-66.13328,,,,
WALMART SUPERCENTER,08062920,PLZ CALLE CENTL STATE 1 735,,CAYEY,PR,00736,United States,(999) 999-9999,18.10294,-66.14943,,,,
AMIGO,08062973,CARR ESTATAL 183,,SAN LORENZO,PR,00754,United States,(999) 999-9999,18.14795,-65.97643,,,,
AMIGO,08062961,CARR PR 52 & PR 156,,CAGUAS,PR,00725,United States,(999) 999-9999,18.20824,-66.04814,,,,
AMIGO,08062969,CENTRO COMERCIAL PLAZA,,CAGUAS,PR,00725,United States,(999) 999-9999,18.20824,-66.04814,,,,
SAM'S CLUB,00648793,PLZ CENTRO DOS RD 30 KM31,,CAGUAS,PR,00725,United States,(787) 746-1001,18.21137,-66.04792,,,,
WALMART SUPERCENTER,08062919,RAFAEL CORDERO AVE #301,,CAGUAS,PR,00725,United States,(999) 999-9999,18.21137,-66.04792,,,,
SAM'S CLUB,08055920,CARR #3 KM 82.0,,HUMACAO,PR,00791,United States,(787) 285-0001,18.14318,-65.81496,,,,
WALMART SUPERCENTER,08062930,PLZ PAIMA REAL PR 3 KM 77 6,,HUMACAO,PR,00791,United States,(787) 852-9600,18.14318,-65.81496,,,,
AMIGO,08062960,CARR PR 31 KM 24,,JUNCOS,PR,00777,United States,(999) 999-9999,18.22348,-65.90891,,,,
AMIGO,08062955,INT CARR 849 Y CARR 176 CUPE,,RIO PIEDRAS,PR,00926,United States,(999) 999-9999,18.34751,-66.05944,,,,
AMIGO,08062964,LAS CUMBRES ESQ GRAN BULEVAR,,RIO PIEDRAS,PR,00926,United States,(999) 999-9999,18.34751,-66.05944,,,,
AMIGO,08062965,CALLE 2 URB. BRISAS DEL MAR,,LUQUILLO,PR,00773,United States,(999) 999-9999,18.34227,-65.72506,,,,
AMIGO,08062967,CARRETERA ESTATAL #3 KM 49.7,,CEIBA,PR,00738,United States,(999) 999-9999,18.31735,-65.66938,,,,
WALMART SUPERCENTER,08062924,WM SC PLAZA CANOVANAS 5802,,CANOVANAS,PR,00729,United States,(999) 999-9999,18.32873,-65.88777,,,,
SAM'S CLUB,08055837,CARR 3 KM 15.2,,CAROLINA,PR,00987,United States,(809) 000-0000,18.33766,-65.94154,,,,
SAM'S CLUB,08055921,PLAZA ESCORIAL,,CAROLINA,PR,00987,United States,(787) 257-1500,18.33766,-65.94154,,,,
WALMART SUPERCENTER,08062918,PARQUE ESCORIAL,,CAROLINA,PR,00983,United States,(787) 257-0082,18.41724,-65.97599,,,,
AMIGO,08062951,AVENIDA FD ROOSEVELT,,CAPARRA,PR,00965,United States,(999) 999-9999,18.42151,-66.05006,,,,
