store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Nice N Easy Grocery Shoppe,,1411 State Route 49,,Constantia,NY,13044,United States,(315) 623-9144,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #44,,4835 State Route 365,,Oneida,NY,13421,United States,(315) 361-5692,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #43,,8220 Manlius-Cazenovia Road,,Manlius,NY,13104,United States,(315) 682-3279,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #46,,6392 East Taft Road,,East Syracuse,NY,13057,United States,(315) 458-5730,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #41,,41 Clark Street  Road,,Montezuma,NY,13117,United States,(315) 252-2417,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #49,,3033 State Route 26,,Constableville,NY,13325,United States,(315) 397-2807,,,Sunday to Thursday 5:00 AM to 11:00 PM Friday to Saturday 5:00 AM to Midnight,,,
Nice N Easy Grocery Shoppe #36,,23179 NYS Route 342,,Watertown,NY,13601,United States,(315) 788-5773,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #48,,6406 State Route 31,,Cicero,NY,13039,United States,(315) 698-1202,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #50,,8578 Henry Clay Blvd.,,Clay,NY,13041,United States,(315) 622-9971,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #33,,4228 NYS Route 3,,Star Lake,NY,13690,United States,(315) 848-2079,,,Monday to Sunday 5:00 AM to Midnight,,,
Nice N Easy Grocery Shoppe #45,,90 Bridge Street,,Carthage,NY,13619,United States,(315) 493-6075,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #40,,1053 State Route 12,,Sangerfield,NY,13455,United States,(315) 841-3422,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #26,,8709 NYS Route 26 Turin Road,,Rome,NY,13440,United States,(315) 337-2401,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #47,,535 East Genesee Street,,Fayetteville,NY,13066,United States,(315) 637-0799,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #25,,5565 Bartell Road,,Brewerton,NY,13029,United States,(315) 676-2116,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #53,,1508 Main Street,,Sylvan Beach,NY,13157,United States,(315) 762-5639,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #38,,461 State Route 13,,Williamstown,NY,13493,United States,(315) 964-2226,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #24,,3821 State Route 13,,Pulaski,NY,13142,United States,(315) 298-6474,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #23,,6673 Kirkville Road,,East Syracuse,NY,13057,United States,(315) 433-1241,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #35,,601 Main Street,,Boonville,NY,13309,United States,(315) 942-2384,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #21,,1347 Routes 414,,Seneca Falls,NY,13148,United States,(315) 539-8876,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #12,,5755 Route 80,,Tully,NY,13159,United States,(315) 696-6477,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #16,,279 W. Main Street,,Little Falls,NY,13365,United States,(315) 823-1496,,,Monday to Sunday 5:00 AM to Midnight,,,
Nice N Easy Grocery Shoppe #7,,2526 Route 11,,LaFayette,NY,13084-0147,United States,315-677-3073,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #37,,282 Main Street,,Richland,NY,13144,United States,(315) 298-3230,,,Monday to Thursday 5:00 AM to 11:00 PM Friday 5:00 AM to Midnight Saturday 6:00 AM to Midnight Sunday 6:00 AM to 11:00 PM,,,
Nice N Easy Grocery Shoppe #5,,7296 West Main Street,,Westmoreland,NY,13490,United States,(315) 853-3148,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #52,,3787 West Seneca Turnpike,,Syracuse,NY,13215,United States,(315) 706-1762,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #2501,,12200 State Routes 8 & 28,,Poland,NY,13431,United States,(315) 826-7222,,,Monday to Saturday 6:00 AM to 10:00 PM Sunday 7:00 AM to 10:00 PM,,,
Nice N Easy Grocery Shoppe #32,,205 Fall St.,,Seneca Falls,NY,13148,United States,(315) 568-0973,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #51,,193 Fall Street,,Seneca Falls,NY,13148,United States,315-568-4168,,,Sunday to Thursday 5:00 AM to 11:00 PM Friday to Saturday 5:00 AM to Midnight,,,
Nice N Easy Grocery Shoppe #2502,,8035 State Route 12,,Barneveld,NY,13304,United States,(315) 896-2139,,,Monday to Friday 4:30 AM to 11:00 PM Saturday to Sunday 5:00 AM to 11:00 PM,,,
Nice N Easy Grocery Shoppe #15,,5254 W. Seneca St.,,Vernon,NY,13476,United States,(315) 829-4581,,,Open 24/7,,,
Nice N Easy Grocery Shoppe #34,,485 Main Street,,Phoenix,NY,13135,United States,(315) 695-7005,,,Open 24/7,,,
