store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Aliso Viejo,,"26661 Aliso Creek Road, Suite B",,Aliso Viejo,CA,92656,United States,949-424-6160,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Brea,,3413 E. Imperial Highway,,Brea,CA,92823,United States,714-462-9885,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Carlsbad,,1923 Calle Barcelona,,Carlsbad,CA,92009,United States,760-652-5678,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Del Mar,,12857 El Camino Real,,San Diego,CA,92130,United States,858-509-1800,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Dublin,,5111 Martinelli Way,,Dublin,CA,94568,United States,925-750-8011,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Irvine,,3972 Barranca Pkwy,,Irvine,CA,92606,United States,949-387-2600,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
La Jolla,,8707 Villa La Jolla Drive,,La Jolla,CA,92037,United States,858-263-0818,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Pasadena,,269 S. Lake Ave.,,Pasadena,CA,91101,United States,626-800-4448,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Playa Vista,,12746-3 W. JEFFERSON BLVD. #3140,,PLAYA VISTA,CA,90094,United States,424-256-7274,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Pleasant Hill,,"60 Crescent Drive, Suite B",,Pleasant Hill,CA,94523,United States,925-378-5919,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Thousand Oaks,,"162 W. Hillcrest Drive, Suite 100",,Thousand Oaks,CA,91360,United States,805-946-1920,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
Tustin Market Place,,13380 Jamboree Rd.,,Irvine,CA,92602,United States,714-332-6272,,,"Sunday - Thursday : 11am - 9:30pm, Friday - Saturday : 11am - 10pm",,,
