phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(214) 219-0000,Dallas,,,,United States,,-96.786519,"Sun - Thu : 11:00AM to 09:30PM, Fri - Sat : 11:00AM to 10:00PM",Knox Park Village,TX,,3001 Knox St. Suite 100,32.8222499,75205
(480) 365-6000,Scottsdale,,,,United States,,-111.92446,"Sun - Thu : 10:45AM to 09:00PM, Fri - Sat : 10:45AM to 09:30PM",Gainey Ranch,AZ,,8787 N Scottsdale Rd. 214/216,33.5653799,85253
(602) 956-2300,Phoenix,,,,United States,,-111.98777,"Sun - Thu : 10:45AM to 09:30PM, Fri - Sat : 10:45AM to 10:00PM",Arcadia,AZ,,4340 E Indian School Rd. Bldg. A Suite 23,33.4947299,85018
(480) 539-4454,Mesa,,,,United States,,-111.75761,"Sun - Thu : 11:00AM to 09:30PM, Fri - Sat : 11:00AM to 10:00PM",Baseline & Val Vista,AZ,,3426 E Baseline Rd. Suite 121,33.37926,85204
(760) 635-2888,Encinitas,,,,United States,,-117.26329,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",Plaza @ Encinitas Ranch,CA,,1560-A Leucadia Blvd.,33.06765,92024
(480) 812-2230,Chandler,,,,United States,,-111.86004,"Sun - Thu : 11:00AM to 09:30PM, Fri - Sat : 11:00AM to 09:30PM",Falls at Ocotillo,AZ,,1085 W Queen Creek Rd Suite 1,33.2618,85248
(480) 365-6002,Scottsdale,,,,United States,,-111.92429,"Sun - Thu : 10:45AM to 09:00PM, Fri - Sat : 10:45AM to 09:30PM",Grayhawk,AZ,,20851 N Scottsdale Rd. Suite 105,33.67571,85255
(480) 926-9749,Gilbert,,,,United States,,-111.78979,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 10:30AM to 09:30PM",Gilbert & Warner,AZ,,1084 S Gilbert Suite 601,33.32865,85296
(480) 940-3800,Chandler,,,,United States,,-111.96596,"Sun - Thu : 10:30AM to 09:30PM, Fri - Sat : 10:30AM to 10:00PM",Casa Paloma,AZ,,7131 W Ray Rd. Bldg. 1 Suite 3,33.31983,85226
(623) 825-9949,Glendale,,,,United States,,-112.20309,"Sun - Thu : 10:45AM to 09:30PM, Fri - Sat : 10:45AM to 10:00PM",67th & Beardsley,AZ,,20022 N 67th Ave. Suite 100,33.66583,85308
(480) 488-8630,Scottsdale,,,,United States,,-111.92547,"Sun - Thu : 10:45AM to 09:00PM, Fri - Sat : 10:45AM to 09:00PM",Summit,AZ,,32607 N Scottsdale Rd. Suite 107,33.7809299,85266
(281) 571-4990,Houston,,,,United States,,-95.603859,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",Windermere Village,TX,,12020 FM 1960 W,29.92396,77065
(281) 554-9876,Webster,,,,United States,,-95.14091,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",Baybrook Passage,TX,,19411-A Gulf Freeway,29.54233,77598
(281) 392-1410,Katy,,,,United States,,-95.751639,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 11:00AM to 10:00PM",Highland Town Center,TX,,1590 S Mason Rd. Suite A,29.7588599,77450
