phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(214) 765-9911,Dallas,,,,United States,,-96.806569,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 09:00PM to 09:00PM",Preston Center Pavilion,TX,,8305 Westchester Dr.,32.86366,75225
(661) 600-0132,Santa Clarita,,,,United States,,-118.55855,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Valencia Crossroads,CA,,24250 Valencia Blvd.,34.4131,91355
(702) 898-6730,Henderson,,,,United States,,-115.04111,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Sunset & Stephanie,NV,,1311 W Sunset Rd Suite 120,36.06369,89014
(303) 215-1933,Lakewood,,,,United States,,-105.15657,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 09:00PM to 09:00PM",,CO,,14255 Colfax Dr.,39.73678,80401
(936) 271-9217,Shenandoah,,,,United States,,-95.45022,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",,TX,,19075 IH 45 S Suite 480,30.17911,77385
(281) 885-5430,Houston,,,,United States,,-95.508679,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Champions Village,TX,,5203 FM 1960 W Suite E,29.98224,77069
(469) 948-9000,Lewisville,,,,United States,,-96.970219,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",LakePoint,TX,,713 Hebron Pkwy. Suite 200,33.00911,75057
(720) 532-5999,Denver,,,,United States,,-104.90356,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 09:00PM to 09:00PM",Lowry Town Center,CO,,"200 Quebec St. Bldg. 100, Suite 115",39.71996,80230
(520) 514-7004,Tucson,,,,United States,,-110.87973,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 09:30PM to 09:30PM",Williams Center,AZ,,5285 E Broadway Blvd. Suite 151,32.2217399,85711
(817) 722-0070,Southlake,,,,United States,,-97.12764,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Southlake Town Square,TX,,1582 E Southlake Blvd.,32.9409399,76092
(281) 240-1931,Sugar Land,,,,United States,,-95.625489,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Town Center Lakeside,TX,,16101 Kensington Dr.,29.59861,77479
(303) 346-4329,Highlands Ranch,,,,United States,,-104.9432,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 09:00PM to 09:00PM",Highlands Ranch,CO,,9352 S Colorado Blvd. Suite G-1,39.54608,80126
(713) 661-0900,Houston,,,,United States,,-95.427989,"Sun - Thu : 10:30AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Plaza in the Park,TX,,5110 Buffalo Speedway Suite 100,29.7279599,77005
(817) 466-4545,Arlington,,,,United States,,-97.13504,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Village by the Parks,TX,,4133 S Cooper St. Suite 307,32.67848,76015
(972) 373-8000,Irving,,,,United States,,-96.958669,"Sun - Thu : 10:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",MacArthur Crossing,TX,,7600 N MacArthur Blvd. Suite 102,32.90977,75063
(949) 629-1000,Newport Beach,,,,United States,,-117.86268,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",The Bluffs,CA,,1302 Bison Ave.,33.6374199,92660
(609) 734-4790,Princeton,,,,United States,,-74.661611,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",West Windsor Plaza,NJ,,"3522 U.S. Highway, Route 1, Suite 1",40.310834,08540
(310) 397-1761,Culver City,,,,United States,,-118.41293,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Culver Crossroads,CA,,"4114 S. Sepulveda Blvd., Suite E",34.00725,90230
(602) 707-0049,Phoenix,,,,United States,,-112.06408,"Sun - Thu : 10:45AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Madison Village Marketplace,AZ,,742 E Glendale Suite 110,33.53819,85020
(405) 751-6539,Oklahoma City,,,,United States,,-97.602035,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",,OK,,4401 W Memorial Road Suite 104,35.611675,73134
(407) 351-3532,Orlando,,,,United States,,-81.42932,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Millenia Plaza,FL,,4728 Millenia Plaza Way,28.48976,32839
(239) 530-1201,Naples,,,,United States,,-81.69909,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",,FL,,6821 Collier Blvd Unit 102,26.06338,34114
(904) 247-4490,Jacksonville Beach,,,,United States,,-81.39107,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",,FL,,319 3rd Street S,30.28439,32250
(239) 433-4208,Fort Myers,,,,United States,,-81.794579,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Gulf Coast Landings,FL,,16441 Corporate Commerce Way,26.49292,33913
(239) 495-3113,Estero,,,,United States,,-81.811267,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",,FL,,22909 Lyden Drive,26.40616,33928
(281) 665-6030,Katy,,,,United States,,-95.81307,"Sun - Thu : 11:00AM to 09:00PM, Fri - Sat : 10:00PM to 10:00PM",Southpark at Cinco Ranch,TX,,"24926 FM 1093, Ste. A",29.69742,77494
