phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(306) 585-7722,Regina,,,5087,United States,,-104.550445556641,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 7:00 a.m. to 11:00 p.m.",Sobeys - University Park,,,2231 East Quance Street.,50.4428062438965,
780.476.0204,Edmonton,,,3189,United States,,-113.541154,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 7:00 a.m. to 11:00 p.m.",Sobeys - Newcastle West,,,16943 – 127 Street NW,53.630739,
403-263-0331,Calgary,,,5194,United States,,-114.108913,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 7:00 a.m. to 11:00 p.m.",Sobeys - Evanston,,,#7048 - 2060 Symons Valley Parkway NW,51.173925,
(416) 623-5111,Toronto,,,934,United States,,-79.39398,"monday 7:00 a.m. to Midnight, tuesday 7:00 a.m. to Midnight, wednesday 7:00 a.m. to Midnight, thursday 7:00 a.m. to Midnight, friday 7:00 a.m. to Midnight, saturday 7:00 a.m. to Midnight, sunday 7:00 a.m. to Midnight",Sobeys Urban Fresh - Spadina,,,22 Fort York Boulevard,43.640551,
(780) 542-4644,Drayton Valley,,,3018,United States,,-114.9765213,"monday 8:00 a.m. to 9:00 p.m., tuesday 8:00 a.m. to 9:00 p.m., wednesday 8:00 a.m. to 9:00 p.m., thursday 8:00 a.m. to 9:00 p.m., friday 8:00 a.m. to 9:00 p.m., saturday 8:00 a.m. to 9:00 p.m., sunday 10:00 a.m. to 7:00 p.m.",Sobeys - Drayton Valley,,,#1 4341-50 Street,53.2157094,
(403) 873-0101,Calgary,,,5073,United States,,-114.1120692,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 7:00 a.m. to 11:00 p.m.",Sobeys - Bridlewood,,,"#100, 2335 - 162 Ave. SW",50.905385,
(780) 939-4418,Morinville,,,5068,United States,,-113.644878,"monday 8:00 a.m. to 10:00 p.m., tuesday 8:00 a.m. to 10:00 p.m., wednesday 8:00 a.m. to 10:00 p.m., thursday 8:00 a.m. to 10:00 p.m., friday 8:00 a.m. to 10:00 p.m., saturday 8:00 a.m. to 10:00 p.m., sunday 8:00 a.m. to 10:00 p.m.",Sobeys - Morinville,,,10003 - 100 St,53.8019169,
(204) 253-3663,Winnipeg,,,5083,United States,,-97.0938579,"monday 7:00 a.m. to 10:00 p.m., tuesday 7:00 a.m. to 10:00 p.m., wednesday 7:00 a.m. to 10:00 p.m., thursday 7:00 a.m. to 10:00 p.m., friday 7:00 a.m. to 10:00 p.m., saturday 7:00 a.m. to 10:00 p.m., sunday 9:00 a.m. to 6:00 p.m.",Sobeys - St. Vital,,,1500 Dakota St.,49.810693,
(306) 244-6310,Saskatoon,,,5038,United States,,-106.622585,"monday 7:00 a.m. - 11:00 p.m., tuesday 7:00 a.m. - 11:00 p.m., wednesday 7:00 a.m. - 11:00 p.m., thursday 7:00 a.m. - 11:00 p.m., friday 7:00 a.m. - 11:00 p.m., saturday 7:00 a.m. - 11:00 p.m., sunday 7:00 a.m. - 11:00 p.m.",Sobeys - Stonebridge,,,3100 Preston Avenue S,52.084082,
905-636-7521,Milton,,,4719,United States,,-79.867145,"monday Open 24 hours, tuesday Open 24 hours, wednesday Open 24 hours, thursday Open 24 hours, friday Open 24 hours, saturday Open 24 hours, sunday Open 24 hours",Sobeys Extra - Milton,,,1035 Bronte Street South,43.492982,
519-271-5340,Stratford,,,4721,United States,,-81.003783,"monday 7:00 a.m. - 11:00 p.m., tuesday 7:00 a.m. - 11:00 p.m., wednesday 7:00 a.m. - 11:00 p.m., thursday 7:00 a.m. - 11:00 p.m., friday 7:00 a.m. - 11:00 p.m., saturday 7:00 a.m. - 11:00 p.m., sunday 7:00 a.m. - 11:00 p.m.",Sobeys - Stratford,,,"581 Huron Street, Unit #1",43.380913,
(902) 864-7268,Lower Sackville,,,788,United States,,-63.6652203,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 8:00 a.m. to 10:00 p.m.",Sobeys - First Lake,,,80 First Lake Drive,44.7770044,
"(506) 855-0546 , (506) 855-7599",Moncton,,,756,United States,,-64.7893325,"monday 7:00 a.m. to 11:00 p.m., tuesday 7:00 a.m. to 11:00 p.m., wednesday 7:00 a.m. to 11:00 p.m., thursday 7:00 a.m. to 11:00 p.m., friday 7:00 a.m. to 11:00 p.m., saturday 7:00 a.m. to 11:00 p.m., sunday 8:00 a.m. to 10:00 p.m.",Sobeys - Vaughan Harvey Blvd.,,,55 Vaughan Harvey Blvd.,46.0845748,
