phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(518) 452-2777,Albany,,,,United States,,,"Monday 11am-9 pm, Tuesday 11am-9 pm, Wednesday 11am-9 pm, Thursday 11am-9 pm, Friday 11am-9 pm, Saturday 11am-9 pm, Sunday 11am-9 pm",Western Ave,NY,,1704 Western Ave.,,12203
(518) 687-6637,Albany,,,,United States,,,"Monday 11am-9 pm, Tuesday 11am-9 pm, Wednesday 11am-9 pm, Thursday 11am-9 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-9 pm",Wolf Rd,NY,,243 Wolf Road,,12205
(518) 489-MOES (6637,Albany,,,,United States,,,"Monday 11am-9:30pm, Tuesday 11am-9:30pm, Wednesday 11am-9:30pm, Thursday 11am-9:30pm, Friday 11am-9:30pm, Saturday 11am-9:30pm, Sunday 11am-8pm",Colonie Center Mall,NY,,131 Colonie Center Road,,12205
(716) 832-3270,Amherst,,,,United States,,,"Monday 11am-10 pm, Tuesday 11am-10 pm, Wednesday 11am-10 pm, Thursday 11am-10 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-10 pm",Amherst,NY,,1551 Niagara Falls Blvd,,14228
(518) 684-0101,Amsterdam,,,,United States,,,"Monday 11am-9 pm, Tuesday 11am-9 pm, Wednesday 11am-9 pm, Thursday 11am-9 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-9 pm",Target Shopping Center,NY,,4930 Route 30,,12010
716-549-0066,Angola,,,,United States,,,"Monday 11am-9 pm, Tuesday 11am-9 pm, Wednesday 11am-9 pm, Thursday 11am-9 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-10 pm",Angola Travel Plaza,NY,,"I-90, Mile Marker 447",,14006
(315) 702-8220,Auburn,,,,United States,,,"Monday 11am-10 pm, Tuesday 11am-10 pm, Wednesday 11am-10 pm, Thursday 11am-10 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-8 pm",Auburn Plaza,NY,,217 Grant Ave,,13021
(607) 217-4608,Binghamton,,,,United States,,,"Monday 11am-9 pm, Tuesday 11am-9 pm, Wednesday 11am-9 pm, Thursday 11am-9 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-9 pm",Binghamton,NY,,1257 Upper Front Street,,13905
(716) 447-9850,Buffalo,,,,United States,,,"Monday 11am-10 pm, Tuesday 11am-10 pm, Wednesday 11am-10 pm, Thursday 11am-10 pm, Friday 11am-10 pm, Saturday 11am-10 pm, Sunday 11am-10 pm",Delaware Ave,NY,,"2658 Delaware Avenue, Suite #300",,14216
(716) 645-3053,Buffalo,,,,United States,,,"Monday 10:30am-8:30 pm, Tuesday 10:30am-8:30 pm, Wednesday 10:30am-8:30 pm, Thursday 10:30am-8:30 pm, Friday 10:30am-8 pm, Saturday 11am-4 pm, Sunday 11am-4 pm",University of Buffalo - Campus Location,NY,,350 Student Union,,14260
