phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
201-858-3400,Bayonne,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,BAYONNE,NJ,,307 Bayonne Crossing Way,,07002
201-941-6105,Edgewater,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,"EDGEWATER, NJ",NJ,,725 River Road,,07020
201-355-8908,Lyndhurst,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,LYNDHURST,NJ,,411 A Valley Brook Ave,,07071
973-928-4498,Clifton,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 8PM ,CLIFTON,NJ,,225 Allwood Road,,07012
973-928-5470,Lodi,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,LODI,NJ,,150 Main Street,,07644
201-608-5139,Englewood,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,ENGLEWOOD,NJ,,"51 Nathaniel Place, suite 7",,07631
201-385-3395,Dumont,,,,United States,,,Mon-Sat 9AM - 9PM Sun 9AM - 6PM ,DUMONT,NJ,,40 Washington Avenue,,07628
248-973-8325,West Bloomfield,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,WEST BLOOMFIELD,MI,,33230 West 14 Mile Road,,48322
908-233-0722,Garwood,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,GARWOOD,NJ,,300 South Ave.,,07027
862-210-8078,West Caldwell,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,WEST CALDWELL,NJ,,756 A Bloomfield Ave,,07006
516-431-4785,Island Park,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,ISLAND PARK,NY,,4581 Austin Blvd,,11558
973-845-2504,Florham Park,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,FLORHAM VILLAGE,NJ,,187 Columbia Turnpike,,07932
973-377-5112,Madison,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,MADISON,NJ,,235 Main Street,,07940
973-694-5555,Wayne,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,"WAYNE, NJ",NJ,,1220 Hamburg Turnpike,,07470
516-228-9100,Westbury,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,WESTBURY,NY,,1260 Old Country Rd. suite 21A,,11590
201-848-6070,Wyckoff,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,WYCKOFF,NJ,,327 Franklin Avenue,,07481
201-746-6469,Montvale,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,MONTVALE,NJ,,20 S. Kinderkamack Rd.,,07645
973-794-3545,Parsippany,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,PARSIPPANY,NJ,,3053A US Route 46 East,,07054
914-358-9034,Hartsdale,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,HARTSDALE,NY,,385 North Central Ave,,10530
908-647-5300,Gillette,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,GILLETTE,NJ,,"977 Valley Road, suite 5",,07933
973-616-1846,Pompton Lakes,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,POMPTON LAKES,NJ,,55 Wanaque Ave,,07442
914-481-1903,Rye Brook,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,RYE BROOK,NY,,134 S Ridge Street,,10573
848-456-4610,Shrewsbury,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,SHREWSBURY,NJ,,"490 Shrewsbury Plaza, unit 25",,07702
516-465-2874,Plainview,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,PLAINVIEW,NY,,70 Manetto Hill Road,,11803
908-502-5491,Bernardsville,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,BERNARDSVILLE,NJ,,80 Morristown Road,,07924
973-543-6005,Mendham,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,MENDHAM,NJ,,84 East Main Street,,07945
732-431-4070,Manalapan,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,MANALAPAN,NJ,,55 Route 9 South,,07726
845-241-5247,West Haverstraw,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,WEST HAVERSTRAW,NY,,36 South Route 9W,,10993
203-658-8825,Stamford,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,STAMFORD,CT,,1131 High Ridge Rd.,,06905
9--317-939-2128,Brownsburg,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,BROWNSBURG,IN,,931 North Green Street,,46112
502-695-3100,Frankfort,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 7PM ,FRANKFORT,KY,,"7000 John Davis Dr, #300",,40601
859-368-7158,Lexington,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,LEXINGTON - PALOMAR,KY,,3735 Palomar Centre Drive,,40513
859-309-1850,Lexington,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,LEXINGTON - HARTLAND,KY,,4750 Hartland Parkway,,40515
317-973-5505,Zionsville,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,ZIONSVILLE,IN,,53 Boone Village,,46227
317-535-1770,Bargersville,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,GREENWOOD,IN,,5889 State Road 135,,46106
317-731-6119,Indianapolis,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,MARWOOD,IN,,3335 Kentucky Avenue,,46221
317-389-5164,Indianapolis,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,WILLOW LAKE,IN,,2452 Lake Circle Drive,,46268
317-569-1082,Carmel,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,CARMEL,IN,,11503 Spring Mill Road,,46032
215-644-8445,Philadelphia,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,WHITMAN PLAZA,PA,,330 W. Oregon Avenue,,19148
484-278-4784,Bala Cynwyd,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,BALA CYNWYD,PA,,49 East City Line Ave,,19004
267-336-7867,Philadelphia,,,,United States,,,Mon-Sat 9AM - 9PM Sun 10AM - 6PM ,ROXBOROUGH,PA,,7164 Ridge Ave.,,19128
