phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(212) 477-0402,New York,,,8525,United States,,,"Mon : 6:00 AM-12:00 AM, Tue : 6:00 AM-12:00 AM, Wed : 6:00 AM-12:00 AM, Thu : 6:00 AM-12:00 AM, Fri : 6:00 AM-12:00 AM, Sat : 6:00 AM-12:00 AM, Sun : 6:00 AM-12:00 AM","Arby's, New York",NY,,32 E 23rd St.,,10010
(212) 273-0850,New York,,,8085,United States,,,"Mon : 6:00 AM-1:00 AM, Tue : 6:00 AM-1:00 AM, Wed : 6:00 AM-1:00 AM, Thu : 6:00 AM-1:00 AM, Fri : 6:00 AM-1:00 AM, Sat : 6:00 AM-1:00 AM, Sun : 6:00 AM-1:00 AM","Arby's, New York",NY,,611 Eighth Ave.,,10018
(718) 894-0485,Middle Village,,,7737,United States,,,"Mon : 7:00 AM-10:00 PM, Tue : 7:00 AM-10:00 PM, Wed : 7:00 AM-10:00 PM, Thu : 7:00 AM-10:00 PM, Fri : 7:00 AM-11:00 PM, Sat : 7:00 AM-11:00 PM, Sun : 7:00 AM-10:00 PM","Arby's, Middle Village",NY,,69-16 Metropolitan Avenue,,11379
(718) 888-0444,Fresh Meadows,,,7362,United States,,,"Mon : 6:30 AM-2:00 AM, Tue : 6:30 AM-2:00 AM, Wed : 6:30 AM-2:00 AM, Thu : 6:30 AM-2:00 AM, Fri : 6:30 AM-2:00 AM, Sat : 6:30 AM-2:00 AM, Sun : 6:30 AM-2:00 AM","Arby's, Fresh Meadows",NY,,175-14 Horace Harding Expy,,11365
(908) 490-1217,Watchung,,,7086,United States,,,"Mon : 10:00 AM-11:00 PM, Tue : 10:00 AM-11:00 PM, Wed : 10:00 AM-11:00 PM, Thu : 10:00 AM-11:00 PM, Fri : 10:00 AM-12:00 AM, Sat : 10:00 AM-12:00 AM, Sun : 10:00 AM-11:00 PM","Arby's, Watchung",NJ,,1701 Route 22,,07069
(516) 681-8188,Hicksville,,,7914,United States,Store #986,,"Mon : 9:30 AM-9:30 PM, Tue : 9:30 AM-10:00 PM, Wed : 9:30 AM-9:30 PM, Thu : 9:30 AM-9:30 PM, Fri : 9:30 AM-10:00 PM, Sat : 9:30 AM-9:30 PM, Sun : 10:00 AM-7:30 PM","Arby's, Hicksville",NY,,358 B. Broadway Mall,,11801
(323) 460-4000,Hollywood,,,150,United States,,,"Mon : 9:00 AM-12:00 AM, Tue : 9:00 AM-12:00 AM, Wed : 9:00 AM-12:00 AM, Thu : 9:00 AM-12:00 AM, Fri : 9:00 AM-1:00 AM, Sat : 9:00 AM-1:00 AM, Sun : 10:00 AM-12:00 AM","Arby's, Hollywood",CA,,5920 W Sunset Blvd,,90028
(215) 423-5005,Philadelphia,,,7728,United States,,,"Mon : 10:00 AM-10:00 PM, Tue : 10:00 AM-10:00 PM, Wed : 10:00 AM-10:00 PM, Thu : 10:00 AM-10:00 PM, Fri : 10:00 AM-11:00 PM, Sat : 10:00 AM-11:00 PM, Sun : 10:00 AM-10:00 PM","Arby's, Philadelphia",PA,,2560 Aramingo Avenue,,19125
(713) 670-0235,Houston,,,7542,United States,,,Open 24 Hours,"Arby's, Houston",TX,,3940 N McCarty St,,77013
(602) 354-8483,Phoenix,,,1696,United States,,,"Mon : 9:00 AM-11:00 PM, Tue : 9:00 AM-11:00 PM, Wed : 9:00 AM-11:00 PM, Thu : 9:00 AM-11:00 PM, Fri : 9:00 AM-11:00 PM, Sat : 9:00 AM-11:00 PM, Sun : 10:00 AM-11:00 PM","Arby's, Phoenix",AZ,,2402 W Thomas Rd,,85015
