phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
(256) 831-4911,Oxford,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Oxford,AL,,401 Oxford Exchange Blvd,,36203
(334) 749-1255,Opelika,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Opelika - Tiger Town Shopping Center,AL,,2254 Tiger Town Parkway,,36801
(334) 260-9220,Montgomery,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Montgomery,AL,,2700 Eastern Boulevard,,36117
(334) 285-1170,Prattville,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Prattville,AL,,2767 Legends Parkway,,36066
(601) 693-3075,Meridian,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Meridian,MS,,107 South Frontage Road,,39301
(423) 877-7704,Hixson,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Hixson,TN,,5525 Highway 153,,37343
(229) 883-8282,Albany,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Albany,GA,,2701 Dawson Road,,31707
(334) 792-8777,Dothan,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Dothan,AL,,3360 Ross Clark Circle,,36303
(615) 758-6230,Mount Juliet,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Mount Juliet - Providence,TN,,"401 South Mt. Juliet Road 
Suite 115",,37122
(850) 235-4225,Panama City Beach,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Panama City Beach,FL,,15701 Panama City Beach Parkway,,32413
(850) 769-4002,Panama City,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Panama City - SR 77,FL,,2397 SR 77,,32405
(615) 731-8431,Antioch,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Antioch - Bell Road,TN,,1131 Bell Road,,37013
(615) 848-1438,Murfreesboro,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Murfreesboro,TN,,1710 Old Fort Parkway,,37129
(931) 486-1294,Spring Hill,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Spring Hill,TN,,1098 Crossings Circle,,37174
(251) 625-1490,Spanish Fort,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Spanish Fort,AL,,30500-D State Highway 181,,36527
(850) 878-2949,Tallahassee,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Tallahassee,FL,,1103 Apalachee Parkway,,32301
(770) 642-0395,Roswell,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Roswell,GA,,905 Holcomb Bridge Rd,,30076
(770) 704-6665,Canton,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Canton,GA,,2040 Cumming Highway,,30115
(850) 477-6544,Pensacola,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Pensacola,FL,,5037 Bayou Blvd,,32503
(423) 899-7707,Chattanooga,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Chattanooga - Hamilton Place Mall,TN,,2200 Hamilton Place Blvd,,37421
(615) 868-0790,Madison,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Madison - Rivergate,TN,,1711 Gallatin Road N,,37115
(850) 650-2307,Destin,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Destin,FL,,34970 Emerald Coast Parkway,,32541
(770) 482-4600,Lithonia,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Lithonia - Stonecrest Mall,GA,,3011 Turner Hill Road,,30038
(850) 244-1667,Fort Walton Beach,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Ft Walton Beach,FL,,216 Miracle Strip Pkwy SW,,32548
(678) 441-0270,Dunwoody,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Dunwoody - Perimeter Village Shopping Center,GA,,4749 Ashford Dunwoody Road,,30338
(770) 424-3668,Kennesaw,,,,United States,,,"Sun : 11:00AM - 10:00PM, Mon : 11:00AM - 10:00PM, Tue : 11:00AM - 10:00PM, Wed : 11:00AM - 10:00PM, Thu : 11:00AM - 10:00PM, Fri : 11:00AM - 11:00PM",Kennesaw,GA,,429 Barrett Pkwy,,30144
