phone_number,city,distributor_name,store_type,store_number,country,address2,longitude,store_hours,store_name,state,other_fields,address,latitude,zip_code
818-550-7505,Glendale,,,,US,,-118.25707551847,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",The Americana at Brand,CA,,511 Americana Way,34.1441968951188,91210
323-634-0511,Los Angeles,,,,US,K-90,-118.35631,"Mon - Thu : 11:30AM - 11:00PM, Fri : 11:30AM - 12:30AM, Sat : 11:00AM - 12:30AM",The Grove,CA,,189 The Grove Drive,34.0728531818182,90036
626-584-6000,Pasadena,,,,US,,-118.15048,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Old Town Pasadena,CA,,2 West Colorado Boulevard,34.14578,91101
315-422-2559,Syracuse,,,,US,,-76.1695136738933,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Destiny USA,NY,,306 Hiawatha Boulevard West Space J-112,43.0680749916616,13290
631-969-5780,Bay Shore,,,,US,Space A25,-73.2447581882983,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Westfield South Shore Mall,NY,,1701 Sunrise Highway,40.7365930157536,11706
718-699-1212,Elmhurst,,,,US,Space #1073,-73.8704971,"Mon - Thu : 11:30AM -11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Queens Center,NY,,90-15 Queens Boulevard,40.7344589,11373
516-222-5500,Westbury,,,,US,,-73.5918633333333,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",The Mall at The Source,NY,,1504 Old Country Road,40.7472633333333,11590
845-727-1000,West Nyack,,,,US,,-73.9587675302405,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Palisades Center,NY,,1612 Palisades Center Drive,41.0953503238402,10994
914-683-5253,White Plains,,,,US,,-73.75914,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",The Source at White Plains,NY,,1 Maple Avenue,41.02953,10601
631-361-6600,Lake Grove,,,,US,Space P-10,-73.12965,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Smith Haven Mall,NY,,610 Smith Haven Mall,40.86299,11755
518-453-2500,Albany,,,,US,#140,-73.8071944018366,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Colonie Center,NY,,131 Wolf Road,42.7181403640994,12205
716-685-2600,Cheektowaga,,,,US,Space TH-170,-78.76198,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Walden Galleria,NY,,1 Walden Galleria,42.90886,14225
585-381-8681,Pittsford,,,,US,,-77.5379892681969,"Mon - Thu : 11:30AM - 11:00PM, Fri : 11:30AM - 12:00AM, Sat : 11:00AM - 12:00AM",Pittsford Plaza,NY,,3349 Monroe Avenue,43.1024792681969,14618
631-271-8200,Huntington,,,,US,Suite 1109B,-73.41226,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:00AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Walt Whitman Mall,NY,,160 Walt Whitman Road,40.82237,11746
914-709-9240,Yonkers,,,,US,,-73.8564426666667,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:30AM, Sun (Brunch served 10:00AM - 2:00PM): : 10:00AM - 10:00PM",Ridge Hill Shopping Center,NY,,140 Market Street,40.9642913333333,10710
312-337-1101,Chicago,,,,US,,-87.6241015384615,"Mon - Thu : 11:00AM - 11:30PM, Fri : 11:00AM - 12:30AM, Sat : 10:30AM - 12:30AM",John Hancock Center,IL,,875 North Michigan Avenue,41.8988261538462,60611
847-329-8077,Skokie,,,,US,Space H20,-87.75149,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:00AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 10:00PM",Westfield Shoppingtown Old Orchard Center,IL,,4999 Old Orchard Center,42.06243,60077
630-573-1800,Oak Brook,,,,US,,-87.9482331462699,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:00AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Oakbrook Center,IL,,2020 Spring Road,41.8510687892702,60523
713-840-0600,Houston,,,,US,,-95.4615831578947,"Mon - Thu : 11:00AM - 11:00PM, Fri : 11:00AM - 12:00AM, Sat : 10:30AM - 12:00AM",The Galleria,TX,,5015 Westheimer Road,29.7408115789474,77056
713-932-6344,Memorial City,,,,US,,-95.54006,"Mon - Thu : 11:00AM - 11:00PM, Fri - Sat : 11:00AM - 12:00AM, Sun (Brunch served 10:00AM - 2:00PM) : 10:00AM - 11:00PM",Memorial City Mall,TX,,303 Memorial City,29.7786512024048,77024
267-457-2203,Philadelphia,,,,US,,-75.1659202,"Mon - Thu : 11:30AM - 11:00PM, Fri - Sat : 11:30AM - 12:30AM, Sun : 10:00AM - 11:00PM",Center City,PA,,1430 Walnut Street,39.9495534,19102
