store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Fullerton,,1923 West Malvern Avenue,,Fullerton,CA,92833,United States,714-871-9855,,,Store Hours: 9-10 Every Day,,,
Carson & 605,,7651 Carson St,,Long Beach,CA,90808,United States,562-938-8330,,,Store Hours: Sun-Thu 9-10,,,
San Jose Blvd.,,11112 San Jose Boulevard Suite 8,,Jacksonville,FL,32223,United States,904-886-9904,,,Store Hours: Sun 9-9,,,
St. Augustine,,1930 U.S. 1 South,,St. Augustine,FL,32086,United States,,,,Store Hours: Sun 8-9,,,
St Johns Town Center,,10280 Midtown Parkway,,Jacksonville,FL,32246,United States,,,,Store Hours: Sun 9-9,,,
Aliso Viejo,,26751 Aliso Creek Road,,Aliso Viejo,CA,92656,United States,949-362-8027,,,Store Hours: 9-10 Every Day,,,
Mesilla Valley Mall,,700 S. Telshor Blvd. #1390,,Las Cruces,NM,88011,United States,,,,Store Hours: Sun 11-7,,,
Del Amo,,21400 Hawthorne Blvd,,Torrance,CA,90503,United States,310-370-5552,,,Store Hours: Sun-Wed 9-10,,,
Polaris Fashion Center,,1560 Polaris Parkway,,Columbus,OH,43240,United States,,,,Store Hours: Sun 10-8,,,
Sunland Park,,705 Sunland Park Dr,,El Paso,TX,79912,United States,,,,Store Hours: Sun 10-9,,,
El Paso/Fountains at Farah,,8889 Gateway Blvd. West Suite 120,,El Paso,TX,79925,United States,,,,Store Hours: Sun 11-7,,,
The Promenade Shops at Centerra,,5835 Sky Pond Drive,,Loveland,CO,80537,United States,970-663-9473,,,Store Hours: Sun 10-8,,,
Gilroy,,6825 Camino Arroyo,,Gilroy,CA,95020,United States,408-846-5777,,,Store Hours: Sun-Thu 9-9,,,
Blossom Hill,,5353 Almaden Expressway Bldg. B,,San Jose,CA,95118,United States,408-979-0611,,,Store Hours: 9-10 Every Day,,,
