store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Bojangles' Famous Chicken 'n Biscuits - Opening Soon!,1267,1910 Harpers Rd,,Beckley,WV, 25801,United States,(336) 498-2116,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,1
Bojangles' Famous Chicken 'n Biscuits,1211,701 Oakvale Road,,Princeton,WV, 24740,United States,(304) 425-1404,,,"Monday5:30 AM - 10:00 PM, Tuesday5:30 AM - 10:00 PM, Wednesday5:30 AM - 10:00 PM, Thursday5:30 AM - 10:00 PM, Friday5:30 AM - 10:00 PM, Saturday5:30 AM - 10:00 PM, Sunday6:00 AM - 10:00 PM",,1
Bojangles' Famous Chicken 'n Biscuits - Opening Soon!,1276,3082 16th Street,,Huntington,WV, 25701,United States,(859) 263-3226,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,1
Bojangles' Famous Chicken 'n Biscuits,1229,3323 Route 60,,Huntington,WV, 25705,United States,(304) 955-5019,,,"Monday5:30 AM - 10:30 PM, Tuesday5:30 AM - 10:30 PM, Wednesday5:30 AM - 10:30 PM, Thursday5:30 AM - 10:30 PM, Friday5:30 AM - 11:00 PM, Saturday5:30 AM - 11:00 PM, Sunday5:30 AM - 10:30 PM",,1
Bojangles' Famous Chicken 'n Biscuits - Opening Soon!,1261,133 Old Goff Mountain Rd,,Cross Lanes,WV, 25313,United States,(859) 263-3226,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,1
Bojangles' Famous Chicken 'n Biscuits,1249,160 South Pointe Dr,,Fayetteville,WV, 25840,United States,(304) 574-2788,,,"Monday5:30 AM - 10:00 PM, Tuesday5:30 AM - 10:00 PM, Wednesday5:30 AM - 10:00 PM, Thursday5:30 AM - 10:00 PM, Friday5:30 AM - 10:00 PM, Saturday5:30 AM - 10:00 PM, Sunday6:00 AM - 10:00 PM",,1
Bojangles' Famous Chicken 'n Biscuits,1240,2856 Mountaineer Blvd,,Charleston,WV, 25309,United States,(681) 265-2309,,,"Monday5:30 AM - 10:30 PM, Tuesday5:30 AM - 10:30 PM, Wednesday5:30 AM - 10:30 PM, Thursday5:30 AM - 10:30 PM, Friday5:30 AM - 11:00 PM, Saturday5:30 AM - 11:00 PM, Sunday5:30 AM - 10:30 PM",,1
Bojangles' Famous Chicken 'n Biscuits,1251,5505 MacCorkle Ave,,Charleston,WV, 25304,United States,(681) 265-9477,,,"Monday5:30 AM - 10:30 PM, Tuesday5:30 AM - 10:30 PM, Wednesday5:30 AM - 10:30 PM, Thursday5:30 AM - 10:30 PM, Friday5:30 AM - 11:00 PM, Saturday5:30 AM - 11:00 PM, Sunday5:30 AM - 10:30 PM",,1
Bojangles' Famous Chicken 'n Biscuits,388,553 W Dixie Drive,,Asheboro,NC, 27203,United States,(336) 626-6500,,,"Monday5:00 AM - 10:00 PM, Tuesday5:00 AM - 10:00 PM, Wednesday5:00 AM - 10:00 PM, Thursday5:00 AM - 10:00 PM, Friday5:00 AM - 10:00 PM, Saturday5:00 AM - 10:00 PM, Sunday6:00 AM - 10:00 PM",,1
Bojangles' Famous Chicken 'n Biscuits,1232,241 Long Shoals Road,,Arden,NC, 28704,United States,(828) 585-2248,,,"Monday5:00 AM - 10:00 PM, Tuesday5:00 AM - 10:00 PM, Wednesday5:00 AM - 10:00 PM, Thursday5:00 AM - 10:00 PM, Friday5:00 AM - 10:00 PM, Saturday5:00 AM - 10:00 PM, Sunday6:00 AM - 10:00 PM",,1
