store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Cracker Barrel,930877145,1780 S Sunridge Dr.,I-8 & US 95/16th St.,Yuma,AZ,85365-2029,US,928-343-1988,32.6984876,-114.6030947,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877374,5022 E Chandler Blvd.,I-10 & Chandler Blvd.,Phoenix,AZ,85048-0800,US,480-961-9443,33.3012068,-111.973344,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877618,1007 N. Dobson Rd.,Loop 202 & Dobson Rd.,Mesa,AZ,85201-7574,US,480-668-4780,33.4149739,-111.8743868,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877132,9312 W. Glendale Ave.,Loop 101 & Glendale Ave.,Glendale,AZ,85305-9400,US,623-772-1930,33.5373943,-112.2589957,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877558,16845 N. 84th Ave.,Loop 101 & Bell Rd.,Peoria,AZ,85382-4716,US,623-875-1136,33.6380704,-112.2420107,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877498,21611 N. 26th Ave.,I-17 & Deer Valley Rd.,Phoenix,AZ,85027-2496,US,623-582-6020,33.6822375510204,-112.115547959184,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877341,1209 N Litchfield Rd.,I-10 & Litchfield Rd.,Goodyear,AZ,85395-1282,US,623-856-5161,33.4360752,-112.3582824,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877140,606 S. Watson Rd.,I-10 & Watson Rd.,Buckeye,AZ,85326-3420,US,623-474-0008,33.4417675376884,-112.556508592965,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,930877394,2281 E Florence Blvd.,I-10 & Florence Blvd.,Casa Grande,AZ,85122-9179,US,520-421-2101,32.8795523,-111.7521932,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
Cracker Barrel,945630682,5707 E State Route 69,SR 69 & Sundog Ranch Rd.,Prescott Valley,AZ,86314-2801,US,928-772-0447,34.5771968,-112.3670258,"Sunday - Thursday : 6:00 AM-11:00 PM, Friday - Saturday6:00 AM-11:00 PM",,
