store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Culver's of Lake Havasu City, AZ - Countryshire Ave",576,1615 Countryshire Ave,,Lake Havasu City,AZ,86403,US,928-733-6192,34.49141,-114.34998,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Atascocita, TX - E Atascocita Rd",374,5420 E Atascocita Rd,,Atascocita,TX,77346,US,281-812-8600,29.988083,-95.192776,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Kingwood, TX - Northpark Dr",496,331 Northpark Dr,,Kingwood,TX,77339,US,281-359-0950,30.069549,-95.242414,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of The Woodlands, TX - Six Pines Dr",259,8800 Six Pines Dr,,The Woodlands,TX,77380,US,281-364-9595,30.176564,-95.459025,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-10:00 PM, Saturday : 10:30 AM-10:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Conroe, TX - N Loop 336 W",446,1426 N Loop 336 W,,Conroe,TX,77304,US,936-788-5959,30.332896,-95.482367,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-10:00 PM, Saturday : 10:30 AM-10:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Austin, TX - W Braker Ln",071,2240 W Braker Ln,,Austin,TX,78758,US,512-836-4162,30.391394,-97.713926,"Monday : 10:30 AM-10:30 PM, Thuesday : 10:30 AM-10:30 PM, Wednesday : 10:30 AM-10:30 PM, Thursday : 10:30 AM-10:30 PM, Friday : 10:30 AM-10:30 PM, Saturday : 10:30 AM-10:30 PM, Sunday : 10:30 AM-10:30 PM",,,
"Culver's of Austin, TX - W William Cannon Dr",050,3424 W William Cannon Dr,,Austin,TX,78745,US,512-892-1114,30.213728,-97.829356,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of San Antonio, TX - De Zavala Rd",261,5836 De Zavala Rd,,San Antonio,TX,78249,US,210-558-9797,29.562614,-98.598769,"Monday : 10:00 AM-10:30 PM, Thuesday : 10:00 AM-10:30 PM, Wednesday : 10:00 AM-10:30 PM, Thursday : 10:00 AM-10:30 PM, Friday : 10:00 AM-10:30 PM, Saturday : 10:00 AM-10:30 PM, Sunday : 10:00 AM-10:30 PM",,,
"Culver's of Rockwall, TX - Ridge Rd",224,2475 Ridge Rd,,Rockwall,TX,75087,US,972-722-6586,32.900321,-96.46712,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Kerrville, TX - Junction Hwy",153,1300 Junction Hwy,,Kerrville,TX,78028,US,830-257-7000,30.062439,-99.170078,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of The Colony, TX - State Hwy 121",556,5100 State Hwy 121,,Lewisville,TX,75056,US,214-469-2900,33.069483,-96.878349,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-10:00 PM, Saturday : 10:30 AM-10:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Flower Mound, TX - Flower Mound Rd",322,2709 Flower Mound Rd,,Flower Mound,TX,75022,US,972-355-3787,33.013289,-97.072622,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-10:00 PM, Saturday : 10:30 AM-10:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of McKinney, TX - W Eldorado Pkwy",064,4200 W Eldorado Pkwy,,McKinney,TX,75070,US,972-369-1190,33.169716,-96.67214,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-10:00 PM, Saturday : 10:30 AM-10:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Phoenix, AZ - E Camelback Rd",415,825 E Camelback Rd,,Phoenix,AZ,85014,US,602-595-7876,33.508983,-112.063086,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-12:00 AM, Saturday : 10:00 AM-12:00 AM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Tempe, AZ - E Southern Ave",532,630 E Southern Ave,,Tempe,AZ,85282,US,602-314-4445,33.393423,-111.929793,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-12:00 AM, Saturday : 10:00 AM-12:00 AM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Phoenix, AZ - Metro Center",406,10225 N 28th Dr,,Phoenix,AZ,85051,US,602-861-2000,33.579841,-112.121445,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-11:00 PM, Saturday : 10:30 AM-11:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Glendale, AZ - N 99th Ave",431,5127 N 99th Ave,,Glendale,AZ,85305,US,623-328-9282,33.509471,-112.271986,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-11:00 PM, Saturday : 10:00 AM-11:00 PM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Avondale, AZ - N Avondale Blvd",450,1025 N Avondale Blvd,,Avondale,AZ,85323,US,623-792-8649,33.457311,-112.305855,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-11:00 PM, Saturday : 10:00 AM-11:00 PM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Chandler, AZ - W Ray Rd",445,3155 W Ray Rd,,Chandler,AZ,85226,US,480-268-7249,33.319727,-111.896636,"Monday : 10:00 AM-10:30 PM, Thuesday : 10:00 AM-10:30 PM, Wednesday : 10:00 AM-10:30 PM, Thursday : 10:00 AM-10:30 PM, Friday : 10:00 AM-10:30 PM, Saturday : 10:00 AM-10:30 PM, Sunday : 10:00 AM-10:30 PM",,,
"Culver's of Scottsdale, AZ - E Shea Blvd",462,8668 E Shea Blvd,,Scottsdale,AZ,85260,US,480-636-8480,33.58274,-111.893652,"Monday : 10:30 AM-10:00 PM, Thuesday : 10:30 AM-10:00 PM, Wednesday : 10:30 AM-10:00 PM, Thursday : 10:30 AM-10:00 PM, Friday : 10:30 AM-11:00 PM, Saturday : 10:30 AM-11:00 PM, Sunday : 10:30 AM-10:00 PM",,,
"Culver's of Mesa, AZ - S Country Club Dr",378,1909 S Country Club Dr,,Mesa,AZ,85210,US,480-733-5330,33.379965,-111.839551,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Peoria, AZ - W Ludlow Dr",425,8271 W Ludlow Dr,,Peoria,AZ,85381,US,623-242-8826,33.611639,-112.236813,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-11:00 PM, Saturday : 10:00 AM-11:00 PM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Phoenix, AZ - N Cave Creek Rd",434,20835 N Cave Creek Rd,,Phoenix,AZ,85024,US,602-788-1616,33.676396,-112.030443,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Phoenix, AZ - W Deer Valley Dr",379,1825 W Deer Valley Dr,,Phoenix,AZ,85027,US,623-580-4567,33.683414,-112.097986,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Peoria, AZ - W Deer Valley Rd",553,8330 W Deer Valley Rd,,Peoria,AZ,85382,US,623-792-8957,33.682033,-112.239165,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Mesa, AZ - S Greenfield Rd",465,1841 S Greenfield Rd,,Mesa,AZ,85206,US,480-892-2430,33.381349,-111.738999,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Surprise, AZ - W Bell Rd",396,16145 W Bell Rd,,Surprise,AZ,85374,US,623-218-6575,33.638488,-112.406799,"Monday : 10:00 AM-10:00 PM, Thuesday : 10:00 AM-10:00 PM, Wednesday : 10:00 AM-10:00 PM, Thursday : 10:00 AM-10:00 PM, Friday : 10:00 AM-10:00 PM, Saturday : 10:00 AM-10:00 PM, Sunday : 10:00 AM-10:00 PM",,,
"Culver's of Buckeye, AZ - N Verrado Way",570,1540 N Verrado Way,,Buckeye,AZ,85396,US,623-322-8444,33.46476,-112.50476,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-11:00 PM, Saturday : 10:00 AM-11:00 PM, Sunday : 10:00 AM-11:00 PM",,,
"Culver's of Maricopa, AZ - N John Wayne Pkwy",611,20430 N John Wayne Pkwy,,Maricopa,AZ,85139,US,520-858-0444,33.065012,-112.048101,"Monday : 10:00 AM-11:00 PM, Thuesday : 10:00 AM-11:00 PM, Wednesday : 10:00 AM-11:00 PM, Thursday : 10:00 AM-11:00 PM, Friday : 10:00 AM-12:00 AM, Saturday : 10:00 AM-12:00 AM, Sunday : 10:00 AM-11:00 PM",,,
