store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Einstein Bros. Bagels,6226,"LaGuardia Airport, Central Terminal B Center Food Court",Central  Terminal B,Flushing,NY,11371,US,(516)792-3957,-73.86567633,40.77218588,"Mon 05:00 - 22:00, Tue 05:00 - 22:00, Wnd 05:00 - 22:00, Thr 05:00 - 22:00, Fri 05:00 - 22:00, Sat 05:00 - 22:00, Sun 05:00 - 22:00",,,0
Einstein Bros. Bagels,6048,1 Normal Ave,College Hall,Montclair,NJ,7043,US,(973) 665-9346,-74.19855788,40.85912881,"Mon 07:00 - 19:00, Tue 07:00 - 19:00, Wnd 07:00 - 19:00, Thr 07:00 - 19:00, Fri 07:00 - 16:00",,,0
Einstein Bros. Bagels,6283,300 Pompton Rd,Academic Bldg,Wayne,NJ,7474,US,973-720-3300,-74.19869828,40.94505939,"Mon 07:30 - 19:00, Tue 07:30 - 19:00, Wnd 07:30 - 19:00, Thr 07:30 - 19:00, Fri 07:30 - 19:00",,,0
Einstein Bros. Bagels,6240,555 Broadway,Victory,Dobbs Ferry,NY,10522,US,(914) 674-7251,-73.8706542,41.02189734,"Mon 07:00 - 19:00, Tue 07:00 - 19:00, Wnd 07:00 - 19:00, Thr 07:00 - 19:00, Fri 07:00 - 14:00",,,0
Einstein Bros. Bagels,6163,1073 N Benson Rd,Barone Campus Center,Fairfield,CT,6824,US,(203) 254-4000,-73.25762402,41.15910552,"Mon 08:00 - 17:00, Tue 08:00 - 17:00, Wnd 08:00 - 17:00, Thr 08:00 - 17:00, Fri 08:00 - 17:00, Sat 08:00 - 13:00",,,0
Einstein Bros. Bagels,3594,5550 Wilshire Blvd,,Los Angeles,CA,90036,US,(323) 330-9501,-118.3497599,34.06217681,"Mon 05:00 - 17:00, Tue 05:00 - 17:00, Wnd 05:00 - 17:00, Thr 05:00 - 17:00, Fri 05:00 - 17:00, Sat 06:00 - 16:00, Sun 06:00 - 16:00",,,0
Einstein Bros. Bagels,2209,605 S Lake Ave,,Pasadena,CA,91106,US,(626) 449-6415,-118.1324541,34.13550729,"Mon 05:00 - 17:00, Tue 05:00 - 17:00, Wnd 05:00 - 17:00, Thr 05:00 - 17:00, Fri 05:00 - 17:00, Sat 06:00 - 16:00, Sun 06:00 - 16:00",,,0
Einstein Bros. Bagels,3614,10759 W Pico Blvd,,Los Angeles,CA,90064,US,(424) 293-4495,-118.4265982,34.04133737,"Mon 05:00 - 15:00, Tue 05:00 - 15:00, Wnd 05:00 - 15:00, Thr 05:00 - 15:00, Fri 05:00 - 15:00, Sat 06:00 - 15:00, Sun 06:00 - 15:00",,,0
Einstein Bros. Bagels,2701,2205 Black Rock Tpke,,Fairfield,CT,6825,US,(203) 334-5906,-73.2535487,41.18142,"Mon 05:00 - 17:00, Tue 05:00 - 17:00, Wnd 05:00 - 17:00, Thr 05:00 - 17:00, Fri 05:00 - 17:00, Sat 06:00 - 16:00, Sun 06:00 - 15:00",,,0
Einstein Bros. Bagels,6271,5151 Park Ave,Jack Welch College of Bus. & Comm.,Fairfield,CT,6825,US,(203) 396-8031,-73.24338584,41.22478705,"Mon 08:00 - 19:00, Tue 08:00 - 19:00, Wnd 08:00 - 19:00, Thr 08:00 - 19:00, Fri 08:00 - 16:00, Sat 09:00 - 13:00",,,0
Einstein Bros. Bagels,6296,181 White Street,Haas Library,Danbury,CT,6810,US,203-837-9424,-73.44626665,41.4013312,"Mon 08:00 - 19:00, Tue 08:00 - 19:00, Wnd 08:00 - 19:00, Thr 08:00 - 19:00, Fri 08:00 - 14:00, Sat 10:00 - 14:00",,,0
Einstein Bros. Bagels,1758,1615 Big Oak Rd,,Yardley,PA,19067,US,(215) 321-6500,-74.86381409,40.19801343,"Mon 05:00 - 16:00, Tue 05:00 - 16:00, Wnd 05:00 - 16:00, Thr 05:00 - 16:00, Fri 05:00 - 16:00, Sat 06:00 - 16:00, Sun 06:00 - 15:00",,,0
Einstein Bros. Bagels,2079,28 Doublewoods Rd Ste A,,Langhorne,PA,19047,US,(215) 504-9103,-74.92879594,40.21730624,"Mon 05:00 - 16:00, Tue 05:00 - 16:00, Wnd 05:00 - 16:00, Thr 05:00 - 16:00, Fri 05:00 - 16:00, Sat 06:00 - 16:00, Sun 06:00 - 15:00",,,0
Einstein Bros. Bagels,6030,3500 N Broad St,Medical School Building,Philadelphia,PA,19140,US,(215) 707-7521,-75.15217527,40.006259,"Mon 07:00 - 16:30, Tue 07:00 - 16:30, Wnd 07:00 - 16:30, Thr 07:00 - 16:30, Fri 07:00 - 16:30",,,0
Einstein Bros. Bagels,3511,1755 N 13th St,Howard Gittis Student Center,Philadelphia,PA,19122,US,(215) 204-6786,-75.15510267,39.97967407,"Mon 07:00 - 20:00, Tue 07:00 - 20:00, Wnd 07:00 - 20:00, Thr 07:00 - 20:00, Fri 07:00 - 20:00, Sun 12:00 - 16:00",,,0
Einstein Bros. Bagels,6289,5600 City Avenue,Merion Hall,Philadelphia,PA,19131,US,610-660-2992,-75.24288396,39.99590812,"Mon 08:00 - 20:00, Tue 08:00 - 20:00, Wnd 08:00 - 20:00, Thr 08:00 - 20:00, Fri 08:00 - 14:00",,,0
Einstein Bros. Bagels,6268,3500 Civic Center Blvd,Buerger Center for Advanced Pediatric Ca,Philadelphia,PA,19104,US,267-425-8246,-75.19426133,39.94705298,"Mon 07:00 - 16:30, Tue 07:00 - 16:30, Wnd 07:00 - 16:30, Thr 07:00 - 16:30, Fri 07:00 - 16:30",,,0
