store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Edgewater Mall,,2800 Beach Blvd,,Biloxi,Mississippi,39531,US,(228) 207-7681,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday12:00 PM - 6:00 PM",,,
Pleasant Prairie Premium,,11211 120th Ave,,Pleasant Prairie,Wisconsin,53158,US,(262) 891-0607,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday10:00 AM - 7:00 PM",,,
Outlets at the Dells,,210 N. Gasser Rd.,,Baraboo,Wisconsin,53913,US,(608) 844-8117,,,"Monday9:00 AM - 9:00 PM, Tuesday9:00 AM - 9:00 PM, Wednesday9:00 AM - 9:00 PM, Thursday9:00 AM - 9:00 PM, Friday9:00 AM - 9:00 PM, Saturday9:00 AM - 9:00 PM, Sunday10:00 AM - 7:00 PM",,,
West Acres Mall,,3902 13th Ave S,,Fargo,North Dakota,58103,US,(701) 282-9654,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday12:00 PM - 6:00 PM",,,
Maine Mall,,214 Maine Mall,,South Portland,Maine,04106,US,(207) 775-7125,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday11:00 AM - 6:00 PM",,,
Meadowood Mall,,5443 Meadowood Mall Cir,,Reno,Nevada,89502,US,(775) 825-7171,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday11:00 AM - 7:00 PM",,,
Battlefield Mall,,2825 S. Glenstone,,Springfield,Missouri,65804,US,(417) 881-6170,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday11:00 AM - 6:00 PM",,,
Mid Rivers,,1600 Mid Rivers Mall,,Saint Peters,Missouri,63376,US,(636) 278-2922,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday11:00 AM - 6:00 PM",,,
Willowbrook Mall,,1400 Willowbrook Mall,,Wayne,New Jersey,07470,US,(973) 812-1166,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 10:00 PM, Sunday11:00 AM - 7:00 PM",,,
Ocean County,,1201 Hooper Ave.,,Toms River,New Jersey,08753,US,(732) 244-5089,,,"Monday10:00 AM - 9:30 PM, Tuesday10:00 AM - 9:30 PM, Wednesday10:00 AM - 9:30 PM, Thursday10:00 AM - 9:30 PM, Friday10:00 AM - 9:30 PM, Saturday10:00 AM - 9:30 PM, Sunday11:00 AM - 6:00 PM",,,
The Mall at Short Hills,,1200 Morris Turnpike,,Short Hills,New Jersey,07078,US,(973) 564-6545,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 8:00 PM, Sunday11:00 AM - 6:00 PM",,,
Wheaton,,11160 Veirs Mill Rd.,,Wheaton,Maryland,20902,US,(301) 933-2417,,,"Monday10:00 AM - 9:30 PM, Tuesday10:00 AM - 9:30 PM, Wednesday10:00 AM - 9:30 PM, Thursday10:00 AM - 9:30 PM, Friday10:00 AM - 9:30 PM, Saturday10:00 AM - 9:30 PM, Sunday11:00 AM - 7:00 PM",,,
Mesilla Valley,,700 S Telshor Blvd,,Las Cruces,New Mexico,88001,US,(575) 522-5014,,,"Monday10:00 AM - 9:00 PM, Tuesday10:00 AM - 9:00 PM, Wednesday10:00 AM - 9:00 PM, Thursday10:00 AM - 9:00 PM, Friday10:00 AM - 9:00 PM, Saturday10:00 AM - 9:00 PM, Sunday12:00 PM - 6:00 PM",,,
