store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Quarry Crossing,836,7322 Jones Maltsberger,,San Antonio,TX,78209,US,(210) 829-0975,-98.4806119,29.4985149,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
Shops at La Cantera,1426,15900 La Cantera Parkway,,San Antonio,TX,78256,US,(210) 558-0663,-98.6109397,29.5932926,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
Village at Stone Oak,1629,22710 U.S. 281 North,,San Antonio,TX,78258,US,(210) 481-0705,-98.4472443,29.6519764,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
LOS  2937 San Marcos LOS,2937,4015 INTERSTATE 35 SOUTH,,SAN MARCOS,TX,78666,US,(512) 392-3855,-97.9845466,29.8249513,"09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 10:00-19:00",,
Hill Country Galleria,1621,12912 Hill Country Blvd,,Bee Cave,TX,78738,US,(512) 263-7157,-97.942263,30.3100354,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
Barton Creek Square,1762,2901 S Capital of Texas Hwy,,Austin,TX,78746,US,(512) 732-2830,-97.8071884,30.2573391,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
430 W 2nd Street,1887,430 W 2nd Street,,Austin,TX,78701,US,(512)474-2737,-97.7480119,30.2656508,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 12:00-17:00",,
The Domain,1768,11510 Century Oaks Terrace,,Austin,TX,78758,US,(512) 833-6184,-97.7258506,30.4022265,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
LOS  2951 Round Rock LOS,2951,4401 NORTH IH-35,,ROUND ROCK,TX,78664,US,(512) 863-4549,-97.6903305,30.5655981,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
Wolf Ranch Town Center,1847,1015 W. University Ave,,Georgetown,TX,78628,US,(512)-863-2406,-97.6936314,30.6302756,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-20:00, 10:00-20:00, 12:00-18:00",,
Lamar Park Center,1512,425 Doddridge Street,,Corpus Christi,TX,78411,US,(361) 852-3539,-97.3803885,27.7442295,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 12:00-17:00",,
Scottsdale Fashion Square,1889,7014 East Camelback Road,,Scottsdale,AZ,85251,US,480-425-5898,-111.9294198,33.5028371,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Chandler Fashion Center,986,3111 West Chandler Blvd,,Chandler,AZ,85226,US,(480) 899-3414,-111.8977556,33.3056732,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Kierland Commons,862,15211 North Kierland Blvd,,Scottsdale,AZ,85254,US,(480) 556-0776,-111.9298364,33.6245594,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-18:00",,
Arrowhead Towne Center,813,7700 W Arrowhead Towne Ctr,,Glendale,AZ,85308,US,(623) 776-2110,-112.2254067,33.6420894,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Dana Park Village Square,1313,1854 South Val Vista Drive,,Mesa,AZ,85204,US,(480) 892-9001,-111.7569218,33.3814634,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-18:00",,
San Tan Village,1635,2174 E. Williams Field Road,,Gilbert,AZ,85295,US,(480) 855-1512,-111.7526397,33.3068213,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
La Encantada,1883,2905 Skyline Drive,,Tucson,AZ,85718,US,(520)529-5599,-110.9301132,32.3247418,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
West Monroe Store,976,111 West Monroe,,Chicago,IL,60603,US,(312) 422-0037,-87.6312785,41.8802518,"07:30-19:00, 07:30-19:00, 07:30-19:00, 07:30-19:00, 07:30-19:00, 00:01-00:02, 00:01-00:02",,
LaSalle Street Store,841,33 North LaSalle Street,,Chicago,IL,60602,US,(312) 346-7768,-87.6320469,41.882827,"07:30-19:00, 07:30-19:00, 07:30-19:00, 07:30-19:00, 07:30-19:00, 00:01-00:02, 00:01-00:02",,
The Roosevelt Collection,1876,150 West Roosevelt Road,,Chicago,IL,60605,US,(312)662-1097,-87.6320609,41.8678083,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
664 North Michigan Ave,1815,664-670 N. Michigan Ave,,Chicago,IL,60611,US,(312) 915-0410,-87.6246128,41.8945393,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
LOFT 1879 Shops on Fremont,1879,901 West Weed Street,,Chicago,IL,60642,US,(312)649-5769,-87.6516189,41.9095729,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-19:00, 11:00-18:00",,
West Diversey Store,1785,662 West Diversey,,Chicago,IL,60614,US,(773)327-6578,-87.645971,41.933037,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
Lou & Grey Southport,4506,3442-3446 N. Southport Avenue,,Chicago,IL,60657,US,(773)935-5160,-87.664295,41.94474,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 11:00-18:00",,
River Forest Town Center,666,7331 Lake Street,,River Forest,IL,60305,US,(708) 366-5097,-87.8081287,41.8877853,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-19:00, 11:00-18:00",,
Old Orchard Center,1467,4999 Old Orchard Center,,Skokie,IL,60077,US,(847) 674-1156,-87.749028,42.0595722,"10:00-21:00, 00:01-00:02, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Oakbrook Center,1361,462 Oakbrook Center,,Oak Brook,IL,60523,US,(630) 368-0187,-87.9524151,41.8513514,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Burr Ridge Village Center,1626,720 Village Center Drive,,Burr Ridge,IL,60527,US,(630) 887-1854,-87.9116193,41.7533067,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
Yorktown Center,869,203 Yorktown Shopping Center,,Lombard,IL,60148,US,(630) 932-8951,-88.008333,41.8428632,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00",,
Orland Square Mall,1808,104 Orland Square,,Orland Park,IL,60462,US,(708)364-1858,-87.8475907,41.6190579,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Deerfield Square,972,720 Waukegan Road,,Deerfield,IL,60015,US,(847) 940-7376,-87.8462031,42.1655669,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-17:00",,
Arlington Town Square,820,23 South Evergreen Avenue,,Arlington Heights,IL,60005,US,(847) 506-9554,-87.9817247,42.082384,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-17:00",,
Streets of Woodfield,823,601 North Martingdale Road,,Schaumburg,IL,60173,US,(847) 240-2402,-88.0342759,42.0405192,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Promenade Bolingbrook,1675,641 East Boughton Road,,Bolingbrook,IL,60440,US,(630) 783-2089,-88.0416919,41.7198177,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Main St Promenade,1332,55 South Main Street,,Naperville,IL,60540,US,(630) 355-5683,-88.1503136,41.7743589,"09:30-21:00, 09:30-21:00, 09:30-21:00, 09:30-21:00, 09:30-21:00, 09:30-19:00, 11:00-18:00",,
The Shops at Kildeer,691,20505 North Rand Road,,Kildeer,IL,60047,US,(847) 719-1238,-88.0502808,42.1624839,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Hawthorne Center,1376,320 Hawthorne Center,,Vernon Hills,IL,60061,US,(847) 680-4562,-87.9465228,42.2413432,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
South Barrington,1687,100 West Higgins Road,,Barrington,IL,60010,US,(847) 836-7841,-88.1826279,42.0749163,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Chicago Premium Outlets,3072,1650 Premium Outlet Blvd,,Aurora,IL,60502,US,(630)585-6486,-88.2739699,41.800478,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-19:00",,
Geneva Commons,1469,114 Commons Drive,,Geneva,IL,60134,US,(630) 208-1291,-88.3435242,41.8909449,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
LOS  3101 Gurnee Mills,3101,6170 W. Grand Avenue,,Gurnee,IL,60031,US,847-855-2479,-87.9551966,42.3834168,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-18:00",,
LOS  2935 Lighthouse Place LOS,2935,601 Wabash St,,Michigan City,IN,46360,US,(219) 879-2957,-86.9051936,41.7152677,"09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-18:00",,
Algonquin Commons,1431,1968 South Randall Road,,Algonquin,IL,60102,US,(847) 658-1469,-88.3358331,42.1481974,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
LOS  2962 Pleasant Prairie LOS,2962,11211 120Th Ave,,Pleasant Prairie,WI,53158,US,(262) 857-4043,-87.9500072,42.5161208,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-19:00",,
Cherryvale Mall,1468,7200 Harrison Avenue,,Rockford,IL,61112,US,(815) 332-9252,-88.9756194,42.2460425,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
