store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Niagara Falls, Ontario",,,,,,,,ext. 6609,,,,,,0
Santiago,,,,,,,CHILE,Telephone: 562.333.0405,,,,,,0
Santiago,,,,,,,CHILE,Telephone: 562.211.1056,,,,,,0
LaBorsa Santiago,,,,,,,CHILE,Telephone: 562.696.8624,,,,,,0
Santiago Avenida Kennedy 9001,,,,,,,CHILE,Telephone: 562.213.1556,,,,,,0
Santiago,,,,,,,CHILE,Telephone: 562.293.6296,,,,,,0
Santiago,,,,,,,CHILE,Telephone: 562.293.6299,,,,,,0
Airport,,,,,,,CHILE,Telephone: 56-2-6901105,,,,,,0
La Reina,,,,,,,CHILE,Telephone: 56.367.1297,,,,,,0
Vina Del Mar,,,,,,,CHILE,Telephone: 56-32-2156331,,,,,,0
"City Stars, Cairo",,,,,,,EGYPT,Telephone: 202 248 02272,,,,,,0
The District,,,,,,,EGYPT,Telephone: 20 1278858446,,,,,,0
Mall of Arabia,,,,,,,EGYPT,Telephone: 202 38210500,,,,,,0
Nile Boat,,,,,,,EGYPT,Telephone: 011 202 3761 0811,,,,,,0
Multiplaza Mall,,,,,,,EL SALVADOR,Website:,,,,,,0
Tamuning,,,,,,,GUAM,Telephone: 671.647.7829,,,,,,0
Bulevar San Juan Bosco,,,,,,,HONDURAS,Telephone: 504.235.3460,,,,,,0
Kolwoon Bay,,,,,,,,Telephone: 852.2866.0288,,,,,,0
Shatin,,,,,,,,Telephone: 852.2699.2838,,,,,,0
Taikoo Shing,,,,,,,,Telephone: 852.2907.1133,,,,,,0
Telford Plaza,,,,,,,HONG KONG,Telephone: 852.2376.3122,,,,,,0
Tseung Kwan O,,,,,,,,Telephone: 852.2871.1828,,,,,,0
Tsim Sha Tsui,,,,,,,HONG KONG,Telephone: 852.2892.0883,,,,,,0
Tsuen Wan Plaza,,,,,,,HONG KONG,Telephone: 852.2832.9268,,,,,,0
World Trade Centre,,,,,,,HONG KONG,Telephone: 852.2895.1628,,,,,,0
