store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Babies""R""Us - Salem",6459,447 South Broadway,,Salem,NH,03079,United States,(603) 893-2614,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Manchester",7511,2 Keller Street,,Manchester,NH,03103,United States,(603) 623-8077,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Salem",7523,16 Veterans Memorial Pa,,Salem,NH,03079,United States,(603) 893-8697,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - York",8310,1410 Kenneth Road,,York,PA,17404,United States,(717) 764-1300,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Phillipsburg",6382,1280 U.S. 22,,Phillipsburg,NJ,08865,United States,(908) 859-8600,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Phillipsburg",B6382,1280 U.S. 22,,Phillipsburg,NJ,08865,United States,(908) 859-8600,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Carle Place",6311,117 Old Country Rd,,"Carle,Place",NY,11514,United States,(516) 746-3200,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - Reading",6394,2789 Paper Mill Road,,Reading,PA,19610,United States,(610) 373-7174,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Brooklyn",6455,395 Gateway Dr.,,Brooklyn,NY,11239,United States,(718) 277-3400,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Manchester",B7511,2 Keller Street,,Manchester,NH,03103,United States,(603) 623-8077,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - North York",B8310,1410 Kenneth Road,,"North,York",PA,17404,United States,(717) 764-1300,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Arlington",7817,4111 South Cooper Stree,,Arlington,TX,76015,United States,(817) 784-0843,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - Humble",B7012,20450 Highway 59 North,,Humble,TX,77338,United States,(281) 540-1464,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Hamburg",B9226,3464 Mc Kinley Parkway,,Hamburg,NY,14075,United States,(716) 825-7227,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Hamburg",9226,3464 Mc Kinley Parkway,,Hamburg,NY,14075,United States,(716) 825-7227,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Humble",7012,20450 Highway 59 North,,Humble,TX,77338,United States,(281) 540-1464,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Pasadena",B7002,5651 Fairmont Parkway,,Pasadena,TX,77505,United States,(281) 998-3009,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Houston",B7009,17776 State Highway 249,,Houston,TX,77064,United States,(281) 955-5564,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Jersey City",B6315,641 Route 440,,"Jersey,City",NJ,07304,United States,(201) 433-8550,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Wichita Falls",7828,2500 E. Elliott Street,,"Wichita,Falls",TX,76308,United States,(940) 691-8697,,,"Mon-Fri:10:00am - 9:00pm, Sat:9:00am - 9:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - Friendswood",9588,18182 Gulf Freeway,,Friendswood,TX,77546,United States,(281) 990-9390,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us Temp Express - Texas City",9438,5885 Gulf Freeway,Tanger Outlet Galveston Houston,"Texas,City",TX,77590,United States,(281) 337-2392,,,"Mon-Sat:10:00am - 9:00pm, Sun:11:00am - 7:00pm",,
"Babies""R""Us - Tyler",B7825,414 E.S.E. Loop 323,,Tyler,TX,75701,United States,(903) 534-8697,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Houston",7009,17776 State Highway 249,,Houston,TX,77064,United States,(281) 955-5564,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Houston",9547,380 Fm 1960 West,,Houston,TX,77090,United States,(281) 586-9993,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Waco",7814,5200 W. Waco Drive,,Waco,TX,76710,United States,(254) 772-1556,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - Tyler",7825,414 E.S.E. Loop 323,,Tyler,TX,75701,United States,(903) 534-8697,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us Temp Express - Pearland",5508,11200 Broadway Street,Pearland Town Center,Pearland,TX,77584,United States,(713) 436-7359,,,"Mon-Sat:10:00am - 9:00pm, Sun:11:00am - 7:00pm",,
"Toys""R""Us - Pasadena",7002,5651 Fairmont Parkway,,Pasadena,TX,77505,United States,(281) 998-3009,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Totowa",6539,465 Us Highway 46 West,,Totowa,NJ,07512,United States,(973) 256-2566,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Webster",7019,1449 Bay Area Blvd,,Webster,TX,77598,United States,(281) 338-2915,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - Wayne",6344,7 Wayne Hills Mall,,Wayne,NJ,07470,United States,(973) 628-8697,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - Jersey City",6315,641 Route 440,,"Jersey,City",NJ,07304,United States,(201) 433-8550,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - The Woodlands",7039,1420 Lake Woodland Dr.,,"The,Woodlands",TX,77380,United States,(281) 367-0061,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - New York",6538,24-30 Union Square East,,"New,York",NY,10003,United States,(212) 798-9905,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us Express - Flushing",6333,66-26 Metropolitan Avenue,,Flushing,NY,11379,United States,(718) 326-2038,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Rego Park",6753,Rego Park Center,61-35 Junction Blvd,"Rego,Park",NY,11374,United States,(718) 595-0023,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Hurst",7708,1309 W. Pipeline Rd,,Hurst,TX,76053,United States,(817) 595-2189,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Arlington",9552,1501 West Arbrook Blvd,,Arlington,TX,76015,United States,(817) 784-2229,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Totowa",6304,445 Us Highway 46,,Totowa,NJ,07512,United States,(973) 256-6003,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us Temp Express - Jersey City",5112,Newport Centre Mall,30 Mall Drive West,"Jersey,City",NJ,07310,United States,(201) 222-0364,,,"Mon-Sat:10:00am - 9:30pm, Sun:11:00am - 6:00pm",,
"Babies""R""Us - Fort Worth",9582,5800 Overton Ridge Blvd,,"Fort,Worth",TX,76132,United States,(817) 423-8829,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us Outlet Center - Glendale",7064,8016 Cooper Ave,,Glendale,NY,11385,United States,(718) 289-9000,,,"Mon-Sat:10:00am - 9:00pm, Sun:11:00am - 8:00pm",,
"Babies""R""Us Express - Flushing",B6333,66-26 Metropolitan Avenue,,Flushing,NY,11379,United States,(718) 326-2038,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Hurst",7809,1319 West Pipeline Rd,,Hurst,TX,76053,United States,(817) 589-7181,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys ""R"" Us Temp Express - New York",6677,901 Ave Of The Americas,Manhattan Mall,"New,York",NY,10001,United States,(212) 239-7306,,,"Mon:7:00am - 11:00pm, Tue-Thu:7:00am - 10:00pm, Fri-Sat:9:30am - 9:00pm, Sun:7:00am - 11:00pm",,
"Toys""R""Us - Amherst",9223,3030 Sheridan Drive,,Amherst,NY,14226,United States,(716) 837-4350,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Amherst",B9223,3030 Sheridan Drive,,Amherst,NY,14226,United States,(716) 837-4350,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Rego Park",B6753,61-35 Junction Blvd,,"Rego,Park",NY,11374,United States,(718) 595-0023,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Nanuet",6325,122 East Route 59,,Nanuet,NY,10954,United States,(845) 624-8282,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - White Settlement",7802,7606 West Freeway,,"White,Settlement",TX,76108,United States,(817) 246-2251,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us Express - Long Island City",B6338,3540 48Th St.,,"Long,Island,City",NY,11101,United States,(718) 937-8697,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Amherst",9282,1569 Niagara Falls Boulevard,,Amherst,NY,14228,United States,(716) 803-1399,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Secaucus",B6623,3 Mill Creek Drive,,Secaucus,NJ,07094,United States,(201) 558-4750,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Secaucus",6623,3 Mill Creek Drive,,Secaucus,NJ,07094,United States,(201) 558-4750,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Williamsville",9224,4135 Transit Road,,Williamsville,NY,14221,United States,(716) 632-6788,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us Express - Long Island City",6338,3540 48Th St.,,"Long,Island,City",NY,11101,United States,(718) 937-8697,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Little Neck",6322,242-02 61St Ave,,"Little,Neck",NY,11363,United States,(718) 224-2800,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Toys""R""Us - Paramus",6330,634 Ridgewood Avenue,At Route 17,Paramus,NJ,07652,United States,(201) 670-7733,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm",,
"Babies""R""Us - Nanuet",6410,250 East Route 59,,Nanuet,NY,10954,United States,(845) 627-6636,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Paramus",6386,545 Highway 17 South,,Paramus,NJ,07652,United States,(201) 251-3191,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm",,
"Toys""R""Us - White Plains",6347,7 City Place,,"White,Plains",NY,10601,United States,(914) 686-8071,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - White Plains",B6347,7 City Place,,"White,Plains",NY,10601,United States,(914) 686-8071,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - College Point",6389,139-19 20Th Avenue,,"College,Point",NY,11356,United States,(718) 321-8166,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Flushing",6390,30-02 Whitestone Expy,,Flushing,NY,11356,United States,(718) 460-6363,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - Bronx",B6629,610 Exterior Street,,Bronx,NY,10451,United States,(718) 292-5857,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Bronx",6629,610 Exterior Street,,Bronx,NY,10451,United States,(718) 292-5857,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Bronx",6352,970 White Plains Road,,Bronx,NY,10473,United States,(718) 904-8697,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Paramus",6306,250 East Route 4,,Paramus,NJ,07652,United States,(201) 845-7260,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm",,
"Toys""R""Us - Yonkers",6320,1000 Central Park Ave,,Yonkers,NY,10704,United States,(914) 423-7070,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Yonkers",B6320,1000 Central Park Ave,,Yonkers,NY,10704,United States,(914) 423-7070,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Bronx",B6336,350 Baychester Ave,,Bronx,NY,10475,United States,(718) 862-2240,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Babies""R""Us - Bronx",B6352,970 White Plains Road,,Bronx,NY,10473,United States,(718) 904-8697,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Bronx",6336,350 Baychester Ave,,Bronx,NY,10475,United States,(718) 862-2240,,,"Mon-Thu:10:00am - 9:30pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
"Toys""R""Us - Whitehall",6359,955 Grape Street,,Whitehall,PA,18052,United States,(610) 264-4100,,,"Mon-Thu:10:00am - 9:00pm, Fri:10:00am - 10:00pm, Sat:9:00am - 10:00pm, Sun:10:00am - 7:00pm",,
"Babies""R""Us - Yonkers",6411,2700 Central Park Ave,,Yonkers,NY,10710,United States,(914) 722-4500,,,"Mon-Thu:9:00am - 9:30pm, Fri-Sat:9:00am - 10:00pm, Sun:10:00am - 7:30pm",,
